"priority","file","what_it_shows","statistical_message"
"Main","01_Main_Figures/Fig01_cohort_cell_counts_and_paired_proportions.png","Counts and paired proportions of the primary population","Paired Wilcoxon P shown; N=3 patients"
"Main","01_Main_Figures/Fig02_primary_population_UMAP.png","Only the primary CNV-high top-25% definition is highlighted","Cell-definition visualization; not an outcome test"
"Main","01_Main_Figures/Fig03_inferCNV_nonT_reference_heatmap.png","inferCNV pattern relative to non-T references","Basis for the CNV burden score"
"Main","01_Main_Figures/Fig04_KEGG_GSEA_key_pathways.png","Focused paired-pseudobulk KEGG GSEA","FDR evidence encoded by both shape and text"
"Main","01_Main_Figures/Fig05_GO_BP_GSEA_curated_programs.png","Curated nonredundant GO BP programs","Full tested table retained; plot avoids redundant GO terms"
"Main","01_Main_Figures/Fig06_mitophagy_proteasome_leading_edge_heatmap.png","Paired sample expression of selected leading-edge genes","Gene-level FDR absent; pathway-level FDR shown separately"
"Main","01_Main_Figures/Fig07_cross_dataset_GSEA_concordance.png","Relapse scRNA-seq compared with STAT5B N642H bulk RNA-seq","Association only; no causal claim"
"Main","01_Main_Figures/Fig08_cross_dataset_KEGG_overlap_venn.png","Same-direction KEGG overlap at FDR < 0.10","28 shared up pathways and 0 shared down pathways"
"Supplementary","02_Supplementary_Figures/FigS01_marker_based_annotation_UMAP.png","Major cell annotation","Colorblind-aware categorical palette"
"Supplementary","02_Supplementary_Figures/FigS02_lineage_marker_dotplot.png","Marker support for annotations","Expression and detection are encoded separately"
"Supplementary","02_Supplementary_Figures/FigS03_STAT5_paired_expression_and_downstream_GSEA.png","STAT5A/B paired expression and downstream GSEA","Nominal P and FDR are displayed together"
"Supplementary","02_Supplementary_Figures/FigS04_custom_mitochondrial_gene_set_GSEA.png","Curated mitochondrial and proteostasis sets","Custom-set evidence separated from KEGG evidence"
"Supplementary","02_Supplementary_Figures/FigS05_sphingolipid_paired_direction_heatmap.png","Per-patient sphingolipid leading-edge directions","Pathways and genes are not FDR-significant"
"Sensitivity","03_Sensitivity_Checks/FigSens01_custom_gene_sets_across_cell_definitions.png","Custom gene-set robustness","Primary population outlined; alternatives labeled sensitivity only"
"Sensitivity","03_Sensitivity_Checks/FigSens02_KEGG_across_cell_definitions.png","KEGG robustness","Primary population outlined; alternatives labeled sensitivity only"
"Sensitivity","03_Sensitivity_Checks/FigSens03_GO_mitophagy_across_cell_definitions.png","GO mitophagy robustness","GO mitophagy terms remain non-significant"
"Sensitivity","03_Sensitivity_Checks/FigSens04_KEGG_GSEA_parameter_robustness.png","Proteasome and mitophagy across 25 predefined analysis settings","All settings shown; color is pathway, shape is global KEGG FDR tier, and size is nominal-P evidence"
"Sensitivity","03_Sensitivity_Checks/FigSens05_GSEA_multiple_testing_framework.png","Nominal P, targeted-family correction and global KEGG FDR for four focused pathways","Targeted-family columns are confirmatory only if the hypothesis family was fixed before data review"
"Sensitivity","03_Sensitivity_Checks/FigSens06_primary_leading_edge_paired_direction.png","Per-patient leading-edge program direction in the primary analysis","Mitophagy and proteasome scores rise in all three pairs; annotation reports pathway-level GSEA FDR"
"Sensitivity","03_Sensitivity_Checks/FigSens07_targeted_GSEA_multiverse_specification_curve.png","All valid targeted-GSEA specifications ordered by nominal P","Counts of nominal P < 0.05 are annotated; point shape reports BH across the two prespecified targets"
"Sensitivity","03_Sensitivity_Checks/FigSens08_multiverse_QC_hit_rate_heatmap.png","Nominal-P hit frequency across CNV-high fraction and mitochondrial-RNA thresholds","Each tile summarizes feature-floor and feature-cap settings; global and within-sample CNV thresholds are separated"
"Sensitivity","03_Sensitivity_Checks/FigSens09_within_sample_top25_KEGG_mechanistic_programs.png","Representative mechanistic KEGG programs under the fixed within-sample CNV top-25% secondary specification","Exact global KEGG FDR is printed for every pathway; all four FDR < 0.10 relapse-down pathways are retained"
