"analysis_population","compartment","pathway_id","pathway_name","gene_set_source","gene_set_id","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa00190","Oxidative phosphorylation","KEGG","hsa00190","hsa00190 Oxidative phosphorylation",138,"ATP synthase subunit f;ATP12A;ATP4A;ATP4B;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MGL;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6;ATP6AP1;ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;ATP6V0C;ATP6V0D1;ATP6V0D2;ATP6V0E1;ATP6V0E2;ATP6V1A;ATP6V1B1;ATP6V1B2;ATP6V1C1;ATP6V1C2;ATP6V1D;ATP6V1E1;ATP6V1E2;ATP6V1F;ATP6V1FP2;ATP6V1G1;ATP6V1G2;ATP6V1G3;ATP6V1H;ATP8;COX1;COX10;COX11;COX15;COX17;COX2;COX3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7B2;COX7C;COX8A;COX8C;COXFA4;COXFA4L2;CYC1;CYCS;CYTB;cytochrome c oxidase subunit NDUFA4-like;LHPP;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFC2-KCTD14;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PPA1;PPA2;SDHA;SDHB;SDHC;SDHD;TCIRG1;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ",103,138,TRUE,NA,1.55963652269909e-05,0.00168353396409522,0.575610261071129,0.447248900219025,1.94058599087587,103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ATP5PF;PPA2;COX4I1;ATP6V0A4;ATP6V0D1;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP6V1G1;ATP5PB;NDUFA8;NDUFB11;COX15;ATP5ME;LHPP;NDUFA1;ATP6V0B;COX7A2","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa05208","Chemical carcinogenesis - reactive oxygen species","KEGG","hsa05208","hsa05208 Chemical carcinogenesis - reactive oxygen species",227,"ABL1;ABL2;ACP1;AHR;AKR1A1;AKR1C1;AKR1C2;AKR1C3;AKR1C4;AKR1C8;AKT1;AKT2;AKT3;ARAF;ARNT;AS3MT;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6;ATP8;BAD;BRAF;CAT;CBR1;CHUK;COX1;COX2;COX3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7B2;COX7C;COX8A;COX8C;COXFA4;COXFA4L2;CYBA;CYC1;CYP1A1;CYP1A2;CYP1B1;CYP2E1;CYP2F1;CYTB;cytochrome c oxidase subunit NDUFA4-like;EGF;EGFR;EPHX1;EPHX2;EPHX3;EPHX4;FOS;FOXO3;GRB2;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTT1;GSTT2;GSTT2B;GSTT4;HGF;HIF1A;HMOX1;HRAS;IKBKB;IKBKG;JUN;KEAP1;KRAS;LPO;MAP2K1;MAP2K2;MAP2K4;MAP2K7;MAP3K14;MAP3K5;MAPK1;MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK3;MAPK8;MAPK9;MET;MGST1;MGST2;MGST3;NCF1;NCF2;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFC2-KCTD14;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NFE2L2;NFKB1;NFKBIA;NOX1;NOX4;NQO1;NRAS;P3R3URF-PIK3R3;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PLD1;PLD2;PPIF;PRKCD;PRKD1;PRKD2;PRKD3;PTEN;PTK2;PTPN1;PTPN11;PTPRJ;RAC1;RAF1;RELA;SDHA;SDHB;SDHC;SDHD;SLC25A31;SLC25A4;SLC25A5;SLC25A6;SLC26A1;SLC26A2;SLC26A6;SLC26A9;SOD1;SOD2;SOS1;SOS2;SRC;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VDAC1;VDAC2;VDAC3;VEGFA",155,227,TRUE,NA,2.38460901429918e-05,0.00168353396409522,0.575610261071129,0.401549561118539,1.82669546018957,155,"FOS;RELA;COX5A;NDUFC2;ATP5F1B;UQCRHL;MAPK9;NDUFA6;AKR1C1;SOD2;NDUFAB1;NDUFA9;NDUFA12;VDAC1;CYC1;SLC25A5;PIK3R3;UQCRH;KEAP1;PRKD2;GRB2;CYBA;NFKB1;AKT1;COX6A1;IKBKG;COX7A2L;COX8A;EPHX2;COX6C;NDUFV2;NRAS;ATP5PF;COX4I1;MAPK3;MAP2K1;SLC25A6;VDAC2;ATP5MC1;NDUFB7;RAC1;NDUFB6;ACP1;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;PIK3CB;NCF1;NDUFS3;PPIF;COX7B;MAPK1;GSTO1;PTPN11;SDHB;ATP5F1E;NDUFB2;NDUFS8;SOD1;UQCR11;ARAF;ATP5PB;NDUFA8;NDUFB11","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04714","Thermogenesis","KEGG","hsa04714","hsa04714 Thermogenesis",235,"ACSL1;ACSL3;ACSL4;ACSL5;ACSL6;ACTB;ACTG1;ACTL6A;ACTL6B;ADCY1;ADCY10;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;ADRB3;AKT1S1;ARID1A;ARID1B;ATF2;ATP synthase subunit f;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MGL;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6;ATP8;BMP8A;BMP8B;CNR1;COA1;COA3;COA4;COA5;COA6;COA7;COX1;COX10;COX11;COX14;COX15;COX16;COX17;COX18;COX19;COX2;COX20;COX3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7B2;COX7C;COX8A;COX8C;COXFA4;COXFA4L2;CPT1A;CPT1B;CPT1C;CPT2;CREB1;CREB3;CREB3L1;CREB3L2;CREB3L3;CREB3L4;CREB5;CYC1;CYTB;cytochrome c oxidase subunit NDUFA4-like;DPF1;DPF3;FGF21;FGFR1;FRS2;GCG;GNAS;GRB2;HRAS;KDM1A;KDM3A;KDM3B;KLB;KRAS;LIPE;MAP2K3;MAP3K5;MAPK11;MAPK12;MAPK13;MAPK14;MGLL;MLST8;MTOR;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7;NDUFAF8;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFC2-KCTD14;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NPPA;NPPB;NPR1;NRAS;PLIN1;PNPLA2;PPARG;PPARGC1A;PRDM16;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKACA;PRKACB;PRKACG;PRKAG1;PRKAG2;PRKAG3;PRKG1;PRKG2;RHEB;RPS6;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA6;RPS6KB1;RPS6KB2;RPTOR;SDHA;SDHB;SDHC;SDHD;SIRT6;SLC25A20;SLC25A29;SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1;SOS1;SOS2;TSC1;TSC2;UCP1;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;ZNF516",173,235,TRUE,NA,0.00146278505578782,0.0215151301955458,0.45505986738723,0.333600689072986,1.54390894123201,173,"DPF3;NDUFAF8;COX5A;ACTB;NDUFC2;ATP5F1B;ACTG1;UQCRHL;CPT1A;NDUFA6;NDUFAB1;NDUFA9;MAP2K3;NDUFA12;CYC1;UQCRH;GRB2;RPS6KB1;SMARCC1;GNAS;COX6A1;SMARCD3;NDUFAF6;COX7A2L;COX8A;ACTL6A;CREB3L3;COX6C;NDUFV2;SMARCD2;SIRT6;NRAS;ATP5PF;ADCY7;COX4I1;PRKAB1;ACSL5;ATP5MC1;RPS6;NDUFB7;RPS6KA3;PRKAG2;NDUFB6;ATP5F1C;ATP5MG;SLC25A29;NDUFB9;ATP5MC3;ATP5F1A;NDUFS3;SLC25A20;COX7B;NDUFAF2;SDHB;COX17;ATP5F1E;COX16;NDUFB2;NDUFS8;COX19;PNPLA2;UQCR11;ATP5PB;NDUFA8;NDUFB11","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04630","JAK-STAT signaling pathway","KEGG","hsa04630","hsa04630 JAK-STAT signaling pathway",168,"AKT1;AKT2;AKT3;AOX1;BCL2;BCL2L1;CCND1;CCND2;CCND3;CDKN1A;CISH;CLCF1;CNTF;CNTFR;CREBBP;CRLF2;CSF2;CSF2RA;CSF2RB;CSF3;CSF3R;CSH1;CSH2;CSHL1;CTF1;EGF;EGFR;EP300;EPO;EPOR;FHL1;GFAP;GH1;GH2;GHR;GRB2;HRAS;IFNA1;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA2;IFNA21;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNAR1;IFNAR2;IFNB1;IFNE;IFNG;IFNGR1;IFNGR2;IFNK;IFNL1;IFNL2;IFNL3;IFNLR1;IFNW1;IL10;IL10RA;IL10RB;IL11;IL11RA;IL12A;IL12B;IL12RB1;IL12RB2;IL13;IL13RA1;IL13RA2;IL15;IL15RA;IL19;IL2;IL20;IL20RA;IL20RB;IL21;IL21R;IL22;IL22RA1;IL22RA2;IL23A;IL23R;IL24;IL26;IL27;IL27RA;IL2RA;IL2RB;IL2RG;IL3;IL31;IL31RA;IL3RA;IL4;IL4R;IL5;IL5RA;IL6;IL6R;IL6ST;IL7;IL7R;IL9;IL9R;IRF9;JAK1;JAK2;JAK3;LEP;LEPR;LIF;LIFR;MCL1;MPL;MTOR;MYC;OSM;OSMR;P3R3URF-PIK3R3;PDGFA;PDGFB;PDGFRA;PDGFRB;PIAS1;PIAS2;PIAS3;PIAS4;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIM1;PRL;PRLR;PTPN11;PTPN2;PTPN6;RAF1;SOCS1;SOCS2;SOCS3;SOCS4;SOCS5;SOCS6;SOCS7;SOS1;SOS2;STAM;STAM2;STAT1;STAT2;STAT3;STAT4;STAT5A;STAT5B;STAT6;THPO;TSLP;TYK2",80,168,TRUE,NA,0.0134375906741545,0.0930092060387557,0.380730400722792,0.370048894625172,1.51584761499378,80,"MYC;OSM;STAT5A;IL27RA;IL4R;PIM1;IFNGR2;SOCS6;STAT3;IL4;PTPN6;IL21R;JAK3;PIK3R3;GRB2;IL2RA;AKT1","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04066","HIF-1 signaling pathway","KEGG","hsa04066","hsa04066 HIF-1 signaling pathway",110,"AKT1;AKT2;AKT3;ALDOA;ALDOB;ALDOC;ANGPT1;ANGPT2;ANGPT4;ARNT;BCL2;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CDKN1A;CDKN1B;CREBBP;CUL2;CYBB;EDN1;EGF;EGFR;EGLN1;EGLN2;EGLN3;EIF4E;EIF4E1B;EIF4E2;EIF4EBP1;ELOB;ELOC;ENO1;ENO2;ENO3;EP300;EPAS1;EPO;ERBB2;FLT1;GAPDH;HIF1A;HK1;HK2;HK3;HKDC1;HMOX1;IFNG;IFNGR1;IFNGR2;IGF1;IGF1R;IL6;IL6R;INS;INSR;LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC;LTBR;MAP2K1;MAP2K2;MAPK1;MAPK3;MKNK1;MKNK2;MTOR;NFKB1;NOS2;NOS3;NPPA;P3R3URF-PIK3R3;PDHA1;PDHA2;PDHB;PDK1;PFKFB3;PFKL;PFKM;PFKP;PGK1;PGK2;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PLCG1;PLCG2;PRKCA;PRKCB;PRKCG;RBX1;RELA;RPS6;RPS6KB1;RPS6KB2;SERPINE1;SLC2A1;STAT3;TEK;TF;TFRC;TIMP1;TLR4;VEGFA;VHL",74,110,TRUE,NA,0.0153585196432049,0.0985737715282058,0.380730400722792,0.357055867145973,1.43811918560752,74,"LDHA;RELA;IFNGR2;STAT3;ENO1;PGK1;FLT1;HK1;PRKCA;ALDOA;TFRC;PIK3R3;PFKP;EIF4E2;NFKB1;RPS6KB1;AKT1;EGLN2;LDHB;GAPDH;PDHA1;MAPK3;MAP2K1;ELOC;RPS6","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04137","Mitophagy - animal","KEGG","hsa04137","hsa04137 Mitophagy - animal",105,"AMBRA1;AMFR;ARIH1;ATF4;ATG9A;ATG9B;BCL2L1;BCL2L13;BECN1;BECN2;BNIP3;BNIP3L;CALCOCO2;CCZ1;CCZ1B;CITED2;CSNK2A1;CSNK2A2;CSNK2A3;CSNK2B;E2F1;EIF2AK3;EIF2S1;FIS1;FKBP8;FOXO3;FUNDC1;GABARAP;GABARAPL1;GABARAPL2;HIF1A;HRAS;HUWE1;JUN;KRAS;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAPK10;MAPK8;MAPK9;MARCHF5;MFN1;MFN2;MITF;mitochondrial import receptor subunit TOM7 homolog;MON1A;MON1B;MRAS;MTX1;MTX2;MTX3;MUL1;NBR1;NLRX1;NRAS;OPA1;OPTN;PGAM5;PHB2;PINK1;PRKN;RAB5A;RAB5B;RAB5C;RAB7A;RAB7B;RABGEF1;RELA;RHOT1;RHOT2;RPS27A;RRAS;RRAS2;SAMM50;SIAH1;SMURF1;SMURF2;SP1;SQSTM1;SRC;TAX1BP1;TBC1D15;TBC1D17;TBK1;TFE3;TFEB;TOMM20;TOMM20L;TOMM40;TOMM40L;TOMM7;TOMM70;TP53;TRAF2;UBA52;UBB;UBC;ULK1;USP15;USP30;USP8;VCP",89,105,TRUE,NA,0.0158390970690435,0.0998428797387919,0.352487857583619,0.341306709259687,1.44241575371799,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa03050","Proteasome","KEGG","hsa03050","hsa03050 Proteasome",46,"ADRM1;IFNG;POMP;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB11;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;PSME4;PSMF1;SEM1",44,46,TRUE,NA,0.0181870601426723,0.108814105599378,0.352487857583619,0.415826014095646,1.52779981316517,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa00480","Glutathione metabolism","KEGG","hsa00480","hsa00480 Glutathione metabolism",59,"ANPEP;CHAC1;CHAC2;G6PD;GCLC;GCLM;GGCT;GGT1;GGT5;GGT6;GGT7;GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GPX7;GPX8;GSR;GSS;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTK1;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTP1;GSTT1;GSTT2;GSTT2B;GSTT4;HPGDS;IDH1;IDH2;inactive glutathione hydrolase 2 isoform X1;LANCL1;LAP3;MGST1;MGST2;MGST3;NAT8;ODC1;OPLAH;PGD;PRDX6;RRM1;RRM2;RRM2B;SMS;SRM;TXNDC12",29,59,TRUE,NA,0.0398249055487434,0.182573917645538,0.321775918075361,0.438440371076745,1.45901988311753,29,"ODC1;SRM;LAP3;GPX7;GCLM;SMS;TXNDC12;GPX4;GGCT","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",30,32,TRUE,NA,0.116541353383459,0.299392911347201,0.178219874951973,-0.400190963787103,-1.3362951295557,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8","relapse_down"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","hsa04120","Ubiquitin mediated proteolysis","KEGG","hsa04120","hsa04120 Ubiquitin mediated proteolysis",142,"AIRE;ANAPC1;ANAPC10;ANAPC11;ANAPC13;ANAPC15;ANAPC16;ANAPC2;ANAPC4;ANAPC5;ANAPC7;BIRC2;BIRC3;BIRC6;BIRC7;BRCA1;BTRC;CBL;CBLB;CBLC;CDC16;CDC20;CDC23;CDC26;CDC27;CDC34;COP1;CUL1;CUL2;CUL3;CUL4A;CUL4B;CUL5;CUL7;DDB1;DDB2;DET1;ELOB;ELOC;ERCC8;FANCL;FBXO2;FBXO4;FBXW11;FBXW7;FBXW8;FZR1;HERC1;HERC2;HERC3;HERC4;HUWE1;ITCH;KEAP1;KLHL13;KLHL9;MAP3K1;MDM2;MGRN1;MID1;NEDD4;NEDD4L;NHLRC1;PIAS1;PIAS2;PIAS3;PIAS4;PML;PPIL2;PRKN;PRPF19;RBX1;RCHY1;RHOBTB1;RHOBTB2;RNF7;RPS27A;SAE1;SIAH1;SKP1;SKP2;SMURF1;SMURF2;SOCS1;SOCS3;STUB1;SYVN1;TRAF6;TRIM32;TRIM37;TRIP12;UBA1;UBA2;UBA3;UBA52;UBA6;UBA7;UBB;UBC;UBE2A;UBE2B;UBE2C;UBE2D1;UBE2D2;UBE2D3;UBE2D4;UBE2E1;UBE2E2;UBE2E3;UBE2F;UBE2G1;UBE2G2;UBE2H;UBE2I;UBE2J1;UBE2J2;UBE2K;UBE2L3;UBE2L6;UBE2M;UBE2N;UBE2NL;UBE2O;UBE2Q1;UBE2Q2;UBE2QL1;UBE2R2;UBE2S;UBE2U;UBE2W;UBE2Z;UBE3A;UBE3B;UBE3C;UBE4A;UBE4B;UBOX5;UBR5;VHL;WWP1;WWP2;XIAP",130,142,TRUE,NA,0.240165631469979,0.443866324130381,0.126253987849115,0.248215565532592,1.10722853774092,130,"UBE2Z;ANAPC13;RHOBTB1;UBE2E3;NEDD4L;FBXW11;UBA2;MDM2;KEAP1;UBE2M;UBE2K;CUL1;UBE2D3;DDB2;UBE2L6;CDC26;UBE2D2;UBE2S;UBE4A;UBR5;ANAPC11;UBE2A;SKP1;SMURF2;CUL4A;PRPF19;ELOC;UBE2J2;UBA52;UBC;SKP2;SOCS3;CDC34;UBE2D1;WWP2;VHL;RCHY1;RPS27A;RBX1","relapse_up"
