"sample_id","patient_pair","condition_simple","cells","analysis","sample"
"M104","P1","diagnosis",140,"global25","P1 Dx"
"M127","P1","relapse",971,"global25","P1 Rel"
"M143","P2","diagnosis",712,"global25","P2 Dx"
"M148","P2","relapse",269,"global25","P2 Rel"
"M187","P3","diagnosis",456,"global25","P3 Dx"
"M187r","P3","relapse",659,"global25","P3 Rel"
"M104","P1","diagnosis",434,"within15","P1 Dx"
"M127","P1","relapse",449,"within15","P1 Rel"
"M143","P2","diagnosis",342,"within15","P2 Dx"
"M148","P2","relapse",295,"within15","P2 Rel"
"M187","P3","diagnosis",107,"within15","P3 Dx"
"M187r","P3","relapse",299,"within15","P3 Rel"
"M104","P1","diagnosis",723,"within25","P1 Dx"
"M127","P1","relapse",748,"within25","P1 Rel"
"M143","P2","diagnosis",570,"within25","P2 Dx"
"M148","P2","relapse",492,"within25","P2 Rel"
"M187","P3","diagnosis",179,"within25","P3 Dx"
"M187r","P3","relapse",498,"within25","P3 Rel"
"M104","P1","diagnosis",66,"reference95","P1 Dx"
"M127","P1","relapse",659,"reference95","P1 Rel"
"M143","P2","diagnosis",440,"reference95","P2 Dx"
"M148","P2","relapse",144,"reference95","P2 Rel"
"M187","P3","diagnosis",350,"reference95","P3 Dx"
"M187r","P3","relapse",319,"reference95","P3 Rel"
