"key","Pathway","sc_NES","sc_FDR","sc_P","sc_genes","bulk_NES","bulk_FDR","bulk_P","bulk_genes","analysis","tested_in_both","sc_significant","bulk_significant","same_direction","shared_FDR005"
"glycolysisgluconeogenesis","Glycolysis / Gluconeogenesis",1.23265058015374,0.38265771666218,0.174477044281445,35,1.50641606111051,0.0551190616965169,0.0214964340616416,48,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"citratecycletcacycle","Citrate cycle (TCA cycle)",-0.603461359596455,0.983068414052616,0.969143932267168,26,0.675168269703603,0.947963937595661,0.910045380091834,29,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"pentosephosphatepathway","Pentose phosphate pathway",0.878935019977433,0.797317307620759,0.636223344556678,22,1.09131584424857,0.466905567228498,0.344759589411129,28,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"pentoseandglucuronateinterconversions","Pentose and glucuronate interconversions",-1.14060598759187,0.524989653061155,0.290008448574859,12,0.914483245629347,0.712082152566124,0.586280972279442,13,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"fructoseandmannosemetabolism","Fructose and mannose metabolism",-1.07728629047426,0.58878516885657,0.346550612508059,20,1.35484643708424,0.183096846954146,0.0946000375929755,29,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"galactosemetabolism","Galactose metabolism",-0.974041458875362,0.693535759596158,0.4872432532007,20,1.18008798183989,0.362234626818671,0.245628939435462,25,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"ascorbateandaldaratemetabolism","Ascorbate and aldarate metabolism",-0.871516756100427,0.790538588067929,0.618098159509202,6,-1.09653560340517,0.453502043558591,0.331056491797772,8,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"fattyacidbiosynthesis","Fatty acid biosynthesis",-1.74310502950818,0.0519278201272998,0.00955702509285261,16,1.21350232153302,0.356870318845032,0.233155274978754,10,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"fattyacidelongation","Fatty acid elongation",1.33290495683433,0.29274770956213,0.116933221099888,22,0.877121789248384,0.75865177103316,0.647382844614963,25,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"fattyaciddegradation","Fatty acid degradation",0.820246132753281,0.878457905977588,0.741587693998077,30,0.893506106375499,0.744868551246567,0.632041697378119,34,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"steroidbiosynthesis","Steroid biosynthesis",0.651536405822394,0.960146837792131,0.911187508952872,16,0.829411152914243,0.798842413512012,0.702981323890571,17,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"primarybileacidbiosynthesis","Primary bile acid biosynthesis",-0.829752684567746,0.830316552504602,0.669713948687703,5,1.01317609512778,0.574817155221928,0.456021609809397,10,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"ubiquinoneandotherterpenoidquinonebiosynthesis","Ubiquinone and other terpenoid-quinone biosynthesis",-0.548099335713152,0.983068414052616,0.964752922769351,9,-1.34237418551981,0.239033105912706,0.135452093350534,10,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"steroidhormonebiosynthesis","Steroid hormone biosynthesis",0.766996794513782,0.897557711609234,0.765749190462172,10,1.24594993401894,0.316607244082781,0.200517921252428,13,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"oxidativephosphorylation","Oxidative phosphorylation",2.38066145734668,1.09316869815754e-08,1.23871807156662e-10,102,2.32573962367758,1.0010207848103e-09,6.67347189873532e-12,98,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"argininebiosynthesis","Arginine biosynthesis",1.21710316562446,0.459144950705834,0.240628373599375,8,1.12173435779473,0.452923437102917,0.327614619504444,13,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"purinemetabolism","Purine metabolism",0.774300777976147,0.954534733247918,0.872864662382536,70,0.83894529747224,0.847646343432278,0.771358172523373,98,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"pyrimidinemetabolism","Pyrimidine metabolism",0.829659985797684,0.878872140824286,0.745464301284416,43,0.801695423292883,0.859268137741677,0.784798232470732,45,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"alanineaspartateandglutamatemetabolism","Alanine, aspartate and glutamate metabolism",0.553187627341138,0.983068414052616,0.967616300036062,14,1.33483487245734,0.209614797873109,0.11598685482312,23,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"glycineserineandthreoninemetabolism","Glycine, serine and threonine metabolism",0.822239752345844,0.86012711549482,0.709056630620376,17,0.836933339443296,0.8038072679618,0.71270911092613,29,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"cysteineandmethioninemetabolism","Cysteine and methionine metabolism",1.18641548939001,0.422310840591877,0.217735334242838,34,-1.31083620662751,0.180779099603452,0.0921973407977607,38,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"valineleucineandisoleucinedegradation","Valine, leucine and isoleucine degradation",-0.817988232284589,0.899180173587703,0.779459300617103,38,-0.787844495871723,0.910912492205363,0.859294117647059,45,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"lysinedegradation","Lysine degradation",-1.32886688312933,0.219693612838774,0.0771728271728272,48,-2.0798740408525,0.000255353828642931,3.14936388659615e-05,53,"within15",TRUE,FALSE,TRUE,TRUE,FALSE
"arginineandprolinemetabolism","Arginine and proline metabolism",1.21030986440787,0.418684145735919,0.212307258036061,21,1.55008886544613,0.0506882973566122,0.0192615529955126,35,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"histidinemetabolism","Histidine metabolism",-1.03853701229726,0.657975460793627,0.4289084551544,5,0.67932612505212,0.922921680219179,0.873699190607489,12,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"tyrosinemetabolism","Tyrosine metabolism",1.1536991158873,0.541633088696539,0.303805528504008,7,1.44754500144601,0.134900387579659,0.0643025180796375,15,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"tryptophanmetabolism","Tryptophan metabolism",-0.767378003817125,0.905198385486245,0.789564272126098,16,1.08910852310731,0.466905567228498,0.34706647163985,27,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"betaalaninemetabolism","beta-Alanine metabolism",-1.43171553997393,0.224180681848103,0.0802254791431793,15,0.838060546079981,0.79446998743179,0.696485355648536,21,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"phosphonateandphosphinatemetabolism","Phosphonate and phosphinate metabolism",-0.874169673556943,0.788819483175311,0.614519427402863,6,-1.27449427545273,0.316607244082781,0.199746822089773,6,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"selenocompoundmetabolism","Selenocompound metabolism",-0.618824677589069,0.977391327823761,0.93032149050647,12,-1.17757608980637,0.362234626818671,0.246319546236696,14,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"glutathionemetabolism","Glutathione metabolism",1.4493032425608,0.176028338654967,0.05385569567914,29,1.71247452341726,0.00814940710608663,0.0020916811572289,48,"within15",TRUE,FALSE,TRUE,TRUE,FALSE
"starchandsucrosemetabolism","Starch and sucrose metabolism",-1.3857421080769,0.260672349651578,0.100869643989492,16,1.15473546435434,0.398445905558876,0.278912133891213,21,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"nglycanbiosynthesis","N-Glycan biosynthesis",0.875645099406244,0.830316552504602,0.670368887999466,48,1.0331709748733,0.543552029760065,0.42034690301445,45,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"otherglycandegradation","Other glycan degradation",-1.90565701215552,0.0181100211701047,0.00198451786903278,15,1.64644852407709,0.0347177482855875,0.0123866981434525,14,"within15",TRUE,TRUE,TRUE,FALSE,FALSE
"mucintypeoglycanbiosynthesis","Mucin type O-glycan biosynthesis",1.35128733446636,0.299121761077855,0.120326600773528,16,0.867982742082859,0.76006491825327,0.651122279970301,17,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"varioustypesofnglycanbiosynthesis","Various types of N-glycan biosynthesis",0.795074470622924,0.905198385486245,0.789804823597064,37,,,,,"within15",FALSE,FALSE,FALSE,FALSE,FALSE
"othertypesofoglycanbiosynthesis","Other types of O-glycan biosynthesis",0.991752780590018,0.678162459145239,0.468287269826958,27,1.28678087211796,0.263279644684951,0.154457391548505,20,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"mannosetypeoglycanbiosynthesis","Mannose type O-glycan biosynthesis",-1.08315203770911,0.58878516885657,0.348600850682785,13,-0.86614148941219,0.765031585114241,0.657927163198248,19,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"aminosugarandnucleotidesugarmetabolism","Amino sugar and nucleotide sugar metabolism",-0.836145973816444,0.869940619116223,0.723212583412774,29,1.39468692289064,0.131368849822738,0.0608675670845355,43,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"glycosaminoglycandegradation","Glycosaminoglycan degradation",-0.58296688676465,0.983068414052616,0.95141162934773,11,1.09355890314921,0.475869921174322,0.35531620781016,16,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"glycosaminoglycanbiosynthesischondroitinsulfatedermatansulfate","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.913439609025463,0.767812878453961,0.578578542970973,17,,,,,"within15",FALSE,FALSE,FALSE,FALSE,FALSE
"glycosaminoglycanbiosynthesiskeratansulfate","Glycosaminoglycan biosynthesis - keratan sulfate",1.08653737772142,0.600346859952494,0.365650353795428,9,,,,,"within15",FALSE,FALSE,FALSE,FALSE,FALSE
"glycosaminoglycanbiosynthesisheparansulfateheparin","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1.39376423425528,0.260672349651578,0.101167455813785,13,,,,,"within15",FALSE,FALSE,FALSE,FALSE,FALSE
"biosynthesisofvariousnucleotidesugars","Biosynthesis of various nucleotide sugars",-0.709389677251889,0.948095808385998,0.851068606321839,14,,,,,"within15",FALSE,FALSE,FALSE,FALSE,FALSE
"glycerolipidmetabolism","Glycerolipid metabolism",-1.2589715557409,0.325614103755892,0.138362933607319,37,1.32404714018402,0.183166468088133,0.0970617365467151,45,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"inositolphosphatemetabolism","Inositol phosphate metabolism",-1.33233486386838,0.19627843961858,0.0644994305828761,63,0.851910867772706,0.809315002456684,0.72568578553616,66,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"glycosylphosphatidylinositolgpianchorbiosynthesis","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",-0.784430635996949,0.915319224738283,0.801228443184503,27,-0.654729747542647,0.975527712159763,0.943010121754437,24,"within15",TRUE,FALSE,FALSE,TRUE,FALSE
"glycerophospholipidmetabolism","Glycerophospholipid metabolism",-1.44551389628842,0.117546106557377,0.0306352459016393,58,1.1999417339143,0.295337272202909,0.181140193617784,73,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"etherlipidmetabolism","Ether lipid metabolism",-1.5993813533253,0.104318617151309,0.0263012944092536,19,1.46197418914626,0.0978839375609695,0.0443740516943062,31,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
"arachidonicacidmetabolism","Arachidonic acid metabolism",0.954570206184324,0.722896741463887,0.52127202406532,16,2.0500962843522,0.00013279195167497,1.41644748453302e-05,35,"within15",TRUE,FALSE,TRUE,TRUE,FALSE
"alphalinolenicacidmetabolism","alpha-Linolenic acid metabolism",-1.48159376739829,0.214091600597195,0.072172522580924,8,1.15143476630019,0.420738059678316,0.297321562172677,11,"within15",TRUE,FALSE,FALSE,FALSE,FALSE
