"key","Pathway","sc_NES","sc_FDR","sc_P","sc_genes","bulk_NES","bulk_FDR","bulk_P","bulk_genes","analysis","tested_in_both","sc_significant","bulk_significant","same_direction","shared_FDR005"
"oxidativephosphorylation","Oxidative phosphorylation",2.38066145734668,1.09316869815754e-08,1.23871807156662e-10,102,2.32573962367758,1.0010207848103e-09,6.67347189873532e-12,98,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"parkinsondisease","Parkinson disease",2.22834006320543,1.36156825686376e-09,1.15714016164059e-11,199,2.0684179570893,2.08307663555114e-06,4.86051214961933e-08,104,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"huntingtondisease","Huntington disease",1.92269031494192,5.24369918432866e-06,1.18837375282236e-07,222,1.84093727250083,4.16630600922178e-05,3.0552910734293e-06,149,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"thermogenesis","Thermogenesis",1.92270578612596,4.26504203577596e-05,1.08740448504203e-06,168,1.77576585442133,4.931029881716e-05,4.10919156809667e-06,178,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"alzheimerdisease","Alzheimer disease",1.74575692402636,0.000110296621079493,4.06191522389069e-06,260,1.93359210446271,4.87192110939931e-06,1.94876844375972e-07,137,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"epsteinbarrvirusinfection","Epstein-Barr virus infection",1.838595344053,0.00031198163483956,1.23732093137503e-05,150,1.82893222116747,1.37326048464215e-05,6.40854892833002e-07,183,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"ribosome","Ribosome",2.78854566712617,2.37197016538037e-20,6.71946222487357e-23,166,1.7584512387432,0.000357681829111984,5.00754560756778e-05,128,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"th1andth2celldifferentiation","Th1 and Th2 cell differentiation",1.96406194637926,0.00120307851844155,5.11223166476581e-05,61,1.83823280331253,0.000524784815992789,8.39655705588463e-05,80,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"tuberculosis","Tuberculosis",1.83065179448528,0.00230238569103758,0.000110879764157617,98,1.95849571551782,3.81258599088818e-06,1.28001753244394e-07,142,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
"asthma","Asthma",1.90198230629064,0.00579959354030238,0.000312159425681998,7,2.12780821507588,4.931029881716e-05,4.03485858656091e-06,18,"within15",TRUE,TRUE,TRUE,TRUE,TRUE
