"Dataset","Pathway","NES","pval","padj","size","leadingEdge"
"scRNA-seq
global top 25%","Oxidative phosphorylation",1.92425332524395,1.85561412537505e-05,0.00145535521092792,103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ATP5PF;PPA2;COX4I1;ATP6V0A4;ATP6V0D1;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP6V1G1;ATP5PB;NDUFA8;NDUFB11;COX15;ATP5ME;LHPP;NDUFA1;ATP6V0B;COX7A2"
"scRNA-seq
global top 25%","Ribosome",1.83560693503016,1.12794209966497e-05,0.00132721187060578,169,"MRPL15;MRPS2;RPL39L;MRPS18A;MRPL37;MRPS7;MRPS6;MRPL1;RPL26L1;MRPL33;MRPL36;AURKAIP1;RPL30;MRPL24;RPS16;RPL8;RPLP1;RPL23A;MRPL20;MRPL54;MRPL27;RPS6;RPLP2;UBA52;MRPL11;RPS13;MRPL47;MRPL58;RPL4;RPL7;RPS7;MRPL3;MRPL49;RPL21;RPS17;RPL37;MRPL14;MRPS30;RPL18A;RPLP0;MRPL51;RPS27A;RPS28;RPL38;RPS27L;RPS20;RPS15A;MRPS23;RPL19;MRPS35;RPS25;MRPL21;RPL27A;RPS27;RPS21;RPS24;RPL14;RPL36;RPS4X;MRPL40;RPS3A;RPL23;RPS29;RPL5;RPL3;RPS3;RPS19;RPL13A;RPS2;RPL22;RPL35;RPL27;RSL24D1;RPL39;RPL11;RPL36A;MRPL41;RPS14;RPL35A;MRPS28;RPL9;RPL24;MRPL12;RPS12;RPL37A;RPL18;RPL15;MRPL2;MRPL17;RPL10A;RPS23;MRPL39;RPL32;RPL17;RPL12"
"scRNA-seq
global top 25%","Proteasome",1.51586668427521,0.0218004513217279,0.126156710107704,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2"
"scRNA-seq
global top 25%","Autophagy - other",-1.32994008538834,0.103849382419954,0.283192237945411,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8"
"scRNA-seq
global top 25%","Mitophagy",1.43218748568361,0.0217993643549833,0.126156710107704,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1"
"scRNA-seq
global top 25%","Autophagy",-0.925609379133464,0.641066687490239,0.772343142266397,149,"SMCR8;DDIT4;ATG9B;AKT3;RAB33B;PIK3C3;STX7;GABARAP;EPG5;UVRAG;EIF2AK4;TSC1;PRKCD;VPS39;GABARAPL1;ATG10;ITPR1;RRAGB;PRKCQ;ERN1;RRAGA;TRAF6;LAMP2;AMBRA1;VPS11;MTMR4;MAPK10;VPS33A;C9orf72;PIK3R4;PTEN;DAPK1;TSC2;RAB39B;BAD;ATG5;ATG14;AKT1S1;ATG16L2;ATG2B;STX17;WDR45"
"scRNA-seq
within-sample top 15%","Oxidative phosphorylation",2.38066145734668,1.23871807156662e-10,1.09316869815754e-08,102,"NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;UQCRH;ATP6V0A4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;NDUFA12;ATP6V0C;COX7A2;COX7B;ATP5PF;NDUFB9;ATP6V1G1;UQCRB;CYC1;ATP5F1C;UQCR11;COX8A;ATP6V0D1;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;ATP6V0E1;NDUFB2;NDUFS4;NDUFS3;ATP6V1F;NDUFA1;SDHB;ATP5MC3;UQCR10;ATP5ME;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;COX17;PPA1;ATP5MF;NDUFS5;COX7C;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ"
"scRNA-seq
within-sample top 15%","Ribosome",2.78854566712617,6.71946222487357e-23,2.37197016538037e-20,166,"RPL39L;MRPS18A;RPL30;MRPL54;MRPL15;AURKAIP1;RPL21;RPL26L1;RPS4Y1;UBA52;RPS16;RPS13;RPL8;MRPL33;RPS27;RPL7;RPS15A;MRPS23;RPL23A;RPS27A;RPLP2;RPLP1;RPL37;RPS7;RPS28;RPL35A;RPS20;RPL27;RPS6;RPL38;MRPL43;RPS29;RPL18A;RPL36AL;RPL39;RPL17;RPL36;RPL11;RPS24;RPL9;RPS3A;RPL19;RPS4X;FAU;MRPL47;RPS25;RPL32;RPL27A;RPS19;RPS3;RPL22;RPS14;RPL24;MRPL58;RPL5;RPL18;MRPS2;RPS17;RPL37A;RPS12;RPL35;RPL34;MRPS7;RPS9;RPL13A;MRPS6;RPL3;RPS23;MRPL21;RPL23;RPL29;MRPL13;RPL14;RPS18;RPL12;RPL15;MRPL17;RPS2;RPL4;RPL6;RPL13;RPS21;MRPL36;GADD45GIP1;RPL10;RPS26;RPL7A;RPS15;RPLP0;MRPL41;RPS5;RPL41;RPL10A;RPL31;MRPL40;MRPS30;RPL36A;MRPS17;MRPS15;RPS8;MRPL20;MRPL50;MRPL27"
"scRNA-seq
within-sample top 15%","Proteasome",1.88056919729581,0.00054918033747313,0.00837925505996343,44,"ADRM1;POMP;PSMB1;PSMB9;PSMB3;PSMA7;PSMD12;PSMD7;PSMB7;PSMD8;PSMC3;PSME2;PSMC4;PSME1;PSMC5;SEM1;PSMA4;PSMB8;PSMC1;PSMD6;PSMA3;PSME3;PSMB10;PSMB2;PSMD3;PSMA2;PSMD11"
"scRNA-seq
within-sample top 15%","Autophagy - other",-0.938795636126857,0.55324118207817,0.742563259595414,29,"PIK3C3;ATG10;MTOR"
