"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes","Dataset"
"Cytokine-cytokine receptor interaction",2.30210586454845,2.49728486391276e-15,7.49185459173828e-13,"Up",165,"Tnfrsf4;Ltb;Lta;Ccr7;Ccl6;Tnfrsf9;Tnfrsf18;Bmp4;Ifngr2;Osm;Ccr4;Tnf;Ccl22;Ccl9;Csf2;Il12rb1;Il10rb;Il4ra;Il17f;Cxcl16;Acvrl1;Lif;Il10ra;Bmpr1a;Ccl1;Il1r1;Cxcr5;Tnfrsf11b;Ccl17;Cx3cl1;Csf2rb2;Ccr1;Ackr3;Il17rc;Cxcr2;Il1rn;Il23a;Cxcl9;Il1b;Ifngr1;Bmp7;Tnfsf11;Csf2rb;Il4;Il23r;Il1r2;Il17re;Tnfsf13b;Tnfrsf11a;Cxcr6;Ccr3;Gdf11;Tnfrsf25;Il1rl1;Il18r1;Lifr;Il6;Cxcl10;Cd40;Il2rg;Ccr6;Xcr1;Il9r;Ifnlr1;Ccl3;Csf1r;Tnfsf14;Clcf1;Il2rb;Cxcl2;Acvr2a;Csf1;Leprot;Tgfbr2;Il22;Il11ra1;Csf3r;Il5;Il13;Il27ra;Inha;Tnfsf4;Ccr2;Ccr9;Acvr1;Crlf2;Ccl25;Fas;Ifnar2;Il3ra;Il15ra;Amhr2;Relt","bulk_STAT5B"
"Oxidative phosphorylation",2.32573962367758,6.67347189873532e-12,1.0010207848103e-09,"Up",98,"Atp6ap1;Ndufa1;Atp6v0a1;Ndufa13;Cox6a1;Atp6v0e;Cox7a2;Ndufa6;Cox8a;ND6;ND2;ND1;ND4;Atp6v1b2;ND5;Ndufa10;COX1;Cox6c;CYTB;Cox5a;Ndufb7;Cox4i1;Atp6v1f;Ndufv3;Ndufb11;Ndufb9;Cox7b;Cox4i2;Uqcrq;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Atp6v1e1;Uqcr10;Atp6v0d1;Atp6v1g1;Atp6v0d2;Atp6v1h;Atp6v1c1;Ndufa3;Atp6v0b;Ndufa5;Ndufb5;Cox7a2l;Ndufa2;Atp6v1g2;Ndufs6;Ndufs2;Uqcrfs1;Cyc1;Lhpp;Cox17;Ndufa7;Ndufb10;Cox10;Ndufs3;Ndufs4;Ndufa11;Sdhb;Ndufb8;Uqcr11;Ndufa12;Cox11;Cox5b;Ndufs7;Uqcrb;Ndufs5;Ndufv2","bulk_STAT5B"
"Phagosome",2.22908483401426,2.87891304291078e-11,2.87891304291078e-09,"Up",124,"Actb;Itgam;Atp6ap1;Cyba;Itgb5;Ncf4;Atp6v0a1;H2-Oa;H2-Q10;Tuba8;Tubb6;H2-DMb2;Mrc2;Atp6v0e;Ctss;H2-Q6;H2-K1;Tuba1a;Atp6v1b2;H2-M2;Coro1a;Clec7a;Itgb3;Atp6v1f;Itgb2;Cd36;H2-Eb1;Rab7b;C3;H2-Aa;Tlr2;H2-M3;Dync1li1;Rilp;H2-Q7;Tubb4a;H2-Ab1;H2-D1;Tuba1c;Tap1;Atp6v1e1;H2-DMb1;Atp6v0d1;Atp6v1g1;Cybb;Atp6v0d2;Atp6v1h;Atp6v1c1;Sec22b;Itgav;Atp6v0b;H2-Q4;Lamp1;Tfrc;Rab7;Tubb2a;Atp6v1g2;Sec61b;H2-T22","bulk_STAT5B"
"Hematopoietic cell lineage",2.32631320647423,1.35173164065731e-10,1.01379873049298e-08,"Up",73,"Itgam;Cd8a;H2-Oa;Tnf;Cd8b1;Csf2;Il4ra;H2-DMb2;Il1r1;Flt3l;Cd19;Il1b;Itga3;Il4;Anpep;Cd38;Itgb3;Il1r2;Cd36;H2-Eb1;Cd2;H2-Aa;Cd55;Il6;Il9r;Ms4a1;Flt3;Csf1r;H2-Ab1;H2-DMb1;Csf1;Il11ra1;Csf3r;Il5;Kit;Tfrc;Cd37;Itga2b;Il3ra","bulk_STAT5B"
"Non-alcoholic fatty liver disease (NAFLD)",2.13011257358395,4.22685672166606e-10,2.53611403299963e-08,"Up",130,"Ndufa1;Prkag1;Tnf;Ndufa13;Bax;Cox6a1;Cox7a2;Ndufa6;Cox8a;Il1b;Ndufa10;Ikbkb;COX1;Cox6c;CYTB;Cox5a;Ndufb7;Cox4i1;Ndufv3;Il6;Ndufb11;Atf4;Ndufb9;Rxra;Cox7b;Cox4i2;Uqcrq;Ddit3;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Adipor1;Prkaa1;Uqcr10;Leprot;Ndufa3;Traf2;Ndufa5;Ndufb5;Cebpa;Bcl2l11;Cox7a2l;Ndufa2;Nfkb1;Map3k5;Fas;Cycs;Ndufs6;Pik3cb;Ndufs2;Uqcrfs1;Pik3r2;Cyc1;Ndufa7;Ndufb10;Cdc42;Tgfb1;Ndufs3;Ndufs4;Casp8;Nr1h3;Ndufa11;Prkab1;Sdhb;Rela;Ndufb8;Uqcr11;Ndufa12;Cox5b;Ndufs7;Uqcrb;Ndufs5;Ndufv2","bulk_STAT5B"
"Cell adhesion molecules (CAMs)",2.11720831002736,1.27309892044745e-08,6.36549460223727e-07,"Up",99,"Itgam;Nectin1;Sdc4;Cntn1;Sdc3;Cd8a;H2-Oa;H2-Q10;Cd8b1;Cdh3;H2-DMb2;Pdcd1;Cd80;Itgb7;Vsir;H2-Q6;H2-K1;Icos;Cldn1;F11r;Cd226;H2-M2;Pdcd1lg2;Pvr;Igsf11;Sdc2;Vcan;Itgb2;H2-Eb1;Cd2;H2-Aa;H2-M3;Cd40;Cd86;Ncam1;H2-Q7;Sdc1;H2-Ab1;Neo1;H2-D1;Cadm3;H2-DMb1;Icam1;Vcam1;Itgav;H2-Q4","bulk_STAT5B"
"Parkinson disease",2.0684179570893,4.86051214961933e-08,2.08307663555114e-06,"Up",104,"Ndufa1;Ndufa13;Cox6a1;Cox7a2;Ndufa6;Cox8a;ND6;ND2;ND1;ND4;ND5;Ndufa10;COX1;Ube2g2;Cox6c;CYTB;Cox5a;Ndufb7;Cox4i1;Ndufv3;Ndufb11;Slc18a2;Ndufb9;Cox7b;Cox4i2;Uqcrq;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Uqcr10;Ube2j2;Ndufa3;Ndufa5;Ndufb5;Cox7a2l;Ubb;Ndufa2;Uchl1;Slc25a4;Cycs;Ndufs6;Ndufs2;Uqcrfs1;Cyc1;Ndufa7;Ndufb10;Ndufs3;Ndufs4;Vdac3;Ndufa11;Sdhb;Ndufb8;Uqcr11;Ndufa12;Cox5b;Ndufs7;Uqcrb;Ndufs5;Ndufv2;Vdac2;Htra2;Cox6a2;Prkaca;Park7;Sdhd;Ube2j1;Ndufb4;Sdhc","bulk_STAT5B"
"Rheumatoid arthritis",2.16204996181334,6.54229228763483e-08,2.45335960786306e-06,"Up",64,"Atp6ap1;Ltb;Atp6v0a1;H2-Oa;Tnf;Csf2;H2-DMb2;Cd80;Atp6v0e;Acp5;Il23a;Il1b;Atp6v1b2;Tnfsf11;Atp6v1f;Itgb2;Tnfsf13b;Tnfrsf11a;H2-Eb1;Fos;H2-Aa;Il6;Tlr2;Cd86;Ccl3;H2-Ab1;Atp6v1e1;H2-DMb1;Csf1;Atp6v0d1;Atp6v1g1;Icam1;Ctsk;Atp6v0d2;Atp6v1h;Atp6v1c1;Atp6v0b","bulk_STAT5B"
"Osteoclast differentiation",2.02161810300405,1.30358131804545e-07,3.81258599088818e-06,"Up",105,"Cyba;Ncf4;Ifngr2;Fhl2;Tnf;Il1r1;Tnfrsf11b;Jund;Mapk13;Junb;Fosl2;Socs1;Acp5;Relb;Camk4;Il1b;Ifngr1;Tnfsf11;Ikbkb;Nfkbia;Itgb3;Tnfrsf11a;Fos;Blnk;Lilra6;Ppp3ca;Sirpa;Pirb;Csf1r;Pparg;Plcg2;Csf1;Tgfbr2;Ctsk;Fosb;Traf2;Sqstm1;Gab2;Fyn;Nfkb1;Cyld;Ifnar2;Pik3cb;Pik3r2;Nox1","bulk_STAT5B"
"Th17 cell differentiation",2.03914503766541,1.397948196659e-07,3.81258599088818e-06,"Up",96,"Ifngr2;H2-Oa;Zap70;Il12rb1;Il4ra;H2-DMb2;Il17f;Foxp3;Il1r1;Rora;Mapk13;Il23a;Rorc;Il1b;Ifngr1;Ikbkb;Il4;Nfkbia;Il23r;Rxrg;Irf4;H2-Eb1;Gata3;Fos;H2-Aa;Il6;Prkcq;Ppp3ca;Il2rg;Rxra;H2-Ab1;Il2rb;H2-DMb1;Tgfbr2;Il22","bulk_STAT5B"
