"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Parkinson disease",1.94573458613524,1.49267960859228e-07,5.26915901833076e-05,"Up",202,"COX5A;ADRM1;NDUFC2;ATP5F1B;SLC18A2;TUBA1C;UQCRHL;MAPK9;NDUFA6;NDUFAB1;NDUFA9;SLC39A4;NDUFA12;CALM1;PSMB1;VDAC1;CYC1;SLC39A3;BAX;SLC25A5;UQCRH;KEAP1;PSMC5;HTRA2;ATF4;GNAS;COX6A1;UBE2L6;COX7A2L;COX8A;PSMD8;COX6C;NDUFV2;PSMA7;TUBA1B;ATP5PF;COX4I1;SLC39A8;PSMD11;TXN2;SLC39A6;SLC25A6;VDAC2;PARK7;SLC39A13;PSMD12;ATP5MC1;KIF5B;NDUFB7;UBE2J2;UBA52;PSMC3;PSMB3;MFN2;PSMB7;NDUFB6;UBC;ATP5F1C;CALM3;NDUFB9;GNAI2;ATP5MC3;ATP5F1A;TUBA4A;NDUFS3;PPIF;TUBB4A;COX7B;ITPR3;EIF2S1;SEM1;SDHB;PSMD2;PSMD7;RPS27A;ATP5F1E;TUBB2A;UBE2L3;NDUFB2;NDUFS8;PSMC4;SOD1;SLC39A7;DUSP1;UQCR11;ATP5PB;PSMA4;NDUFA8;NDUFB11;XBP1;TUBB4B;NDUFA1;UBE2J1;COX7A2;CALM2;PSMA8;PRKACA;PSMC1;PSMB2"
"Ribosome",1.83560693503016,1.12794209966497e-05,0.00132721187060578,"Up",169,"MRPL15;MRPS2;RPL39L;MRPS18A;MRPL37;MRPS7;MRPS6;MRPL1;RPL26L1;MRPL33;MRPL36;AURKAIP1;RPL30;MRPL24;RPS16;RPL8;RPLP1;RPL23A;MRPL20;MRPL54;MRPL27;RPS6;RPLP2;UBA52;MRPL11;RPS13;MRPL47;MRPL58;RPL4;RPL7;RPS7;MRPL3;MRPL49;RPL21;RPS17;RPL37;MRPL14;MRPS30;RPL18A;RPLP0;MRPL51;RPS27A;RPS28;RPL38;RPS27L;RPS20;RPS15A;MRPS23;RPL19;MRPS35;RPS25;MRPL21;RPL27A;RPS27;RPS21;RPS24;RPL14;RPL36;RPS4X;MRPL40;RPS3A;RPL23;RPS29;RPL5;RPL3;RPS3;RPS19;RPL13A;RPS2;RPL22;RPL35;RPL27;RSL24D1;RPL39;RPL11;RPL36A;MRPL41;RPS14;RPL35A;MRPS28;RPL9;RPL24;MRPL12;RPS12;RPL37A;RPL18;RPL15;MRPL2;MRPL17;RPL10A;RPS23;MRPL39;RPL32;RPL17;RPL12"
"Chemical carcinogenesis - reactive oxygen species",1.84015394030452,8.98794051924517e-06,0.00132721187060578,"Up",155,"FOS;RELA;COX5A;NDUFC2;ATP5F1B;UQCRHL;MAPK9;NDUFA6;AKR1C1;SOD2;NDUFAB1;NDUFA9;NDUFA12;VDAC1;CYC1;SLC25A5;PIK3R3;UQCRH;KEAP1;PRKD2;GRB2;CYBA;NFKB1;AKT1;COX6A1;IKBKG;COX7A2L;COX8A;EPHX2;COX6C;NDUFV2;NRAS;ATP5PF;COX4I1;MAPK3;MAP2K1;SLC25A6;VDAC2;ATP5MC1;NDUFB7;RAC1;NDUFB6;ACP1;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;PIK3CB;NCF1;NDUFS3;PPIF;COX7B;MAPK1;GSTO1;PTPN11;SDHB;ATP5F1E;NDUFB2;NDUFS8;SOD1;UQCR11;ARAF;ATP5PB;NDUFA8;NDUFB11"
"Oxidative phosphorylation",1.92425332524395,1.85561412537505e-05,0.00145535521092792,"Up",103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ATP5PF;PPA2;COX4I1;ATP6V0A4;ATP6V0D1;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP6V1G1;ATP5PB;NDUFA8;NDUFB11;COX15;ATP5ME;LHPP;NDUFA1;ATP6V0B;COX7A2"
"Ribosome biogenesis in eukaryotes",2.02040578384398,2.06140964720668e-05,0.00145535521092792,"Up",68,"DKC1;UTP4;EIF6;NXT1;NOP56;RRP7A;WDR36;NOP10;GTPBP4;GNL3L;RIOK1;POP1;WDR43;POP7;IMP3;IMP4;MDN1;UTP18;NHP2;GNL2;NOP58;RAN;RCL1;HEATR1;CSNK2A2;LSG1;SNU13;POP4;GNL3;GAR1;AK6;FBL;CSNK2A1"
"Amyotrophic lateral sclerosis",1.6539064109924,3.26578316786101e-05,0.00164688779750705,"Up",270,"ALYREF;TOMM40;COX5A;ACTB;UBQLN4;ADRM1;NDUFC2;ATP5F1B;ACTG1;WDR41;GPX7;TUBA1C;UQCRHL;NDUFA6;BID;NDUFAB1;OPTN;CASP1;NDUFA9;MAP2K3;NXT1;NDUFA12;PSMB1;VDAC1;CYC1;PPP3R1;SRSF7;BAX;UQCRH;PSMC5;DERL1;SRSF3;HNRNPA1;ATF4;RAB8A;COX6A1;SEH1L;VAPB;COX7A2L;COX8A;PSMD8;COX6C;NDUFV2;PSMA7;NUP58;TUBA1B;ATP5PF;COX4I1;BECN1;NUP155;PSMD11;PSMD12;ATP5MC1;KIF5B;NDUFB7;DCTN5;TNFRSF1B;PSMC3;PSMB3;HNRNPA3;RAC1;PSMB7;NDUFB6;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;TUBA4A;NDUFS3;HNRNPA2B1;TUBB4A;ANXA7;COX7B;ITPR3;EIF2S1;SEM1;SDHB;PSMD2;PSMD7;POM121C;ATP5F1E;TUBB2A;NDC1;RAE1;NDUFB2;PPP3CC;NDUFS8;PSMC4;SOD1;ULK2;ANXA11;NCBP1;BCL2;UQCR11;ATP5PB;PSMA4;NDUFA8;NDUFB11;ACTR1B"
"Prion disease",1.72540738593753,3.18530531199869e-05,0.00164688779750705,"Up",192,"STIP1;COX5A;ADRM1;NDUFC2;ATP5F1B;TUBA1C;UQCRHL;MAPK9;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PSMB1;VDAC1;CYC1;PPP3R1;BAX;SLC25A5;PIK3R3;UQCRH;PSMC5;CCL5;CYBA;ATF4;COX6A1;COX7A2L;COX8A;CREB3L3;PSMD8;COX6C;NDUFV2;PSMA7;TUBA1B;ATP5PF;COX4I1;EGR1;PRNP;MAPK3;PSMD11;SLC25A6;VDAC2;PSMD12;ATP5MC1;KIF5B;NDUFB7;CSNK2A2;IL1B;PSMC3;PSMB3;RAC1;PSMB7;NDUFB6;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;TUBA4A;PIK3CB;NCF1;NDUFS3;PPIF;NOTCH1;TUBB4A;COX7B;MAPK1;ITPR3;EIF2S1;SEM1;CSNK2A1;SDHB;PSMD2;PSMD7;ATP5F1E;TUBB2A;NDUFB2;PPP3CC;NDUFS8;PSMC4;SOD1"
"Coronavirus disease",1.77257066970993,4.7969773790878e-05,0.00211666626852249,"Up",151,"FOS;RELA;STAT3;RPL39L;MAPK9;TRAF3;CASP1;PRKCA;PIK3R3;RPL26L1;NFKB1;IKBKG;RPL30;OAS3;MYD88;RPS16;RPL8;RPLP1;RPL23A;MAPK3;MAP3K7;RPS6;RPLP2;UBA52;IL1B;RPS13;RPL4;RPL7;RPS7;PIK3CB;RPL21;RPS17;RPL37;MAPK1;RPL18A;RPLP0;RPS27A;RPS28;RPL38;RPS27L;RPS20;RPS15A;RPL19;RPS25;MX1;STAT1;EIF2AK2;RPL27A;RPS27;RPS21;RPS24;RPL14;RPL36;RPS4X;NFKBIB;RPS3A;RPL23;JAK1;RPS29;RPL5;RPL3;IRF9;RPS3;RPS19;RPL13A;RPS2;RPL22;PIK3R2;RPL35;RPL27;IRAK1;RSL24D1;RPL39;RPL11;RPL36A;RPS14;RPL35A;RPL9;RPL24;RPS12;RPL37A;RPL18;PIK3R1;RPL15;PIK3CD;RPL10A;RPS23;RPL32;RPL17;RPL12;CGAS;PRKCB;RPS4Y1"
"IgSF CAM signaling",1.74202714025148,7.38266326824167e-05,0.00289564459298812,"Up",152,"MBP;CD244;CRTAM;LY9;DOK2;ICAM3;ACTB;LCP2;ACTG1;TUBA1C;MAPK9;PTPN6;SPTBN2;ITGB1;PRKCA;CD48;CD226;MYH10;MYL12A;PIK3R3;EPB41L2;RAP1A;PXN;GRB2;ARPC2;AKT1;DYNLL2;ARF6;FOXO1;ACTR3C;ACTR3B;ACTN4;ICAM2;ACTR3;ITGB2;TUBA1B;SLAMF6;MSN;MAPK3;ARPC5L;RAP1B;CD96;MAP2K1;F11R;RAC1;NECTIN3;TUBA4A;PIK3CB;ARPC1A;TUBB4A;PARD6B;MAPK1;CASK;SSX2IP;MYL12B;PTPN11;EZR;JAML;TUBB2A;SPTBN1;ACTN1;ROBO3;PTPRD;PAK2;ARPC5"
"Epstein-Barr virus infection",1.70466272853195,0.000173919830211133,0.00613937000645299,"Up",158,"RUNX3;MYC;GADD45B;CD58;CALR;RELA;CD247;STAT3;ADRM1;MAPK9;TRAF3;CD44;CDK4;BID;MAP2K3;SIN3A;TAP1;BAX;JAK3;RIPK1;PIK3R3;NFKB2;HLA-C;MDM2;TAP2;HLA-E;TAPBP;B2M;PSMC5;E2F1;RELB;HLA-B;NFKB1;HDAC2;AKT1;DDB2;IKBKG;VIM;PSMD8;HLA-A;OAS3;MYD88"
