"Pathway","gene","logFC","PValue","FDR","rank_stat"
"Proteasome","ADRM1",0.924523163685771,0.0782702601757591,0.999875881051378,1.96770906172667
"Proteasome","POMP",0.817577955354322,0.11127152326635,0.999875881051378,1.7515131475856
"Proteasome","PSMB1",0.817843252972129,0.114958443312992,0.999875881051378,1.73119627898577
"Proteasome","PSMB9",0.963573214547353,0.153900910221075,0.999875881051378,1.54644295604931
"Proteasome","PSMB3",0.667286151174092,0.198256287681065,0.999875881051378,1.38077272645393
"Proteasome","PSMA7",0.546660668936828,0.231772515239271,0.999875881051378,1.27545376804208
"Proteasome","PSMD12",0.731737802694743,0.238427787046902,0.999875881051378,1.25615569869631
"Proteasome","PSMD7",0.578917913759723,0.282874635743899,0.999875881051378,1.13677494309412
"Proteasome","PSMB7",0.505435201648803,0.287072857362358,0.999875881051378,1.12630043597702
"Proteasome","PSMD8",0.447712969640096,0.345612112619348,0.999875881051378,0.991197457281623
"Proteasome","PSMC3",0.486027828900567,0.353462721090992,0.999875881051378,0.974450798804329
"Proteasome","PSME2",0.456080123270114,0.357309372130389,0.999875881051378,0.966298816135062
"Proteasome","PSMC4",0.437520400050656,0.38521248936654,0.999875881051378,0.909262596009037
"Proteasome","PSME1",0.424758843284772,0.418500551020807,0.999875881051378,0.84483592560249
"Proteasome","PSMC5",0.430894084658706,0.426055444801732,0.999875881051378,0.830723762883001
"Proteasome","SEM1",0.394585688911295,0.430932780591911,0.999875881051378,0.821701385391734
"Proteasome","PSMA4",0.38786628280572,0.436600669007129,0.999875881051378,0.81130005836648
"Proteasome","PSMB8",0.365057110698841,0.471353520768038,0.999875881051378,0.749403393011533
"Proteasome","PSMC1",0.324086968693045,0.512629174290484,0.999875881051378,0.67957988079867
"Proteasome","PSMD6",0.313355058683097,0.527133851604271,0.999875881051378,0.655853615764344
"Proteasome","PSMA3",0.292884042618568,0.537457349198376,0.999875881051378,0.639211916747501
"Proteasome","PSME3",0.301332699923017,0.538264286167814,0.999875881051378,0.637931606739852
"Proteasome","PSMB10",0.305365751012542,0.577591374193328,0.999875881051378,0.57616912754085
"Proteasome","PSMB2",0.256281710083773,0.623625012757649,0.999875881051378,0.506746992737671
"Proteasome","PSMD3",0.244653671470368,0.658371673402391,0.999875881051378,0.456052648352665
"Proteasome","PSMA2",0.226434292234718,0.669941929711076,0.999875881051378,0.439448068498572
"Proteasome","PSMD11",0.210424466768746,0.674797695142604,0.999875881051378,0.432526785304754
"Mitophagy","TFE3",1.50065564894637,0.0426910368906893,0.999875881051378,2.32255704942136
"Mitophagy","OPTN",1.03415156837081,0.0860052133289003,0.999875881051378,1.91038332774389
"Mitophagy","TOMM40",0.809955988506159,0.111263411756343,0.999875881051378,1.7517594094295
"Mitophagy","RELA",0.860615229981615,0.112547921571236,0.999875881051378,1.74453424407588
"Mitophagy","UBA52",0.81203464817964,0.139007140377841,0.999875881051378,1.61150460589097
"Mitophagy","RRAS2",0.719745785110844,0.160116504227481,0.999875881051378,1.52103529714366
"Mitophagy","RPS27A",0.765550614299505,0.173900335320632,0.999875881051378,1.46719744055207
"Mitophagy","UBC",0.663455586019553,0.193705412204121,0.999875881051378,1.39619107619145
"Mitophagy","TOMM7",0.661110452871326,0.237508530410246,0.999875881051378,1.25871729439378
"Mitophagy","RAB7A",0.516199664772954,0.27292316549427,0.999875881051378,1.16210249688134
"Mitophagy","USP30",0.795262451767376,0.295700827623772,0.999875881051378,1.10408501689584
"Mitophagy","BCL2L13",0.560394269399222,0.30114273267724,0.999875881051378,1.09213462507616
"Mitophagy","RAB5A",0.672470878918763,0.32224731923337,0.999875881051378,1.04290859498635
"Mitophagy","TOMM20",0.489974760797487,0.35716135857124,0.999875881051378,0.96661517437686
"Mitophagy","MAP1LC3B",0.40273657945708,0.410354182320597,0.999875881051378,0.860259624387489
"Mitophagy","MUL1",0.522660947963953,0.416222902836691,0.999875881051378,0.849079045297888
"Mitophagy","MAPK9",0.441201309804002,0.416959944240735,0.999875881051378,0.84781273753851
"Mitophagy","CCZ1",0.651705831400423,0.416955789708789,0.999875881051378,0.847197805932333
"Mitophagy","RAB5C",0.374161280347649,0.421973872515452,0.999875881051378,0.838339977394574
"Mitophagy","SMURF2",0.510416118049348,0.427443936786448,0.999875881051378,0.82819690032079
"Mitophagy","UBB",0.37464551867787,0.427702352105856,0.999875881051378,0.827664433554166
"Mitophagy","MFN2",0.523052645470144,0.435071057032434,0.999875881051378,0.814040524921975
"Mitophagy","MTX1",0.403109114820375,0.450059126937123,0.999875881051378,0.787005576861912
"Mitophagy","BECN1",0.358630879868733,0.453103494180519,0.999875881051378,0.781554865140591
"Mitophagy","CCZ1B",0.610017275608413,0.456860156280292,0.999875881051378,0.773972555905388
"Mitophagy","FUNDC1",0.419979234219884,0.470849361645842,0.999875881051378,0.750340628312474
"Mitophagy","CSNK2B",0.365404204017225,0.48350977719597,0.999875881051378,0.728450423949945
"Mitophagy","AMFR",0.40753107279677,0.495128787386612,0.999875881051378,0.70876840068922
"Mitophagy","KRAS",0.484560588940201,0.499322758467922,0.999875881051378,0.701694671238785
"Mitophagy","CITED2",0.454095997568194,0.506351603601772,0.999875881051378,0.689964916242399
"Mitophagy","E2F1",0.589260771135079,0.522120772587492,0.999875881051378,0.663573501382778
"Mitophagy","ATF4",0.308413997433958,0.525097185262594,0.999875881051378,0.659158326355661
"Mitophagy","CSNK2A1",0.315195089852871,0.527963377333549,0.999875881051378,0.654514639421777
"Mitophagy","PHB2",0.344081145895457,0.537378187107553,0.999875881051378,0.639327443834208
"Mitophagy","TOMM70",0.286725485569885,0.55971797988866,0.999875881051378,0.603940657632494
"Mitophagy","NRAS",0.366161662820707,0.562995738370159,0.999875881051378,0.598820224496641
"Mitophagy","CALCOCO2",0.283004454555747,0.586849523294417,0.999875881051378,0.56197785578792
"Mitophagy","FKBP8",0.260531139032481,0.594689660056417,0.999875881051378,0.550052820916798
