"pathway","original_sc","original_bulk","in_sc_FDR_lt_0.10","in_bulk_FDR_lt_0.10","sc_NES","sc_FDR","sc_direction","bulk_NES","bulk_FDR","bulk_direction","same_direction","shared_direction"
"Parkinson disease","Parkinson disease","Parkinson disease",TRUE,TRUE,1.94032690804444,4.52555804043056e-05,"up",2.06382578736557,0.000879507475813544,"up",TRUE,"up"
"Ribosome","Ribosome","Ribosome",TRUE,TRUE,1.81898817570886,0.00129799008617765,"up",1.75342119171876,0.00134468848050202,"up",TRUE,"up"
"Oxidative phosphorylation","Oxidative phosphorylation","Oxidative phosphorylation",TRUE,TRUE,1.94058599087587,0.00168353396409522,"up",2.31861080913684,0.000879507475813544,"up",TRUE,"up"
"Alzheimer disease","Alzheimer disease","Alzheimer disease",TRUE,TRUE,1.54170546660291,0.00895915987839187,"up",1.92905451322039,0.000879507475813544,"up",TRUE,"up"
"Epstein-Barr virus infection","Epstein-Barr virus infection","Epstein-Barr virus infection",TRUE,TRUE,1.69233211410977,0.00895915987839187,"up",1.82664492066253,0.000879507475813544,"up",TRUE,"up"
"Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection",TRUE,TRUE,1.61178684494008,0.00895915987839187,"up",1.53063925915084,0.00591881360669484,"up",TRUE,"up"
"Th1 and Th2 cell differentiation","Th1 and Th2 cell differentiation","Th1 and Th2 cell differentiation",TRUE,TRUE,1.81041771463379,0.00895915987839187,"up",1.83590559953878,0.000879507475813544,"up",TRUE,"up"
"Huntington disease","Huntington disease","Huntington disease",TRUE,TRUE,1.52015959867647,0.0202918064854715,"up",1.83905546394052,0.000879507475813544,"up",TRUE,"up"
"Thermogenesis","Thermogenesis","Thermogenesis",TRUE,TRUE,1.54390894123201,0.0215151301955458,"up",1.77210088185478,0.000879507475813544,"up",TRUE,"up"
"Human cytomegalovirus infection","Human cytomegalovirus infection","Human cytomegalovirus infection",TRUE,TRUE,1.52965794757019,0.0376803192614525,"up",1.70180907033612,0.0017687219215395,"up",TRUE,"up"
"Th17 cell differentiation","Th17 cell differentiation","Th17 cell differentiation",TRUE,TRUE,1.65284849554038,0.0378268091005295,"up",2.03139823842452,0.000879507475813544,"up",TRUE,"up"
"Natural killer cell mediated cytotoxicity","Natural killer cell mediated cytotoxicity","Natural killer cell mediated cytotoxicity",TRUE,TRUE,1.78918524149156,0.01186865141802,"up",1.4451845895034,0.0485398579321231,"up",TRUE,"up"
"Human immunodeficiency virus 1 infection","Human immunodeficiency virus 1 infection","Human immunodeficiency virus 1 infection",TRUE,TRUE,1.4866338342675,0.0500957823345489,"up",1.46482704416371,0.0160427807486631,"up",TRUE,"up"
"Cardiac muscle contraction","Cardiac muscle contraction","Cardiac muscle contraction",TRUE,TRUE,1.76903678791511,0.0509734394479694,"up",1.94005026238208,0.000879507475813544,"up",TRUE,"up"
"Osteoclast differentiation","Osteoclast differentiation","Osteoclast differentiation",TRUE,TRUE,1.53977910397968,0.0606590453539384,"up",2.01752486932228,0.000879507475813544,"up",TRUE,"up"
"Relaxin signaling pathway","Relaxin signaling pathway","Relaxin signaling pathway",TRUE,TRUE,1.56029998950793,0.0606590453539384,"up",1.61239276207195,0.00591881360669484,"up",TRUE,"up"
"Retrograde endocannabinoid signaling","Retrograde endocannabinoid signaling","Retrograde endocannabinoid signaling",TRUE,TRUE,1.5971177226238,0.0606590453539384,"up",1.92711640860664,0.000879507475813544,"up",TRUE,"up"
"B cell receptor signaling pathway","B cell receptor signaling pathway","B cell receptor signaling pathway",TRUE,TRUE,1.5923376010265,0.0618337374561215,"up",1.60887792643337,0.0174010250785683,"up",TRUE,"up"
"Transcriptional misregulation in cancer","Transcriptional misregulation in cancer","Transcriptional misregulation in cancer",TRUE,TRUE,1.52724362889563,0.0683446568274279,"up",1.63354480978002,0.00236153531282471,"up",TRUE,"up"
"Rap1 signaling pathway","Rap1 signaling pathway","Rap1 signaling pathway",TRUE,TRUE,1.49773937115336,0.0718564087134411,"up",1.59880466855888,0.00355691056910569,"up",TRUE,"up"
"Proteoglycans in cancer","Proteoglycans in cancer","Proteoglycans in cancer",TRUE,TRUE,1.4906316671804,0.0821853770667468,"up",1.47073092282381,0.0158220085365255,"up",TRUE,"up"
"T cell receptor signaling pathway","T cell receptor signaling pathway","T cell receptor signaling pathway",TRUE,TRUE,1.45827201741288,0.0858142031056873,"up",1.38642125842023,0.0801120669812407,"up",TRUE,"up"
"Acute myeloid leukemia","Acute myeloid leukemia","Acute myeloid leukemia",TRUE,TRUE,1.63115626030422,0.0623844155231814,"up",1.40613851444826,0.0928100077843595,"up",TRUE,"up"
"JAK-STAT signaling pathway","JAK-STAT signaling pathway","JAK-STAT signaling pathway",TRUE,TRUE,1.51584761499378,0.0930092060387557,"up",1.74106369322325,0.00134468848050202,"up",TRUE,"up"
"Thyroid cancer","Thyroid cancer","Thyroid cancer",TRUE,TRUE,1.5925726719173,0.0930092060387557,"up",1.72540696861127,0.0121684108055488,"up",TRUE,"up"
"Pathways in cancer","Pathways in cancer","Pathways in cancer",TRUE,TRUE,1.29477762515202,0.0953594626684773,"up",1.47057458409251,0.000879507475813544,"up",TRUE,"up"
"HIF-1 signaling pathway","HIF-1 signaling pathway","HIF-1 signaling pathway",TRUE,TRUE,1.43811918560752,0.0985737715282058,"up",1.43614254552175,0.0565682574050775,"up",TRUE,"up"
"Mitophagy","Mitophagy - animal","Mitophagy",TRUE,TRUE,1.44241575371799,0.0998428797387919,"up",1.55696250950632,0.0337483264909529,"up",TRUE,"up"
