"pathway","in_same_direction_FDR0.10_intersection","sc_NES","sc_FDR","bulk_NES","bulk_FDR","sc_leading_edge_n","bulk_leading_edge_n","shared_leading_edge_n","shared_leading_edge_genes","shared_STAT5_axis_genes","sc_STAT5_axis_genes","bulk_STAT5_axis_genes","shared_curated_STAT5_targets"
"Parkinson disease",TRUE,1.94032690804444,4.52555804043056e-05,2.06382578736557,0.000879507475813544,99,69,28,"COX5A;SLC18A2;NDUFA6;NDUFA12;CYC1;UQCRH;HTRA2;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;VDAC2;PARK7;NDUFB7;UBE2J2;NDUFB9;NDUFS3;COX7B;SDHB;UQCR11;NDUFA8;NDUFB11;NDUFA1;UBE2J1;COX7A2;PRKACA","","","",""
"Ribosome",TRUE,1.81898817570886,0.00129799008617765,1.75342119171876,0.00134468848050202,95,80,47,"MRPL15;MRPS18A;MRPS6;MRPL33;RPL30;MRPL24;RPL8;RPLP1;MRPL20;MRPL27;RPLP2;RPL4;RPL7;RPS7;RPL37;MRPL14;RPL18A;RPS28;RPL38;RPS27L;RPS20;RPS15A;RPL19;RPS25;MRPL21;RPL27A;RPS21;RPS24;RPL14;RPL23;RPS3;RPS19;RPL13A;RPL22;RPL35;RSL24D1;RPL39;RPL11;RPL36A;RPS14;RPL35A;MRPL12;RPL37A;RPL18;MRPL2;RPL32;RPL17","","","",""
"Oxidative phosphorylation",TRUE,1.94058599087587,0.00168353396409522,2.31861080913684,0.000879507475813544,50,69,26,"COX5A;NDUFA6;NDUFA12;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;ATP6V0D1;NDUFB7;NDUFB9;NDUFS3;COX7B;SDHB;COX17;UQCR11;ATP6V1G1;NDUFA8;NDUFB11;LHPP;NDUFA1;ATP6V0B;COX7A2","","","",""
"Alzheimer disease",TRUE,1.54170546660291,0.00895915987839187,1.92905451322039,0.000879507475813544,100,84,25,"COX5A;NAE1;NDUFA6;NDUFA12;CALM1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;MAPK3;NDUFB7;IL1B;NDUFB9;NDUFS3;COX7B;SDHB;CAPN2;PPP3CC;UQCR11;NDUFA8;NDUFB11","","","",""
"Epstein-Barr virus infection",TRUE,1.69233211410977,0.00895915987839187,1.82664492066253,0.000879507475813544,42,81,19,"RUNX3;GADD45B;CALR;RELA;CD44;MAP2K3;TAP1;BAX;JAK3;TAP2;TAPBP;B2M;PSMC5;RELB;NFKB1;VIM;PSMD8;OAS3;MYD88","JAK3","MYC;JAK3","CCND3;CCND1;BCL2;CCND2;JAK3","CD44;JAK3"
"Human T-cell leukemia virus 1 infection",TRUE,1.61178684494008,0.00895915987839187,1.53063925915084,0.00591881360669484,53,84,19,"FOS;TGFB1;CALR;RELA;BAX;JAK3;CRTC3;NFATC2;B2M;RELB;RANBP3;NFKB1;ATF4;ZFP36;ITGB2;ADCY7;ANAPC11;EGR1;MAPK3","JAK3","MYC;STAT5A;JAK3;IL2RA","CSF2;CCND3;IL2RG;CCND1;IL2RB;BCL2L1;IL15RA;CCND2;JAK3;STAT5B","JAK3"
"Th1 and Th2 cell differentiation",TRUE,1.81041771463379,0.00895915987839187,1.83590559953878,0.000879507475813544,22,39,11,"RUNX3;FOS;RELA;IFNGR2;GATA3;MAF;IL4;JAK3;NFATC2;NFKB1;MAPK3","IFNGR2;JAK3","STAT5A;IL4R;IFNGR2;JAK3;IL2RA","IFNGR2;IFNGR1;IL2RG;IL2RB;JAK2;JAK3","JAK3"
"Huntington disease",TRUE,1.52015959867647,0.0202918064854715,1.83905546394052,0.000879507475813544,86,75,27,"COX5A;NDUFA6;NDUFA12;CYC1;BAX;POLR2C;UQCRH;CLTB;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;POLR2H;HDAC1;NDUFB7;BBC3;NDUFB9;NDUFS3;POLR2L;COX7B;SDHB;SOD1;UQCR11;NDUFA8;NDUFB11","","","",""
"Thermogenesis",TRUE,1.54390894123201,0.0215151301955458,1.77210088185478,0.000879507475813544,65,86,26,"DPF3;COX5A;ACTB;NDUFA6;MAP2K3;NDUFA12;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ADCY7;COX4I1;PRKAB1;ACSL5;NDUFB7;NDUFB9;NDUFS3;COX7B;SDHB;COX17;UQCR11;NDUFA8;NDUFB11","","","",""
"Human cytomegalovirus infection",TRUE,1.52965794757019,0.0376803192614525,1.70180907033612,0.0017687219215395,53,91,22,"CALR;RELA;CALM1;TAP1;BAX;RIPK1;MDM2;TAP2;NFATC2;TAPBP;B2M;GNB1;GNG5;NFKB1;ATF4;ADCY7;MAPK3;MAP2K1;PDIA3;IL1B;GNG2;PIK3CB","","MYC","CCND1",""
