"pathway_name","gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","direction_consistency"
"Mitophagy - animal","MTX1",0.966866434638341,0.920580443034027,0.697228782436837,3,0,"up in 3/3"
"Mitophagy - animal","RELA",1.69053662040381,0.385613035423362,0.65934386999934,3,0,"up in 3/3"
"Mitophagy - animal","TOMM40",1.20732677233402,0.535150536617855,0.61922004452968,3,0,"up in 3/3"
"Mitophagy - animal","MAPK9",1.31572629964775,1.05676877608887,0.135722530345657,3,0,"up in 3/3"
"Mitophagy - animal","OPTN",1.36427007011797,-0.35578437746587,1.02717563511525,2,1,"up in 2/3"
"Mitophagy - animal","TFE3",2.06733276059104,-0.401904851382023,0.761021657091836,2,1,"up in 2/3"
"Mitophagy - animal","TOMM70",0.924482098031464,0.256959266238561,0.411228169981839,3,0,"up in 3/3"
"Mitophagy - animal","MUL1",2.82989544999985,-0.292494018106602,0.290555318381449,2,1,"up in 2/3"
"Mitophagy - animal","E2F1",1.44137004281276,2.46151007569952,-0.930916683351525,2,1,"up in 2/3"
"Mitophagy - animal","AMFR",2.06259373484501,-0.52619470674457,0.606230919546407,2,1,"up in 2/3"
"Mitophagy - animal","ATF4",1.19524460158713,0.0689612364960555,0.172221126896919,3,0,"up in 3/3"
"Mitophagy - animal","BCL2L13",1.38113449312096,0.082397594433858,0.0333268998241527,3,0,"up in 3/3"
"Mitophagy - animal","RRAS2",1.01385235652303,0.363382749203488,-0.117371994974282,2,1,"up in 2/3"
"Mitophagy - animal","NRAS",1.95027843014683,-0.586171210626766,0.38166903408604,2,1,"up in 2/3"
"Mitophagy - animal","BECN1",0.87034213309107,0.164986867581653,0.142724056237344,3,0,"up in 3/3"
"Mitophagy - animal","SMURF2",2.27753769388956,-0.263876974300779,-0.207109856768226,1,2,"down in 2/3"
"Mitophagy - animal","RAB7A",0.593031872780819,0.229933693075988,0.19293354920647,3,0,"up in 3/3"
"Mitophagy - animal","FUNDC1",0.183516880083256,0.639845298379708,0.355242502545396,3,0,"up in 3/3"
"Mitophagy - animal","CSNK2A2",0.969153713891633,-0.0755024625315048,0.193555378206709,2,1,"up in 2/3"
"Mitophagy - animal","UBA52",0.596435063676832,-0.281148041791512,0.81601790312758,2,1,"up in 2/3"
"Mitophagy - animal","TOMM20",1.03443738996035,-0.602528331296785,0.699571335397548,2,1,"up in 2/3"
"Mitophagy - animal","MFN2",0.440997904397663,0.187689101563492,0.550607773697664,3,0,"up in 3/3"
"Mitophagy - animal","UBC",1.14499279723627,-0.457313948833356,0.481105189970894,2,1,"up in 2/3"
"Mitophagy - animal","MTX2",-0.434368684658349,1.41521347312822,0.311035231710847,2,1,"up in 2/3"
"Mitophagy - animal","EIF2S1",0.1202533938656,0.693254273043488,0.124297757061661,3,0,"up in 3/3"
"Mitophagy - animal","CSNK2A1",1.00445944676646,-0.188840713026222,0.154023501418159,2,1,"up in 2/3"
"Mitophagy - animal","RPS27A",0.639520441596412,-0.556259910938506,0.947210075211871,2,1,"up in 2/3"
"Mitophagy - animal","CCZ1B",1.31244644082825,1.64292344812426,-1.07203156186269,2,1,"up in 2/3"
"Mitophagy - animal","PGAM5",0.0969017521815996,0.746941692382114,0.0602701252261402,3,0,"up in 3/3"
"Mitophagy - animal","BNIP3",0.747026885562674,0.0594671040401717,0.420727638340305,3,0,"up in 3/3"
"Mitophagy - animal","HUWE1",0.488220298873305,0.437381992758913,-0.135787389036437,2,1,"up in 2/3"
