"analysis_population","compartment","gene_set_source","gene_set_id","pathway_name","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0022904","respiratory electron transport chain","GO:0022904 respiratory electron transport chain",101,"AFG1L;AIFM2;BID;CCNB1;CDK1;CHCHD2;COA6;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DGUOK;DLD;DNAJC15;ETFA;ETFB;ETFDH;ETFRF1;GHITM;GPD1;GPD2;HCCS;IMMP2L;ISCU;MDH1;MDH2;MYBBP1A;NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PARK7;PINK1;PLEC;PUM2;SCO2;SDHA;SDHAF2;SDHB;SDHC;SDHD;SLC25A12;SLC25A13;SLC25A22;SLC25A51;SNCA;SOD2;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VPS54",97,101,TRUE,"",0.000121553862384109,0.0124784405976552,0.538434096309916,0.418694096377136,1.77377122588341,97,"COX5A;SCO2;NDUFC2;UQCRHL;DNAJC15;NDUFA6;SOD2;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;MDH2;SLC25A22;GHITM;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;VPS54;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8;ETFA;UQCR11;NDUFA8","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0022900","electron transport chain","GO:0022900 electron transport chain",111,"AFG1L;AIFM2;BID;CCNB1;CDK1;CHCHD2;COA6;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYB561;CYC1;CYCS;DGUOK;DHRS2;DLD;DNAJC15;ENOX2;ETFA;ETFB;ETFDH;ETFRF1;FDX1;FDX2;GHITM;GPD1;GPD2;HCCS;IMMP2L;ISCU;MDH1;MDH2;MYBBP1A;NDOR1;NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PARK7;PDIA5;PINK1;PLEC;POR;PUM2;SCO2;SDHA;SDHAF2;SDHB;SDHC;SDHD;SLC25A12;SLC25A13;SLC25A22;SLC25A51;SNCA;SOD2;THAP11;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VPS54;WDR93",104,111,TRUE,"",0.000147238237140474,0.0124784405976552,0.518848077743792,0.411949708993174,1.76881711559532,104,"COX5A;SCO2;NDUFC2;UQCRHL;DNAJC15;NDUFA6;SOD2;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;MDH2;SLC25A22;FDX1;GHITM;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;THAP11;NDUFB6;VPS54;NDUFB9;ISCU;NDUFS3;COX7B;SDHB","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0042773","ATP synthesis coupled electron transport","GO:0042773 ATP synthesis coupled electron transport",80,"AFG1L;BID;CCNB1;CDK1;CHCHD2;COA6;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DGUOK;DLD;DNAJC15;GHITM;ISCU;NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PARK7;PINK1;SDHA;SDHAF2;SDHB;SDHC;SDHD;SNCA;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ",78,80,TRUE,"",0.000229887820522357,0.0158122840028856,0.518848077743792,0.444603193567334,1.80766282595969,78,"COX5A;NDUFC2;UQCRHL;DNAJC15;NDUFA6;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;GHITM;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","GO:0042775 mitochondrial ATP synthesis coupled electron transport",80,"AFG1L;BID;CCNB1;CDK1;CHCHD2;COA6;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DGUOK;DLD;DNAJC15;GHITM;ISCU;NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PARK7;PINK1;SDHA;SDHAF2;SDHB;SDHC;SDHD;SNCA;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ",78,80,TRUE,"",0.000229887820522357,0.0158122840028856,0.518848077743792,0.444603193567334,1.80766282595969,78,"COX5A;NDUFC2;UQCRHL;DNAJC15;NDUFA6;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;GHITM;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0045333","cellular respiration","GO:0045333 cellular respiration",213,"ABCD1;ACO1;ACO2;ACTN3;ADSL;AFG1L;AIFM2;AK4;ANTKMT;ARL2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5IF1;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP7A;ATPSCKMT;BID;BLOC1S1;BNIP3;C2orf69;CAT;CBFA2T3;CCNB1;CDK1;CHCHD10;CHCHD2;CHCHD4;CHCHD5;CISD1;COA6;COL6A1;COQ10A;COQ10B;COQ9;COX10;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CS;CSKMT;CYC1;CYCS;DGUOK;DLAT;DLD;DLST;DNAJC15;DNAJC30;ETFA;ETFB;ETFDH;ETFRF1;FH;FXN;GHITM;GPD1;GPD2;HCCS;HIF1A;IDE;IDH1;IDH2;IDH3A;IDH3B;IDH3G;IFNAR1;IFNG;IFNLR1;IL10RB;IL4;IMMP2L;IREB2;ISCU;LYRM7;MDH1;MDH1B;MDH2;ME3;MFN2;MFSD8;MSH2;MTFR1;MTFR1L;MTFR2;MTLN;MYBBP1A;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NFATC4;NIPSNAP2;NNT;NOP53;NR4A3;NUPR1;OAS1;OGDH;OGDHL;OPN3;OXA1L;PANK2;PARK7;PDHA1;PDHB;PIK3CA;PINK1;PLEC;PNPT1;PPIF;PRDM16;PRELID1;PUM2;RHOA;SCO2;SDHA;SDHAF2;SDHAF4;SDHB;SDHC;SDHD;SHMT2;SIRT3;SLC25A12;SLC25A13;SLC25A14;SLC25A22;SLC25A23;SLC25A25;SLC25A33;SLC25A51;SLC35A4;SNCA;SOD2;STOML2;SUCLA2;SUCLG1;SUCLG2;SURF1;TEFM;TMEM135;TNF;TRAP1;TREX1;TRPV4;UCN;UQCC2;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VCP;VPS54",195,213,TRUE,"",0.000465726801936035,0.0232667305472465,0.49849310876659,0.331062659189701,1.54622542320109,195,"PANK2;FH;COX5A;SCO2;NDUFC2;ATP5F1B;UQCRHL;IL4;DNAJC15;PNPT1;NDUFA6;SLC25A33;CSKMT;SOD2;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;MTFR1L;UQCRH;PRELID1;CISD1;DLST;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;MDH2;SLC25A22;GHITM;ATP5PF;CHCHD2;COX4I1;PDHA1;SDHAF2;ADSL;PARK7;NDUFB7;OGDH;MFN2;FXN;NDUFB6;ATP5F1C;VPS54;ATP5MG;NDUFB9;SUCLG2;ISCU;ATP5F1A;NDUFS3;PPIF;COX7B;SDHB;ATP5F1E;CHCHD5;NDUFB2;NDUFS8;BNIP3;SLC25A25;ETFA;ATP7A;UQCR11;ATP5PB;NDUFA8;OPN3;NDUFB11;IDH3B","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0006119","oxidative phosphorylation","GO:0006119 oxidative phosphorylation",122,"ABCD1;ACTN3;AFG1L;AK4;ANTKMT;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5IF1;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP7A;ATPSCKMT;BID;C2orf69;CCNB1;CDK1;CHCHD10;CHCHD2;COA6;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DGUOK;DLD;DNAJC15;DNAJC30;FXN;GHITM;ISCU;MSH2;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NIPSNAP2;NUPR1;PARK7;PINK1;PPIF;RHOA;SDHA;SDHAF2;SDHB;SDHC;SDHD;SHMT2;SLC25A23;SLC25A33;SLC25A51;SNCA;STOML2;TEFM;TMEM135;TNF;UQCC2;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VCP",116,122,TRUE,"",0.00063026655891708,0.0267075454341113,0.477270815362862,0.379528586720727,1.65767422698445,116,"COX5A;NDUFC2;ATP5F1B;UQCRHL;DNAJC15;NDUFA6;SLC25A33;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;GHITM;ATP5PF;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;FXN;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ISCU;ATP5F1A;NDUFS3;PPIF;COX7B;SDHB;ATP5F1E;NDUFB2;NDUFS8;ATP7A;UQCR11;ATP5PB;NDUFA8;NDUFB11","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0019646","aerobic electron transport chain","GO:0019646 aerobic electron transport chain",73,"AFG1L;COQ9;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYC1;CYCS;DLD;DNAJC15;ISCU;NDUFA1;NDUFA10;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;PARK7;PINK1;SDHA;SDHAF2;SDHB;SDHC;SDHD;SLC25A51;SNCA;UQCC3;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ",71,73,TRUE,"",0.000741122562740808,0.0293113973563989,0.477270815362862,0.432851737915963,1.73680177325152,71,"COX5A;NDUFC2;UQCRHL;DNAJC15;NDUFA6;NDUFAB1;NDUFA9;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8;UQCR11;NDUFA8","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0006839","mitochondrial transport","GO:0006839 mitochondrial transport",175,"ABCB10;ABCB7;ABCB8;ACAA2;AFG3L2;AGK;AIFM1;ALKBH7;ARHGAP11B;ATF2;ATP5IF1;BAD;BAK1;BAX;BCL2;BCL2L1;BCL2L11;BCL2L2;BHLHA15;BID;BLOC1S2;BNIP3;BNIP3L;BOK;CAMK2A;CCDC51;CHCHD10;CHCHD4;CNP;COL6A1;CPT1A;CPT1B;CPT2;DNAJC15;DNAJC19;DNLZ;FLVCR1;FZD9;GCLC;GHITM;GRPEL1;GRPEL2;GSK3A;GSK3B;HIP1R;HK2;HSP90AA1;HSPA1A;HSPA4;HSPA9;HSPD1;IER3;ITPR1;LETM1;LETM2;MAIP1;MCU;MCUB;MCUR1;MDH1;MDH2;MICU1;MICU2;MICU3;MPC1;MPC2;MPV17L;MRPL18;MRS2;MTCH1;MTCH2;MTX1;MTX2;MUL1;NAIF1;NDUFA13;NOL3;NPTX1;PAM16;PINK1;PMAIP1;PMPCB;PNPT1;PPIF;PPM1K;PRKN;PSEN1;PSEN2;RHOT1;RHOT2;ROMO1;RTL10;SAMM50;SELENON;SFXN1;SFXN2;SFXN3;SFXN4;SFXN5;SIVA1;SLC25A1;SLC25A12;SLC25A13;SLC25A15;SLC25A16;SLC25A2;SLC25A20;SLC25A21;SLC25A22;SLC25A23;SLC25A24;SLC25A26;SLC25A28;SLC25A29;SLC25A3;SLC25A32;SLC25A33;SLC25A36;SLC25A37;SLC25A38;SLC25A39;SLC25A4;SLC25A40;SLC25A41;SLC25A46;SLC25A5;SLC25A51;SLC25A6;SLC35F6;SLC39A8;SLC41A3;SLC8A3;SLC8B1;SLC9A1;SMDT1;SPG7;STARD3;STPG1;THEM4;TIMM10;TIMM10B;TIMM13;TIMM17A;TIMM17B;TIMM21;TIMM22;TIMM23;TIMM23B;TIMM29;TIMM44;TIMM50;TIMM8A;TIMM8B;TIMM9;TMEM102;TMEM14A;TMEM14C;TOMM20;TOMM20L;TOMM22;TOMM40;TOMM40L;TOMM5;TOMM6;TOMM7;TOMM70;TP53;TRMT10B;TST;UCP2;UCP3;VDAC1;VDAC2;VPS35;ZNF205",153,175,TRUE,"",0.000843182832219175,0.0325345180627009,0.477270815362862,0.347054130061743,1.57058923434077,153,"ACAA2;MTX1;SFXN1;MTCH2;TOMM40;HSPD1;HIP1R;TIMM9;DNAJC15;PNPT1;CPT1A;SLC25A33;BID;CNP;VDAC1;SLC25A39;TIMM13;TIMM8B;BAX;SLC25A5;TOMM70;TOMM22;AFG3L2;TIMM50;MUL1;GRPEL2;SLC25A3;SIVA1;HSPA4;HSPA9;MDH2;SLC25A22;IER3;GHITM;SLC25A15;ABCB10;SLC39A8;TOMM6;MPC2;SLC25A6;VDAC2;MCUB;TOMM20;MTCH1;BLOC1S2;SLC25A29;SFXN2;MCUR1;GRPEL1;SLC25A20;PPIF","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:0015986","proton motive force-driven ATP synthesis","GO:0015986 proton motive force-driven ATP synthesis",65,"ANTKMT;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5IF1;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5MGL;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6V0C;ATP6V1A;ATPSCKMT;DNAJC30;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;SDHA;SDHB;SDHC;SDHD;STOML2;VPS9D1",63,65,TRUE,"",0.00108594732902822,0.0375665517833077,0.45505986738723,0.448518359100776,1.7631554677487,63,"NDUFC2;ATP5F1B;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;NDUFV2;ATP5PF;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;NDUFS3;SDHB;ATP5F1E;NDUFB2;NDUFS8;ATP5PB;NDUFA8;NDUFB11;ATP5ME;NDUFA1","relapse_up"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","GO:2001243 negative regulation of intrinsic apoptotic signaling pathway",96,"ACKR3;AKT1;ARHGEF2;ARMC10;ATAD5;ATF4;BAG5;BCL2;BCL2L1;BID;CCAR2;CD44;CD74;CDKN2D;CLU;CREB3;CREB3L1;CTNNB1;CXCL12;DDIAS;DDX3X;DNAJA1;ELL3;ENO1;FBXO7;FGF2;FIGNL1;FYN;FZD1;GRINA;HDAC1;HELLS;HERPUD1;HIF1A;HSPA1A;HSPB1;HTRA2;HYOU1;IL10;ING2;IVNS1ABP;KDM1A;LRRK2;MAGEA3;MAPK7;MAPK8IP1;MDM2;MIF;MMP9;MUC1;NFE2L2;NOC2L;NOL3;NONO;OPA1;PARK7;PARL;PIK3CB;PINK1;PLAUR;PPIA;PPIF;PRKN;PTGS2;PTPN1;PTTG1IP;PYCR1;RACK1;RRM2B;RRN3;RTKN2;SELENOS;SFRP2;SIRT1;SNAI1;SNAI2;SOD2;SRC;SYVN1;TAF9;TAF9B;TMBIM6;TMEM161A;TPT1;TRAP1;TRIAP1;TRIM32;TXNDC12;URI1;USP47;VDAC2;WFS1;WNT1;XBP1;YBX3;ZNF385A",77,96,TRUE,"",0.0014520795887716,0.0450301431111165,0.45505986738723,0.407811724785334,1.66536950041954,77,"ENO1;TMBIM6;CD44;SOD2;BID;TXNDC12;NOC2L;MDM2;DDX3X;ING2;HTRA2;ATF4;AKT1;TAF9B;MIF;PPIA;VDAC2;PARK7;CDKN2D;HDAC1;TPT1;URI1;YBX3;HELLS;PIK3CB;GRINA;BAG5;PPIF;PARL;TAF9;IVNS1ABP;PYCR1;BCL2;SYVN1;SELENOS;XBP1;OPA1;FBXO7;ATAD5;CCAR2;TRIAP1;CD74","relapse_up"
