"pathway","gene","in_sc_leading_edge","in_bulk_leading_edge","shared_leading_edge","STAT5_axis_gene","curated_STAT5_target"
"Acute myeloid leukemia","DUSP6",TRUE,TRUE,TRUE,FALSE,FALSE
"Acute myeloid leukemia","NFKB1",TRUE,TRUE,TRUE,FALSE,FALSE
"Acute myeloid leukemia","PIM1",TRUE,TRUE,TRUE,TRUE,TRUE
"Acute myeloid leukemia","RARA",TRUE,TRUE,TRUE,FALSE,FALSE
"Acute myeloid leukemia","AKT1",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","BCL2A1B",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","BCL2A1D",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","CCND1",FALSE,TRUE,FALSE,TRUE,FALSE
"Acute myeloid leukemia","CEBPA",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","CEBPE",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","CSF1R",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","CSF2",FALSE,TRUE,FALSE,TRUE,FALSE
"Acute myeloid leukemia","EIF4EBP1",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","FLT3",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","GRB2",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","HRAS",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","IKBKB",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","IKBKG",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","ITGAM",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","KIT",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","MAP2K1",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","MAP2K2",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","MAPK3",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","MYC",TRUE,FALSE,FALSE,TRUE,TRUE
"Acute myeloid leukemia","NRAS",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","PER2",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","PIK3CB",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","PIK3R2",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","PIK3R3",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","PIM2",FALSE,TRUE,FALSE,TRUE,TRUE
"Acute myeloid leukemia","RELA",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","RPS6KB1",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","RUNX1T1",FALSE,TRUE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","STAT3",TRUE,FALSE,FALSE,FALSE,FALSE
"Acute myeloid leukemia","STAT5A",TRUE,FALSE,FALSE,TRUE,FALSE
"Acute myeloid leukemia","ZBTB16",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CALM1",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","CAPN2",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX4I1",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX5A",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX6A1",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX6C",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX7A2L",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX7B",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","COX8A",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","CYC1",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","IL1B",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","MAPK3",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NAE1",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFA12",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFA6",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFA8",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFB11",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFB7",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFB9",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFS3",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","NDUFV2",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","PPP3CC",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","SDHB",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","UQCR11",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","UQCRH",TRUE,TRUE,TRUE,FALSE,FALSE
"Alzheimer disease","ADRM1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","AKT1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","APBB1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","APH1A",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","APOE",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","APP",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","ARAF",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATF4",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATF6",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP2A2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP2A3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5F1A",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5F1B",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5F1C",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5F1E",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5MC1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5MC3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5PB",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ATP5PF",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","AXIN1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","BACE2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","BAD",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","BECN1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","BID",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","CACNA1D",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CACNA1S",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CALM2",FALSE,TRUE,FALSE,FALSE,FALSE
