"pathway_name","pathway_NES","pathway_FDR","gene","logFC","logCPM","F","PValue","FDR","rank_stat","gene_FDR_significant","gene_nominal_P_0.05","gene_label","pathway_label"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MTX1",0.833765767233367,5.13498842724375,5.20909357434004,0.0547034103229935,0.999578157159551,2.28234387731999,FALSE,FALSE,"MTX1  (log2FC +0.83)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RELA",0.864033811848241,6.11967381814791,5.05341121365217,0.057588485885473,0.999578157159551,2.24797936237239,FALSE,FALSE,"RELA  (log2FC +0.86)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TOMM40",0.743846004614879,5.90249173845359,4.50154531234601,0.069662520996035,0.999578157159551,2.12168454590828,FALSE,FALSE,"TOMM40  (log2FC +0.74)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MAPK9",0.76782740184455,4.54885937619682,2.95221372832109,0.127467220729729,0.999578157159551,1.71820072410679,FALSE,FALSE,"MAPK9  (log2FC +0.77)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"OPTN",0.667432422556719,6.32603772854211,2.42971402187772,0.160976056717598,0.999578157159551,1.55875399658757,FALSE,FALSE,"OPTN  (log2FC +0.67)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TFE3",0.806778671023731,4.95018057683843,2.34452587122669,0.167575822918768,0.999578157159551,1.53118446675333,FALSE,FALSE,"TFE3  (log2FC +0.81)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"TOMM70",0.483212898045447,5.42483547016992,1.80541370379046,0.219053602547365,0.999578157159551,1.34365684004156,FALSE,FALSE,"TOMM70  (log2FC +0.48)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"MUL1",0.802358407464511,4.5043790845421,1.62901858497207,0.24071568224107,0.999578157159551,1.27633012382067,FALSE,FALSE,"MUL1  (log2FC +0.80)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"E2F1",0.996487790623974,3.89259726426924,1.61021172716232,0.243244703082112,0.999578157159551,1.26894118349209,FALSE,FALSE,"E2F1  (log2FC +1.00)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"AMFR",0.633840747585223,5.57608671537518,1.49771472967391,0.258791516699538,0.999578157159551,1.22381155807335,FALSE,FALSE,"AMFR  (log2FC +0.63)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"ATF4",0.426973944200007,7.52346600170274,1.4247992120272,0.269696169085494,0.999578157159551,1.19364953484145,FALSE,FALSE,"ATF4  (log2FC +0.43)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"BCL2L13",0.440074968606161,5.03949392899397,1.09748692859097,0.32803793535929,0.999578157159551,1.04761010332612,FALSE,FALSE,"BCL2L13  (log2FC +0.44)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"RRAS2",0.371443807757751,6.22175660957537,1.01227430105787,0.346314022408672,0.999578157159551,1.00611843291825,FALSE,FALSE,"RRAS2  (log2FC +0.37)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"NRAS",0.509245006084397,5.77739990824866,0.999222891589289,0.349253090716552,0.999578157159551,0.999611370278114,FALSE,FALSE,"NRAS  (log2FC +0.51)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Mitophagy - animal",1.44241575371799,0.0998428797387919,"BECN1",0.339392436196181,5.50640315627683,0.882280665346961,0.377405640877873,0.999578157159551,0.939297964091779,FALSE,FALSE,"BECN1  (log2FC +0.34)","KEGG Mitophagy — NES 1.44, FDR 0.100"
"Proteasome",1.52779981316517,0.108814105599378,"ADRM1",0.675946473621344,6.5898648067786,3.46587775558578,0.102923273666661,0.999578157159551,1.86168680383833,FALSE,FALSE,"ADRM1  (log2FC +0.68)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMB1",0.469621701177975,7.65868710459204,2.17128272979364,0.182078418724305,0.999578157159551,1.47352730880484,FALSE,FALSE,"PSMB1  (log2FC +0.47)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMC5",0.460831138454068,6.87795164446023,1.67227287411226,0.235096973837679,0.999578157159551,1.29316390071493,FALSE,FALSE,"PSMC5  (log2FC +0.46)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSME2",0.419813107298533,7.51095894310134,1.39017308241213,0.275113544966693,0.999578157159551,1.17905601326321,FALSE,FALSE,"PSME2  (log2FC +0.42)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"POMP",0.508297494570785,7.52290413084326,1.3718986615083,0.278035165198524,0.999578157159551,1.17128077825443,FALSE,FALSE,"POMP  (log2FC +0.51)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMB9",0.580525705270206,6.64741244253856,1.35618217309718,0.280604969363947,0.999578157159551,1.16455234880068,FALSE,FALSE,"PSMB9  (log2FC +0.58)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMD8",0.35920431642923,7.18347846010204,1.19382114187965,0.309057192285895,0.999578157159551,1.09262122525587,FALSE,FALSE,"PSMD8  (log2FC +0.36)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMA7",0.333616149889785,8.16212712227933,1.05400093497136,0.337167332792203,0.999578157159551,1.02664547676954,FALSE,FALSE,"PSMA7  (log2FC +0.33)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSMD11",0.33675464232035,6.00040421520069,0.829711545094282,0.39123877172014,0.999578157159551,0.910885033961082,FALSE,FALSE,"PSMD11  (log2FC +0.34)","KEGG Proteasome — NES 1.53, FDR 0.109"
"Proteasome",1.52779981316517,0.108814105599378,"PSME4",0.379674303125955,5.83552938985875,0.772594609027053,0.407221925913779,0.999578157159551,0.878973611109602,FALSE,FALSE,"PSME4  (log2FC +0.38)","KEGG Proteasome — NES 1.53, FDR 0.109"
