"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","AMBRA1","potential_malignant_T_cells_CNV_high_top25",-0.343399299587644,4.42846378029339,0.648155755639553,0.44604565517697,0.999578157159551,-0.80508121058658
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","AMFR","potential_malignant_T_cells_CNV_high_top25",0.633840747585223,5.57608671537518,1.49771472967391,0.258791516699538,0.999578157159551,1.22381155807335
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","ARIH1","potential_malignant_T_cells_CNV_high_top25",0.0406553292191673,7.54500668010525,0.0115168286085121,0.917407421049269,0.999578157159551,0.107316488055247
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","ATF4","potential_malignant_T_cells_CNV_high_top25",0.426973944200007,7.52346600170274,1.4247992120272,0.269696169085494,0.999578157159551,1.19364953484145
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","ATG9A","potential_malignant_T_cells_CNV_high_top25",0.0615125105254137,4.16345677758203,0.0203428797019846,0.890418265459654,0.999578157159551,0.14262846736183
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","ATG9B","potential_malignant_T_cells_CNV_high_top25",-1.24546351423591,2.40936892761329,3.11998200726395,0.115862733294317,0.999578157159551,-1.76634708006777
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","BCL2L1","potential_malignant_T_cells_CNV_high_top25",-0.106717008972718,6.47138015127434,0.0861560984690459,0.777234001242417,0.999578157159551,-0.293523590992353
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","BCL2L13","potential_malignant_T_cells_CNV_high_top25",0.440074968606161,5.03949392899397,1.09748692859097,0.32803793535929,0.999578157159551,1.04761010332612
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","BECN1","potential_malignant_T_cells_CNV_high_top25",0.339392436196181,5.50640315627683,0.882280665346961,0.377405640877873,0.999578157159551,0.939297964091779
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","BNIP3","potential_malignant_T_cells_CNV_high_top25",0.326325910081928,4.03791405188295,0.384014178577558,0.55263660817919,0.999578157159551,0.619688775578159
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","BNIP3L","potential_malignant_T_cells_CNV_high_top25",-0.212647437474223,6.66670000991212,0.410311968771953,0.541251329953819,0.999578157159551,-0.640555984104398
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CALCOCO2","potential_malignant_T_cells_CNV_high_top25",0.190761003550976,6.99370496805759,0.224134033260982,0.649641234416001,0.999578157159551,0.473427959948482
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CCZ1","potential_malignant_T_cells_CNV_high_top25",0.106741324373418,3.16421805754965,0.0195555250364071,0.892553706071546,0.999578157159551,0.139841070635229
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CCZ1B","potential_malignant_T_cells_CNV_high_top25",0.506910442940451,3.13339676236797,0.440473175845705,0.527218043585887,0.999578157159551,0.663681531945635
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CITED2","potential_malignant_T_cells_CNV_high_top25",0.0696458542049839,6.96659515168361,0.013028888836012,0.912177819198698,0.999578157159551,0.114144158133529
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CSNK2A1","potential_malignant_T_cells_CNV_high_top25",0.264852772851264,5.65300573469476,0.486851093659479,0.506795353109514,0.999578157159551,0.6977471559666
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CSNK2A2","potential_malignant_T_cells_CNV_high_top25",0.307463793038798,6.04219081592253,0.716190032812673,0.424079073777955,0.999578157159551,0.846280114863083
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","CSNK2B","potential_malignant_T_cells_CNV_high_top25",0.01068171931351,7.88685040351128,0.00102761152834752,0.97527989072809,0.999578157159551,0.0320563804623591
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","E2F1","potential_malignant_T_cells_CNV_high_top25",0.996487790623974,3.89259726426924,1.61021172716232,0.243244703082112,0.999578157159551,1.26894118349209
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","EIF2AK3","potential_malignant_T_cells_CNV_high_top25",-0.18571071509497,3.88638605798973,0.159963429097283,0.700573724492228,0.999578157159551,-0.399954283759135
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","EIF2S1","potential_malignant_T_cells_CNV_high_top25",0.269140174256933,5.11561842862825,0.493588949177116,0.503969644044863,0.999578157159551,0.7025588581586
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","FIS1","potential_malignant_T_cells_CNV_high_top25",-0.141218018589679,6.8515913253414,0.171670676155559,0.690451273233044,0.999578157159551,-0.414331601685846
