"analysis_population","compartment","sample_id","gene","pseudobulk_logCPM","raw_counts","n_cells","patient_pair","condition_simple","sample_label","condition_label","pathway_id","pathway_name","pathway_label","z_logCPM"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","AMBRA1",4.11838623990876,10,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.573599984936492
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","AMFR",4.58404981225757,14,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.3508906424827
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ARIH1",7.46077843735583,106,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0848089822569024
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATF4",7.55261730442091,113,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.383314665577293
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATG9A",4.24963077318701,11,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.04089139518092
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","ATG9B",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.221846319250777
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BCL2L1",6.54624777954518,56,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.29027761680779
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BCL2L13",4.77046293648845,16,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.279403803829179
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BECN1",5.15233357183209,21,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.39919043680294
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BNIP3",-0.273931182870005,0,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.20264470883839
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","BNIP3L",6.44031433479612,52,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.354956343226008
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CALCOCO2",7.02068956602162,78,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.230074879380719
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M104","CCZ1",1.31103131785115,1,140,"P1","diagnosis","PP1_D_M104","Diagnosis","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.64926238186477
