"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","NETO2",4.40677186275453,4.16882862700362,36.0233053419178,0.00049719834554669,0.999578157159551,6.00194179761165
"potential malignant T cells (CNV-high top 25%)","SPRY2",-2.87316824584943,6.18153801444328,31.4740975922741,0.000681709841711893,0.999578157159551,-5.61017803570208
"potential malignant T cells (CNV-high top 25%)","JCHAIN",-3.63027364806941,3.43945288919575,29.120867783022,0.00140163867171325,0.999578157159551,-5.3963754301403
"potential malignant T cells (CNV-high top 25%)","BMF",-2.62460130788745,3.91708126344944,28.2272145865277,0.000940130989926741,0.999578157159551,-5.31292900258678
"potential malignant T cells (CNV-high top 25%)","TRAV8-3",3.46502423734507,7.31993222137669,27.8111203972318,0.00178736128577888,0.999578157159551,5.27362497692353
"potential malignant T cells (CNV-high top 25%)","TESC",3.21884754824685,4.98143335575668,26.1126604444728,0.0010315875670872,0.999578157159551,5.11005483771679
"potential malignant T cells (CNV-high top 25%)","MBP",2.50138438435605,5.56058527923471,24.6089803528236,0.00141976541378198,0.999578157159551,4.96074393139009
"potential malignant T cells (CNV-high top 25%)","MIAT",-2.19529305195139,5.31077078357828,23.2888544570374,0.00167604450100404,0.999578157159551,-4.82585271812531
"potential malignant T cells (CNV-high top 25%)","HOPX",2.48370710115065,5.95788882039926,23.0174140520393,0.00202127625266078,0.999578157159551,4.79764672022017
"potential malignant T cells (CNV-high top 25%)","JUNB",1.70495588209973,8.11615528760574,22.2542794314217,0.00189439049514841,0.999578157159551,4.71744416304228
"potential malignant T cells (CNV-high top 25%)","NCR3",2.98987445118094,5.4624857662267,22.2307912355538,0.00148966779690568,0.999578157159551,4.71495400142502
"potential malignant T cells (CNV-high top 25%)","AC005580.1",-4.32963443168829,2.15240137251334,22.1721575474405,0.00199275093399783,0.999578157159551,-4.70873205305212
"potential malignant T cells (CNV-high top 25%)","NR5A2",3.52800849719906,5.49146767087065,22.092062380675,0.00448013282834903,0.999578157159551,4.70021939707871
"potential malignant T cells (CNV-high top 25%)","CTNNA1",-2.80894143228416,2.86916122566358,21.6106743282107,0.00140035849382561,0.999578157159551,-4.64872824847944
"potential malignant T cells (CNV-high top 25%)","AC005381.1",-5.46782476920553,1.9211587450973,20.4024985429524,0.00212949339374436,0.999578157159551,-4.51691250113973
"potential malignant T cells (CNV-high top 25%)","OSBPL10",2.58515090304305,4.15083837929959,20.3984098420006,0.00243348661275636,0.999578157159551,4.51645987937461
"potential malignant T cells (CNV-high top 25%)","ALOX5",-2.93315701103966,4.01232009556379,20.2676469307272,0.00264369094179746,0.999578157159551,-4.50196034308691
"potential malignant T cells (CNV-high top 25%)","ST3GAL6",-3.17031295063445,3.11473987944335,19.8248702643154,0.00236146878316582,0.999578157159551,-4.4525128033859
"potential malignant T cells (CNV-high top 25%)","ARPP21",-1.41667995839455,7.68213597917047,18.9199935183511,0.00298646045289953,0.999578157159551,-4.34971188911991
"potential malignant T cells (CNV-high top 25%)","TRAV17",-3.29211188567572,5.91776885638733,18.8547042790719,0.00195328451393523,0.999578157159551,-4.34220039600568
"potential malignant T cells (CNV-high top 25%)","CD24",-3.73630238317686,2.42221726383048,18.8422165175918,0.00326539464785993,0.999578157159551,-4.34076220468155
"potential malignant T cells (CNV-high top 25%)","TRBV7-7",-5.16824897197809,3.39988642815188,18.6704255443453,0.00419078886822487,0.999578157159551,-4.32092878260512
"potential malignant T cells (CNV-high top 25%)","AC090204.1",-4.47845502488827,2.25829556994622,18.3622265717694,0.00283919856728087,0.999578157159551,-4.2851168679243
"potential malignant T cells (CNV-high top 25%)","AC109466.1",-3.15618436941889,5.09225956260982,18.0328747252695,0.00697907616989314,0.999578157159551,-4.24651324327024
"potential malignant T cells (CNV-high top 25%)","LGMN",2.94906325071191,2.77381282046504,17.5792688152989,0.00265764876439618,0.999578157159551,4.19276386352712
