"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05171 Coronavirus disease",3.23086900062057e-17,5.71863813109842e-15,1.06720998682811,0.597084872186687,2.61759733368221,153,"FOS;RPL39L;RELA;STAT3;PRKCA;RPL26L1;RPL30;IL1B;RPS16;MAPK9;RPL8;RPL21;RPLP1;UBA52;RPS13;RPL23A;MYD88;RPL7;RPL37;RPLP2;RPS20;RPS27;RPL38;RPS7;PIK3R3;RPS15A;RPS27A;RPS6;RPL18A;RPL36;RPL19;RPL35A;RPS28;RPL27A;RPS19;RPS4Y1;RPS17;RPS24;MAP3K7;RPL22;RPL13A;RPS25;RPS3A;TRAF3;RPS4X;RPL39;RPS21;RPL11;OAS3;RPL23;RPS27L;RPL17;RPS29;RPS3;RPL5;RPS12;RPL24;RPL27;RPL35;RPS2;IRAK1;RPL4;RPL14;CGAS;RPL12;RPLP0;RPL3;NFKB1;RPL36AL;RPS9;NFKBIB;RPL18;RPS14;OAS2;RPL9;FAU;RPL32;CASP1;RPL34;STAT2;RPS23;RPS18;RPL15;RPL31;STAT1;JAK1;RPL10A;RPL37A;EIF2AK2;RPL29;RPL13;RPL36A;RPS15","hsa05171","Coronavirus disease",238,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa03010 Ribosome",3.13474067861294e-17,5.71863813109842e-15,1.06720998682811,0.570991067675455,2.52035144454392,169,"RPL39L;MRPL15;RPL26L1;AURKAIP1;RPL30;MRPS18A;MRPL33;RPS16;RPL8;RPL21;MRPL54;MRPS2;RPLP1;UBA52;RPS13;RPL23A;RPL7;RPL37;RPLP2;RPS20;RPS27;MRPS23;MRPL20;RPL38;RPS7;RPS15A;MRPL58;RPS27A;RPS6;RPL18A;RPL36;RPL19;RPL35A;RPS28;RPL27A;MRPL40;RPS19;RPS4Y1;RPS17;MRPS6;RPS24;MRPS15;RPL22;RPL13A;RPS25;RPS3A;MRPS7;RPS4X;MRPL37;RPL39;RPS21;RPL11;RPL23;RPS27L;RPL17;MRPL3;RPS29;RPS3;RPL5;MRPL43;MRPL50;RPS12;RPL24;RPL27;RPL35;RPS2;RPL4;MRPS30;RPL14;RPL12;RPLP0;RPL3;RPL36AL;RPS9;MRPL53;RPL18;RPS14;RPL9;FAU;RPL32;RPL34;MRPS17;RPS23;RPS18;RPL15;RPL31;MRPL14;RPL10A;RPL37A;MRPL39;MRPL11;MRPL21;RPL29;MRPS12;RPL13;RPL36A;MRPL2;RPS15;RPS8;RPS5;MRPL36;RPL7A;RPL6;MRPL47;RPL10;RPS26;MRPL13;RPS11;MRPS10;MRPL27;MRPL41;RSL24D1;RPL41;RPL28","hsa03010","Ribosome",213,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04658 Th1 and Th2 cell differentiation",1.29727246715219e-08,1.53078151123959e-06,0.747739663149885,0.60457453380639,2.34890858001568,70,"IL4;RUNX3;FOS;TBX21;MAF;IL2RA;STAT5A;IL4R;CD247;RELA;GATA3;NFATC3;NFKBIE;IFNGR2;HLA-DPA1;MAPK9;HLA-DRA;NFATC1;JAK3;HLA-DQB1;NFATC2;MAML3;PPP3R1","hsa04658","Th1 and Th2 cell differentiation",93,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04659 Th17 cell differentiation",3.35321949245747e-07,2.96759925082486e-05,0.674962860011025,0.544648231214392,2.16855513015137,84,"IL4;FOS;TBX21;IL2RA;STAT5A;IL4R;IL21R;TGFB1;IL27RA;CD247;RELA;STAT3;GATA3;RARA;NFATC3;IL1B;NFKBIE;IFNGR2;HLA-DPA1;MAPK9;HLA-DRA;NFATC1;JAK3;HLA-DQB1;NFATC2;PPP3R1","hsa04659","Th17 cell differentiation",109,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05208 Chemical carcinogenesis - reactive oxygen species",1.23806233629976e-06,7.30456778416857e-05,0.643551836150722,0.443217112312576,1.94063184568731,159,"FOS;RELA;NDUFA6;COX7A2L;NDUFAB1;ATP5F1B;VDAC1;EPHX2;AKR1C1;UQCRH;COX5A;COX6C;GSTO1;MAPK9;NDUFC2;NDUFV2;NCF1;COX4I1;NDUFB7;CYC1;CYBA;NDUFB9;COX6A1;SLC25A5;UQCRHL;PRKD2;COX7A2;ATP5F1C;PIK3R3;ATP5PF;SOD2;ATP5F1E;ACP1;NDUFA12;UQCRB;ATP5PB;ATP5F1A;COX7B;GRB2;UQCR11;COX8A;VDAC2;SDHB;RAC1;SLC25A6;ATP5MC3;MAP3K14;NFKB1;NDUFA1;NDUFA9;MAP2K1;KEAP1;SOD1;NDUFB2;NRAS;KRAS;NDUFB6;NDUFB11;NDUFA2;CBR1;NDUFB4;UQCRFS1;ATP5MC1;ATP5MC2;AKR1C3;AKT1;UQCRQ;FOXO3;PRKD3;NDUFA13;NDUFS4","hsa05208","Chemical carcinogenesis - reactive oxygen species",227,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05012 Parkinson disease",1.05084495485148e-06,7.30456778416857e-05,0.643551836150722,0.411721087900173,1.86951934847173,203,"NDUFA6;COX7A2L;ADRM1;NDUFAB1;ATP5F1B;CALM1;VDAC1;UQCRH;COX5A;PSMB1;COX6C;SLC18A2;MAPK9;NDUFC2;BAX;NDUFV2;COX4I1;TUBA4A;GNAS;NDUFB7;CYC1;NDUFB9;COX6A1;UBA52;SLC25A5;UBE2J2;SLC39A4;UQCRHL;TUBA1C;COX7A2;ATP5F1C;PSMC4;ATP5PF;UBC;ATP5F1E;RPS27A;UBE2L6;SLC39A6;NDUFA12;UQCRB;PSMD12;ATP5PB;ATP5F1A;PSMB3;COX7B;PSMA7;PSMD7;UQCR11;KIF5B;UBA7;TUBB2A;PSMB7;COX8A;VDAC2;SEM1;ATF4;SLC39A3;SDHB;DUSP1;SLC25A6;CALM3;ATP5MC3;PSMD11;NDUFA1;PARK7;NDUFA9;TUBA1B;UBE2L3;MFN2;KEAP1;SOD1;TXN2;PSMD8;SLC39A8;NDUFB2;PSMC3","hsa05012","Parkinson disease",268,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04650 Natural killer cell mediated cytotoxicity",3.08901900168932e-06,0.000156216103799717,0.627256739718528,0.508134644233332,2.00239524228078,80,"NCR3;KIR3DL2;FCER1G;CD247;LCP2;PRKCA;LAT2;CD48;HLA-C;HLA-B;BID;HCST;CD244;IFNGR2;HLA-E;TNFSF10;HLA-A;NFATC1;NFATC2;PPP3R1;PTPN6;ICAM2;PIK3R3;ITGB2;IFNG","hsa04650","Natural killer cell mediated cytotoxicity",133,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05140 Leishmaniasis",4.74150440534085e-06,0.00018649917327674,0.610526878385931,0.599528786431819,2.15943867908817,49,"IL4;FOS;TGFB1;RELA;IL1B;MARCKSL1;IFNGR2;HLA-DPA1;ITGB1;HLA-DRA;NCF1;CYBA;HLA-DQB1;MYD88;IL10;PTPN6;ELK1;EEF1A1;ITGB2;IFNG;MAP3K7;IRAK1;NFKB1;NFKBIB;ITGAM;STAT1;JAK1","hsa05140","Leishmaniasis",78,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05020 Prion disease",4.26386785799048e-06,0.00018649917327674,0.610526878385931,0.403667869991878,1.82005370753117,192,"EGR1;STIP1;NDUFA6;COX7A2L;ADRM1;NDUFAB1;ATP5F1B;VDAC1;UQCRH;COX5A;PSMB1;COX6C;IL1B;MAPK9;NDUFC2;BAX;NDUFV2;NCF1;COX4I1;TUBA4A;NDUFB7;CYC1;CYBA;NDUFB9;COX6A1;SLC25A5;UQCRHL;CCL5;PPP3R1;TUBA1C;COX7A2;ATP5F1C;PIK3R3;PSMC4;ATP5PF;ATP5F1E;NDUFA12;UQCRB;PSMD12;ATP5PB;ATP5F1A;PSMB3;COX7B;PSMA7;PSMD7;UQCR11;KIF5B;TUBB2A;PSMB7;COX8A;VDAC2;SEM1;ATF4;PRNP;SDHB;RAC1;SLC25A6;ATP5MC3;PSMD11;NDUFA1;NDUFA9;TUBA1B;SOD1;PSMD8;NDUFB2;PSMC3","hsa05020","Prion disease",275,,,,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05169 Epstein-Barr virus infection",7.94162326244076e-06,0.000281133463490403,0.593325476396405,0.424161077539564,1.85719475152802,159,"RUNX3;GADD45B;MYC;CD58;RIPK1;CD247;RELA;STAT3;CALR;CD44;ADRM1;TAP1;HLA-C;TAP2;B2M;HLA-B;BID;MAP2K3;NFKBIE;HLA-DPA1;MAPK9;BAX;HLA-E;HLA-DRA;HLA-A;JAK3;VIM;NFKB2;HLA-DQB1;MYD88;SIN3A;PIK3R3;PSMC4;HLA-F;CD3D;MDM2;PSMD12;MAP3K7;TRAF3;PSMD7;OAS3;SEM1;IRF7;RELB;HDAC2;IRAK1;RAC1;PSMD11;MAP3K14;NFKB1;NFKBIB;HDAC1;OAS2;STAT2;STAT1;PSMD8;JAK1;DDB2;PSMC3;TAPBP;GADD45A;EIF2AK2","hsa05169","Epstein-Barr virus infection",205,,,,
