"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm","display_name","program","FDR_tier","FDR_evidence","FDR_label"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa03040 Spliceosome",0.00274028550038225,0.021556912603007,0.431707695803346,0.364960461997415,1.56820680564699,138,"EIF4A3;ALYREF;MAGOH;TXNL4A;PUF60;SF3B6;SRSF6;RP9;SNRPB;SNRPD1;PPIL1;SRSF3;SNRPB2;LSM5;HNRNPA1;SNRPF;PPIH;HNRNPC;SNRPE;SNRPA1;SF3B4;THOC7;SNU13;RBM17;SRSF9;CHERP;SNRPC;PHF5A;DDX5;SRSF2;PQBP1;SNRPD2;BUD31;SRSF7;LSM2;TCERG1;XAB2;PRPF40B;LSM3;SF3B5;SF3A2;PRPF6;SRSF5;HNRNPA3;SF1;PRPF38B;CCDC12;CWC25;SNIP1;HNRNPM;CASC3;SLU7;HNRNPK;RBM8A;LSM6;SNRPG;TRA2B;HNRNPU;SMNDC1;ZMAT2;RBM22","hsa03040","Spliceosome",188,,,,,"Spliceosome","Translation and RNA processing","FDR < 0.05",1.666413439009,"0.022"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa03008 Ribosome biogenesis in eukaryotes",0.000338880964100718,0.00499849422048559,0.49849310876659,0.477866020768336,1.84930591130448,69,"GTPBP4;UTP4;IMP3;AK6;DKC1;NXT1;POP7;EIF6;WDR36;NOP10;GAR1;POP4;WDR3;GNL2;SNU13;NOP58;NXT2;WDR43;RAN;IMP4;RRP7A;NHP2;UTP18;SBDS;NOP56;RCL1;FBL;RIOK1;XPO1;CSNK2A2;EMG1;NAT10;HEATR1;RPP38;XRN2","hsa03008","Ribosome biogenesis in eukaryotes",126,,,,,"Ribosome biogenesis","Translation and RNA processing","FDR < 0.05",2.30116080570889,"0.005"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa03010 Ribosome",3.13474067861294e-17,5.71863813109842e-15,1.06720998682811,0.570991067675455,2.52035144454392,169,"RPL39L;MRPL15;RPL26L1;AURKAIP1;RPL30;MRPS18A;MRPL33;RPS16;RPL8;RPL21;MRPL54;MRPS2;RPLP1;UBA52;RPS13;RPL23A;RPL7;RPL37;RPLP2;RPS20;RPS27;MRPS23;MRPL20;RPL38;RPS7;RPS15A;MRPL58;RPS27A;RPS6;RPL18A;RPL36;RPL19;RPL35A;RPS28;RPL27A;MRPL40;RPS19;RPS4Y1;RPS17;MRPS6;RPS24;MRPS15;RPL22;RPL13A;RPS25;RPS3A;MRPS7;RPS4X;MRPL37;RPL39;RPS21;RPL11;RPL23;RPS27L;RPL17;MRPL3;RPS29;RPS3;RPL5;MRPL43;MRPL50;RPS12;RPL24;RPL27;RPL35;RPS2;RPL4;MRPS30;RPL14;RPL12;RPLP0;RPL3;RPL36AL;RPS9;MRPL53;RPL18;RPS14;RPL9;FAU;RPL32;RPL34;MRPS17;RPS23;RPS18;RPL15;RPL31;MRPL14;RPL10A;RPL37A;MRPL39;MRPL11;MRPL21;RPL29;MRPS12;RPL13;RPL36A;MRPL2;RPS15;RPS8;RPS5;MRPL36;RPL7A;RPL6;MRPL47;RPL10;RPS26;MRPL13;RPS11;MRPS10;MRPL27;MRPL41;RSL24D1;RPL41;RPL28","hsa03010","Ribosome",213,,,,,"Ribosome","Translation and RNA processing","FDR < 0.05",6,"5.7e-15"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR 0.05b","hsa04137 Mitophagy - animal",0.0224907854920794,0.0925164132128848,0.352487857583619,0.355813112808649,1.44875425565999,91,"OPTN;RELA;TFE3;MTX3;TOMM40;MAPK9;MUL1;UBA52;SMURF2;UBC;RPS27A;FUNDC1;BCL2L13;TOMM20;RRAS2;MTX1;ATF4;RAB7A;TOMM7;MFN2;MAP1LC3B;BECN1;AMFR;CITED2;MTX2;RAB5A;RAB5C;NRAS;BNIP3;FKBP8;PHB2;KRAS","hsa04137","Mitophagy - animal",105,0.0224907854920794,0.0329781297811525,0.0449815709841589,0.0674723564762383,"Mitophagy","Mitochondria and proteostasis","FDR 0.05 to <0.10",1.03378121282368,"0.093"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR 0.05b","hsa03050 Proteasome",0.0164890648905763,0.0779346863595518,0.352487857583619,0.452931834879955,1.59746210947726,45,"ADRM1;PSMB1;POMP;PSMC4;IFNG;PSMD12;PSMB9;PSMB3;PSMA7;PSMD7;PSMB7;SEM1;PSMD11;PSME2;PSMD8;PSMC3;PSMC1;PSMA4;PSMB2;PSMF1;PSMC5;PSME4;PSMD6;PSMD1;PSME1;PSMD2;PSMB10;PSME3","hsa03050","Proteasome",46,0.0224907854920794,0.0329781297811525,0.0449815709841589,0.0659562595623051,"Proteasome","Mitochondria and proteostasis","FDR 0.05 to <0.10",1.10826920803003,"0.078"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",1.11292462644842e-05,0.00035815937978431,0.593325476396405,0.470889820947709,1.93845969226761,105,"ATP6V0A4;NDUFA6;COX7A2L;NDUFAB1;ATP5F1B;UQCRH;COX5A;COX6C;NDUFC2;NDUFV2;COX4I1;NDUFB7;CYC1;NDUFB9;COX6A1;ATP6V0C;ATP5MG;UQCRHL;ATP6V0D1;PPA1;COX7A2;ATP5F1C;ATP5PF;ATP5F1E;NDUFA12;UQCRB;ATP6V0E1;ATP5PB;ATP5F1A;COX7B;ATP6V1G1;UQCR11;COX8A;SDHB;ATP5MC3;NDUFA1;NDUFA9;NDUFB2;ATP6V1D;ATP5ME;NDUFB6;NDUFB11;NDUFA2;NDUFB4;UQCRFS1;ATP5MC1;ATP5MC2;ATP6V0A2;COX17;UQCRQ;COX11;NDUFA13;ATP5MF;NDUFS4;COX7C;NDUFS3","hsa00190","Oxidative phosphorylation",138,,,,,"Oxidative phosphorylation","Mitochondria and proteostasis","FDR < 0.05",3.44592367068091,"3.6e-04"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa05208 Chemical carcinogenesis - reactive oxygen species",1.23806233629976e-06,7.30456778416857e-05,0.643551836150722,0.443217112312576,1.94063184568731,159,"FOS;RELA;NDUFA6;COX7A2L;NDUFAB1;ATP5F1B;VDAC1;EPHX2;AKR1C1;UQCRH;COX5A;COX6C;GSTO1;MAPK9;NDUFC2;NDUFV2;NCF1;COX4I1;NDUFB7;CYC1;CYBA;NDUFB9;COX6A1;SLC25A5;UQCRHL;PRKD2;COX7A2;ATP5F1C;PIK3R3;ATP5PF;SOD2;ATP5F1E;ACP1;NDUFA12;UQCRB;ATP5PB;ATP5F1A;COX7B;GRB2;UQCR11;COX8A;VDAC2;SDHB;RAC1;SLC25A6;ATP5MC3;MAP3K14;NFKB1;NDUFA1;NDUFA9;MAP2K1;KEAP1;SOD1;NDUFB2;NRAS;KRAS;NDUFB6;NDUFB11;NDUFA2;CBR1;NDUFB4;UQCRFS1;ATP5MC1;ATP5MC2;AKR1C3;AKT1;UQCRQ;FOXO3;PRKD3;NDUFA13;NDUFS4","hsa05208","Chemical carcinogenesis - reactive oxygen species",227,,,,,"Reactive oxygen species program","Mitochondria and proteostasis","FDR < 0.05",4.1364054764448,"7.3e-05"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04660 T cell receptor signaling pathway",0.000409560063898642,0.00557631779308151,0.49849310876659,0.418705132799159,1.73047774436028,106,"IL4;FOS;MALT1;CD247;RELA;RASGRP1;LCP2;PDCD1;ICOS;NFATC3;NFKBIE;MAP3K8;MAPK9;NFATC1;NFATC2;IL10;PPP3R1;PTPN6;PIK3R3;ITK;CD3D;IFNG;MAP3K7;GRB2;BCL10;PPP2R5C;MAP3K14;NFKB1;NFKBIB;MAP2K1","hsa04660","T cell receptor signaling pathway",122,,,,,"T-cell receptor signaling","T-cell and cytokine signaling","FDR < 0.05",2.25365248386111,"0.006"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04060 Cytokine-cytokine receptor interaction",0.00061199957604122,0.00773742321137829,0.477270815362862,0.43310338036843,1.76493380571752,93,"IL4;CSF3R;OSM;CD70;XCL1;IL2RA;IL4R;CXCR3;IL21R;TGFB1;XCL2;IL27RA;CCR9;CCR7;LTB;TNFSF9;IL1B;IFNGR2;IL10RA;LIF;TNFSF10;TNFSF14;IL10;CCL5;ACVR1B;TNFRSF9;IFNG;TNFRSF1B;RELT","hsa04060","Cytokine-cytokine receptor interaction",298,,,,,"Cytokine-receptor interaction","T-cell and cytokine signaling","FDR < 0.05",2.11140364802548,"0.008"
"cnv_sample_top25","CNV cutoff","Top 25% within each sample",FALSE,3,3210,179,11620,"relapse_up","FDR < 0.05","hsa04630 JAK-STAT signaling pathway",0.000162261943103681,0.00287203639293516,0.518848077743792,0.461281783016122,1.85114286748747,85,"IL4;CSF3R;MYC;OSM;IL2RA;STAT5A;IL4R;PIM1;IL21R;IL27RA;STAT3;SOCS6;IFNGR2;IL10RA;LIF;JAK3;IL10;PTPN6;PIK3R3;SOCS3;IFNG;PDGFA;GRB2","hsa04630","JAK-STAT signaling pathway",168,,,,,"JAK-STAT signaling","T-cell and cytokine signaling","FDR < 0.05",2.54181006124353,"0.003"
