"specification_id","specification_axis","selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","gene_filter","robust_dispersion","normalization","rank_metric","n_cells_total","min_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","nperm","primary_equivalent","proteasome_NES","proteasome_nominal_P","proteasome_two_target_BH","mitophagy_NES","mitophagy_nominal_P","mitophagy_two_target_BH","worst_target_nominal_P"
"PQ276","Population + QC","within_sample",0.15,5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1900,105,4.24761904761905,866,1034,3.35552453887186,1599,0.487368421052632,0.258947368421053,0.240526315789474,0.0131578947368421,5000,FALSE,1.84394256562755,0.000336134453781513,0.000672268907563025,1.65620188873369,0.00124843945068664,0.00124843945068664,0.00124843945068664
"PQ275","Population + QC","within_sample",0.15,5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1900,105,4.24761904761905,866,1034,3.35552453887186,1599,0.487368421052632,0.258947368421053,0.240526315789474,0.0131578947368421,5000,FALSE,1.84946487959285,0.000996677740863787,0.0018957345971564,1.65102759262655,0.0018957345971564,0.0018957345971564,0.0018957345971564
"PQ274","Population + QC","within_sample",0.15,5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1926,107,4.19626168224299,883,1043,3.34532121850454,1591.5,0.481827622014538,0.255451713395639,0.249221183800623,0.0134994807892004,5000,FALSE,1.87783891413275,0.000675447483958122,0.00135089496791624,1.66538701414415,0.00254291163382072,0.00254291163382072,0.00254291163382072
"PQ273","Population + QC","within_sample",0.15,5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1926,107,4.19626168224299,883,1043,3.34532121850454,1591.5,0.481827622014538,0.255451713395639,0.249221183800623,0.0134994807892004,5000,FALSE,1.88010549062648,0.00100200400801603,0.00200400801603206,1.66021114452565,0.00257898130238556,0.00257898130238556,0.00257898130238556
"PQ266","Population + QC","within_sample",0.15,4.5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1680,86,4.83720930232558,753,927,3.16484612327817,1596,0.496428571428571,0.255952380952381,0.233928571428571,0.0136904761904762,5000,FALSE,2.02386846525087,0.000340599455040872,0.000681198910081744,1.57944932012204,0.00355756791720569,0.00355756791720569,0.00355756791720569
"PQ265","Population + QC","within_sample",0.15,4.5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1680,86,4.83720930232558,753,927,3.16484612327817,1596,0.496428571428571,0.255952380952381,0.233928571428571,0.0136904761904762,5000,FALSE,2.00561096758103,0.000343760742523204,0.000687521485046408,1.57003598186298,0.00553385416666667,0.00553385416666667,0.00553385416666667
"PQ267","Population + QC","within_sample",0.15,4.5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1656,84,4.91666666666667,737,919,3.17404282718449,1612,0.502415458937198,0.259661835748792,0.22463768115942,0.0132850241545894,5000,FALSE,2.02351539183166,0.000347463516330785,0.000694927032661571,1.54362051609903,0.00740502253702511,0.00740502253702511,0.00740502253702511
"PQ278","Population + QC","within_sample",0.15,5,1000,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1683,82,5.10975609756098,698,985,3.33333333333333,1695,0.534165181224005,0.28698752228164,0.164587046939988,0.0142602495543672,5000,FALSE,1.94215911359851,0.000681663258350375,0.00136332651670075,1.52808354060093,0.00839251129761136,0.00839251129761136,0.00839251129761136
"PQ100","Population + QC","global",0.25,4,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2461,98,8.01020408163265,1022,1439,2.80203784570597,1635,0.409995936611134,0.299878098334011,0.277935798455912,0.0121901665989435,5000,FALSE,1.6132597977155,0.0088,0.0088,1.54508183300665,0.00474495848161329,0.0088,0.0088
"PQ099","Population + QC","global",0.25,4,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",2462,98,8.01020408163265,1022,1440,2.80161723669579,1635,0.410235580828595,0.299756295694557,0.277822908204712,0.0121852152721365,5000,FALSE,1.60909996398756,0.0101255569056298,0.0101255569056298,1.56193481483645,0.00918897323212145,0.0101255569056298,0.0101255569056298
"PQ277","Population + QC","within_sample",0.15,5,1000,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1683,82,5.10975609756098,698,985,3.33333333333333,1695,0.534165181224005,0.28698752228164,0.164587046939988,0.0142602495543672,5000,FALSE,1.93417562708359,0.000685166152792052,0.0013703323055841,1.52045864740857,0.0105062082139446,0.0105062082139446,0.0105062082139446
"PQ268","Population + QC","within_sample",0.15,4.5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1656,84,4.91666666666667,737,919,3.17404282718449,1612,0.502415458937198,0.259661835748792,0.22463768115942,0.0132850241545894,5000,FALSE,2.01621608214653,0.000337381916329285,0.000674763832658569,1.53688359382306,0.010529779532741,0.010529779532741,0.010529779532741
"PQ098","Population + QC","global",0.25,4,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2484,99,7.94949494949495,1039,1445,2.79297011249588,1631,0.407004830917874,0.297101449275362,0.28341384863124,0.0124798711755233,5000,FALSE,1.62471102718012,0.0105433901054339,0.0105433901054339,1.55181436354261,0.00704225352112676,0.0105433901054339,0.0105433901054339
"PQ259","Population + QC","within_sample",0.15,4,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1381,62,5.95161290322581,590,791,2.97933685728015,1600,0.501086169442433,0.266473569876901,0.217958001448226,0.0144822592324403,5000,FALSE,1.856326455078,0.0013703323055841,0.00274066461116821,1.52165191093337,0.0111856823266219,0.0111856823266219,0.0111856823266219
"PQ097","Population + QC","global",0.25,4,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",2485,99,7.94949494949495,1039,1446,2.79105628373169,1631,0.407243460764588,0.296981891348089,0.283299798792757,0.0124748490945674,5000,FALSE,1.61982620448647,0.0112903225806452,0.0112903225806452,1.55350890616417,0.0060557125555107,0.0112903225806452,0.0112903225806452
"PQ258","Population + QC","within_sample",0.15,4,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1404,64,5.796875,606,798,2.967129712709,1588.5,0.494301994301994,0.262108262108262,0.228632478632479,0.014957264957265,5000,FALSE,1.91053313860817,0.000665557404326123,0.00133111480865225,1.52763667741982,0.0112976113621691,0.0112976113621691,0.0112976113621691
"PQ262","Population + QC","within_sample",0.15,4,1000,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1246,53,6.60377358490566,492,754,2.98698232141757,1673.5,0.541733547351525,0.290529695024077,0.152487961476726,0.0152487961476726,5000,FALSE,1.81987125142099,0.0019614253023864,0.0039228506047728,1.52377539222065,0.0113115255273617,0.0113115255273617,0.0113115255273617
"PQ257","Population + QC","within_sample",0.15,4,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1404,64,5.796875,606,798,2.967129712709,1588.5,0.494301994301994,0.262108262108262,0.228632478632479,0.014957264957265,5000,FALSE,1.90768285149957,0.00137978613314936,0.00275957226629872,1.53319778511972,0.0117263843648208,0.0117263843648208,0.0117263843648208
"PQ313","Population + QC","within_sample",0.2,5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",2568,143,4.18881118881119,1177,1391,3.27528480537661,1670.5,0.488707165109034,0.259735202492212,0.240264797507788,0.0112928348909657,5000,FALSE,1.73899619160691,0.00138264777048047,0.00276529554096094,1.51233640489509,0.0125164690382082,0.0125164690382082,0.0125164690382082
"PQ249","Population + QC","within_sample",0.15,3.5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1065,53,5.83018867924528,447,618,2.69546590503392,1558,0.477934272300469,0.259154929577465,0.246948356807512,0.015962441314554,5000,FALSE,1.83304253342749,0.00106082036775106,0.00212164073550212,1.48935248793135,0.0133868808567604,0.0133868808567604,0.0133868808567604
"PQ058","Population + QC","global",0.2,4,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1975,67,9.80597014925373,831,1144,2.79941065038939,1574,0.394936708860759,0.309367088607595,0.28253164556962,0.0131645569620253,5000,FALSE,1.59966980317225,0.0136217948717949,0.0136217948717949,1.54052938290025,0.00989315393747527,0.0136217948717949,0.0136217948717949
"PQ060","Population + QC","global",0.2,4,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1953,67,9.77611940298507,815,1138,2.81419891269587,1578,0.398361495135689,0.312852022529442,0.275985663082437,0.0128008192524322,5000,FALSE,1.58084650336774,0.0138613861386139,0.0138613861386139,1.5272020776194,0.0126016260162602,0.0138613861386139,0.0138613861386139
"PQ057","Population + QC","global",0.2,4,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1976,67,9.80597014925373,831,1145,2.79926624725836,1574,0.395242914979757,0.309210526315789,0.282388663967611,0.0131578947368421,5000,FALSE,1.58940524756403,0.0140224358974359,0.0140224358974359,1.56341805106694,0.00642312324367724,0.0128462464873545,0.0140224358974359
"PQ261","Population + QC","within_sample",0.15,4,1000,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1246,53,6.60377358490566,492,754,2.98698232141757,1673.5,0.541733547351525,0.290529695024077,0.152487961476726,0.0152487961476726,5000,FALSE,1.82304031954109,0.00193361263293587,0.00386722526587174,1.52461535910058,0.0143599144515735,0.0143599144515735,0.0143599144515735
"PQ260","Population + QC","within_sample",0.15,4,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1381,62,5.95161290322581,590,791,2.97933685728015,1600,0.501086169442433,0.266473569876901,0.217958001448226,0.0144822592324403,5000,FALSE,1.86694027043763,0.00138026224982747,0.00276052449965493,1.50937504726254,0.0146914789422135,0.0146914789422135,0.0146914789422135
"PQ270","Population + QC","within_sample",0.15,4.5,1000,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1480,65,5.98461538461538,606,874,3.17190490944157,1697.5,0.545945945945946,0.284459459459459,0.155405405405405,0.0141891891891892,5000,FALSE,1.89122997672499,0.000329706561160567,0.000659413122321134,1.48114145021205,0.0150260656240417,0.0150260656240417,0.0150260656240417
"MR012","Model + ranking","global",0.25,5,0,"none","cpm05_n2",TRUE,"TMMwsp","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.7194797961947,0.00227790432801822,0.00455580865603645,1.44548548523761,0.0152616279069767,0.0152616279069767,0.0152616279069767
"PQ466","Population + QC","within_sample",0.5,4.5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",5823,318,4.26729559748428,2675,3148,3.01094890510949,1965,0.525502318392581,0.236819508844238,0.229606731925125,0.00807144083805598,5000,FALSE,1.67062797061682,0.00560616678346181,0.0112123335669236,1.45674244114673,0.0157718120805369,0.0157718120805369,0.0157718120805369
"PQ434","Population + QC","within_sample",0.4,5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",5129,285,4.2,2350,2779,3.17762085822922,1862,0.515695067264574,0.246636771300448,0.229284460908559,0.0083837005264184,5000,FALSE,1.88098040744312,0.000347101700798334,0.000694203401596668,1.47755163059147,0.0160078405749755,0.0160078405749755,0.0160078405749755
"PQ435","Population + QC","within_sample",0.4,5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",5105,282,4.23404255319149,2334,2771,3.17991631799163,1869,0.518511263467189,0.247600391772772,0.2256611165524,0.00822722820763957,5000,FALSE,1.88572059605967,0.000677966101694915,0.00135593220338983,1.47785855928962,0.016239038648912,0.016239038648912,0.016239038648912
"PQ433","Population + QC","within_sample",0.4,5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",5133,285,4.2,2353,2780,3.17725752508361,1864,0.516072472238457,0.246444574323008,0.229105786090006,0.00837716734852913,5000,FALSE,1.85613062152699,0.00101214574898785,0.00202429149797571,1.47592073988889,0.0163345311989546,0.0163345311989546,0.0163345311989546
"PQ298","Population + QC","within_sample",0.2,4,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1915,89,5.51685393258427,846,1069,2.93982544786403,1665,0.492950391644909,0.263185378590078,0.231331592689295,0.012532637075718,5000,FALSE,1.74690475103252,0.00176553672316384,0.00353107344632768,1.4886856893616,0.0167048804454635,0.0167048804454635,0.0167048804454635
"PQ105","Population + QC","global",0.25,4.5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",2865,119,7.47899159663866,1175,1690,2.98035673967035,1634,0.413612565445026,0.296684118673647,0.27783595113438,0.0118673647469459,5000,FALSE,1.55334269959632,0.0171009771986971,0.0171009771986971,1.50227302154106,0.0122699386503067,0.0171009771986971,0.0171009771986971
"PQ314","Population + QC","within_sample",0.2,5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2567,143,4.18881118881119,1177,1390,3.27552986512524,1670,0.488507985975847,0.25983638488508,0.240358395013635,0.0112972341254383,5000,FALSE,1.76232402907042,0.00238095238095238,0.00476190476190476,1.49187103491342,0.0171687722708131,0.0171687722708131,0.0171687722708131
"PQ297","Population + QC","within_sample",0.2,4,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1916,89,5.51685393258427,846,1070,2.93871337223023,1665.5,0.49321503131524,0.263048016701461,0.231210855949896,0.0125260960334029,5000,FALSE,1.72596727910309,0.00487465181058496,0.00974930362116992,1.47891563826257,0.0172638436482085,0.0172638436482085,0.0172638436482085
"PQ354","Population + QC","within_sample",0.25,5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",3209,179,4.17877094972067,1472,1737,3.24514531474,1721,0.495793081956996,0.258959177313805,0.235275786849486,0.00997195387971331,5000,FALSE,1.65174144087978,0.00861178091629349,0.017223561832587,1.46158598873509,0.017422748191979,0.017422748191979,0.017422748191979
