"pathway_name","specification_axis","parameter","level","specifications_n","nominal_hit_n","nominal_hit_pct","median_nominal_P","minimum_nominal_P","median_NES","median_cells_n"
"Mitophagy - animal","Model + ranking","selection_scope","global",48,32,66.6666666666667,0.0281251712933396,0.0152616279069767,1.39830522303434,3207
"Mitophagy - animal","Population + QC","selection_scope","global",236,101,42.7966101694915,0.0609938003875615,0.00474495848161329,1.32524713573364,2306.5
"Mitophagy - animal","Population + QC","selection_scope","within_sample",236,110,46.6101694915254,0.0558222224580178,0.00124843945068664,1.34569701323867,2269
"Proteasome","Model + ranking","selection_scope","global",48,40,83.3333333333333,0.0153507662501429,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","selection_scope","global",236,122,51.6949152542373,0.0463203721374046,0.00117416829745597,1.42583242824449,2306.5
"Proteasome","Population + QC","selection_scope","within_sample",236,181,76.6949152542373,0.0129485533579268,0.000329706561160567,1.59597874388404,2269
"Mitophagy - animal","Model + ranking","top_fraction","0.25",48,32,66.6666666666667,0.0281251712933396,0.0152616279069767,1.39830522303434,3207
"Mitophagy - animal","Population + QC","top_fraction","0.15",74,47,63.5135135135135,0.0329846378648128,0.00124843945068664,1.40556844250901,1168
"Mitophagy - animal","Population + QC","top_fraction","0.2",78,41,52.5641025641026,0.0481236799843974,0.00642312324367724,1.36333875746411,1580.5
"Mitophagy - animal","Population + QC","top_fraction","0.25",80,47,58.75,0.0439308744056102,0.00474495848161329,1.36511383851305,1985.5
"Mitophagy - animal","Population + QC","top_fraction","0.3",80,15,18.75,0.0744434697953049,0.0273741128759716,1.30021393849247,2448
"Mitophagy - animal","Population + QC","top_fraction","0.4",80,33,41.25,0.0773259139604896,0.0160078405749755,1.29428520361789,3486.5
"Mitophagy - animal","Population + QC","top_fraction","0.5",80,28,35,0.0803158465610607,0.0157718120805369,1.29844993696447,4598.5
"Proteasome","Model + ranking","top_fraction","0.25",48,40,83.3333333333333,0.0153507662501429,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","top_fraction","0.15",74,50,67.5675675675676,0.0132909413113729,0.000329706561160567,1.60133573372295,1168
"Proteasome","Population + QC","top_fraction","0.2",78,61,78.2051282051282,0.0159080985883407,0.00138217000691085,1.57064558973484,1580.5
"Proteasome","Population + QC","top_fraction","0.25",80,49,61.25,0.0339122810769198,0.000693721817551162,1.48104247123604,1985.5
"Proteasome","Population + QC","top_fraction","0.3",80,44,55,0.0403635341399431,0.00105969622041681,1.45393392385478,2448
"Proteasome","Population + QC","top_fraction","0.4",80,43,53.75,0.0433274970037102,0.000346740638002774,1.43551914739216,3486.5
"Proteasome","Population + QC","top_fraction","0.5",80,56,70,0.0276950048880329,0.00117416829745597,1.49987767097362,4598.5
"Mitophagy - animal","Model + ranking","mt_max","5",48,32,66.6666666666667,0.0281251712933396,0.0152616279069767,1.39830522303434,3207
"Mitophagy - animal","Population + QC","mt_max","3",90,7,7.77777777777778,0.131679401341238,0.033022533022533,1.2226450933159,1454.5
"Mitophagy - animal","Population + QC","mt_max","3.5",94,25,26.5957446808511,0.0847045688185786,0.0133868808567604,1.2841403401324,1975.5
"Mitophagy - animal","Population + QC","mt_max","4",96,59,61.4583333333333,0.0447489059418146,0.00474495848161329,1.36882499318251,2447
"Mitophagy - animal","Population + QC","mt_max","4.5",96,53,55.2083333333333,0.0479381597013617,0.00355756791720569,1.35653496169311,2851
"Mitophagy - animal","Population + QC","mt_max","5",96,67,69.7916666666667,0.0401539916882426,0.00124843945068664,1.38187384906428,3194.5
"Proteasome","Model + ranking","mt_max","5",48,40,83.3333333333333,0.0153507662501429,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","mt_max","3",90,26,28.8888888888889,0.135075192602075,0.0007097232079489,1.26470658932723,1454.5
"Proteasome","Population + QC","mt_max","3.5",94,58,61.7021276595745,0.0345921641337186,0.00101971447994562,1.47194174800903,1975.5
"Proteasome","Population + QC","mt_max","4",96,71,73.9583333333333,0.0232801082207072,0.000665557404326123,1.53425983255412,2447
"Proteasome","Population + QC","mt_max","4.5",96,76,79.1666666666667,0.0166865832739047,0.000329706561160567,1.5894726291142,2851
"Proteasome","Population + QC","mt_max","5",96,72,75,0.0174990431096809,0.000336134453781513,1.56335311992017,3194.5
"Mitophagy - animal","Model + ranking","min_features","0",48,32,66.6666666666667,0.0281251712933396,0.0152616279069767,1.39830522303434,3207
"Mitophagy - animal","Population + QC","min_features","0",120,75,62.5,0.0388821617446153,0.00254291163382072,1.37758606120955,2525
"Mitophagy - animal","Population + QC","min_features","1000",120,48,40,0.060926149021274,0.00839251129761136,1.33149835835552,2303.5
"Mitophagy - animal","Population + QC","min_features","1500",112,17,15.1785714285714,0.10939989399918,0.0271546635182999,1.25512542160761,1679.5
"Mitophagy - animal","Population + QC","min_features","500",120,71,59.1666666666667,0.0404439022133191,0.00124843945068664,1.37025442798257,2500.5
"Proteasome","Model + ranking","min_features","0",48,40,83.3333333333333,0.0153507662501429,0.00227790432801822,1.57126153677581,3207
"Proteasome","Population + QC","min_features","0",120,102,85,0.0156609058636245,0.000340599455040872,1.57381386074808,2525
"Proteasome","Population + QC","min_features","1000",120,72,60,0.035417064536575,0.000329706561160567,1.46213423679661,2303.5
"Proteasome","Population + QC","min_features","1500",112,26,23.2142857142857,0.219997981021603,0.000918554807103491,1.17074666263219,1679.5
"Proteasome","Population + QC","min_features","500",120,103,85.8333333333333,0.0180826158707416,0.000336134453781513,1.56012020860774,2500.5
"Mitophagy - animal","Model + ranking","upper_feature_cap","none",48,32,66.6666666666667,0.0281251712933396,0.0152616279069767,1.39830522303434,3207
