"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","pathway_name","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","BH_within_spec_two_targets","BH_across_specifications_same_pathway","BH_across_all_specifications_and_targets","nominal_P_monte_carlo_SE","nominal_P_borderline_0.05","nominal_P_lt_0.05","two_target_BH_lt_0.05","direction","nperm","primary_equivalent"
"within_sample",0.15,5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ276",1900,105,446,4.24761904761905,866,1034,3.35552453887186,1599,0.487368421052632,0.258947368421053,0.240526315789474,0.0131578947368421,"Mitophagy - animal",0.00124843945068664,0.00124843945068664,0.413272118472777,1.65620188873369,3,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;CCZ1;MUL1;MAPK9;UBB;SMURF2;RAB5C;MFN2;MTX1;CCZ1B;BECN1;FUNDC1;CSNK2B;KRAS;AMFR;CITED2;ATF4;E2F1;PHB2;CSNK2A1;TOMM70;NRAS;CALCOCO2;FKBP8;SMURF1;RABGEF1;TBC1D15",0.00124843945068664,0.106217658084878,0.0388636130080997,0.000499375780274657,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ275",1900,105,446,4.24761904761905,866,1034,3.35552453887186,1599,0.487368421052632,0.258947368421053,0.240526315789474,0.0131578947368421,"Mitophagy - animal",0.0018957345971564,0.0018957345971564,0.413272118472777,1.65102759262655,5,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;CCZ1;MUL1;MAPK9;UBB;SMURF2;RAB5C;MFN2;MTX1;CCZ1B;BECN1;FUNDC1;CSNK2B;KRAS;AMFR;CITED2;ATF4;E2F1;PHB2;CSNK2A1;TOMM70;NRAS;CALCOCO2;FKBP8;SMURF1;RABGEF1;TBC1D15",0.0018957345971564,0.106217658084878,0.0434017513719544,0.000615165146524662,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ274",1926,107,449,4.19626168224299,883,1043,3.34532121850454,1591.5,0.481827622014538,0.255451713395639,0.249221183800623,0.0134994807892004,"Mitophagy - animal",0.00254291163382072,0.00254291163382072,0.416109270629627,1.66538701414415,7,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MUL1;MAPK9;CCZ1;RAB5C;SMURF2;UBB;MFN2;MTX1;BECN1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;CITED2;E2F1;ATF4;CSNK2A1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;RABGEF1;TBC1D15",0.00254291163382072,0.106217658084878,0.0443147197307029,0.000712242266963047,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ273",1926,107,449,4.19626168224299,883,1043,3.34532121850454,1591.5,0.481827622014538,0.255451713395639,0.249221183800623,0.0134994807892004,"Mitophagy - animal",0.00257898130238556,0.00257898130238556,0.416109270629627,1.66021114452565,7,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MUL1;MAPK9;CCZ1;RAB5C;SMURF2;UBB;MFN2;MTX1;BECN1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;CITED2;E2F1;ATF4;CSNK2A1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;RABGEF1;TBC1D15",0.00257898130238556,0.106217658084878,0.0443147197307029,0.000717262874799401,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,4.5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ266",1680,86,416,4.83720930232558,753,927,3.16484612327817,1596,0.496428571428571,0.255952380952381,0.233928571428571,0.0136904761904762,"Mitophagy - animal",0.00355756791720569,0.00355756791720569,0.387574937891135,1.57944932012204,10,86,"TFE3;OPTN;TOMM40;RRAS2;UBA52;RELA;BCL2L13;RPS27A;RAB7A;UBC;MFN2;RAB5A;TOMM7;TOMM20;MAP1LC3B;BECN1;RAB5C;CCZ1;FUNDC1;SMURF2;UBB;MUL1;MTX1;MAPK9;CCZ1B;CSNK2A1;CSNK2B;AMFR;PHB2;E2F1;USP30;KRAS;NRAS;CALCOCO2;TBC1D15;ATF4;TOMM70;FKBP8",0.00355756791720569,0.106217658084878,0.0486825083407095,0.000842010882081718,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ100",2461,98,785,8.01020408163265,1022,1439,2.80203784570597,1635,0.409995936611134,0.299878098334011,0.277935798455912,0.0121901665989435,"Mitophagy - animal",0.00474495848161329,0.0088,0.370235939737095,1.54508183300665,11,88,"MTX1;TOMM40;RELA;TFE3;TOMM70;MFN2;OPTN;MAPK9;MUL1;ATF4;BCL2L13;RAB7A;E2F1;RRAS2;BECN1;AMFR;BNIP3;HUWE1;FUNDC1;NRAS;PGAM5;MAP1LC3B2;SMURF2;UBA52;UBC;MTX2;EIF2S1;TOMM20;TBK1;RPS27A;OPA1;CCZ1B;CSNK2A1;CSNK2A2;ATG9A;TOMM7",0.0088,0.106217658084878,0.0548306313430869,0.000971848120914071,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"within_sample",0.15,4.5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ265",1680,86,416,4.83720930232558,753,927,3.16484612327817,1596,0.496428571428571,0.255952380952381,0.233928571428571,0.0136904761904762,"Mitophagy - animal",0.00553385416666667,0.00553385416666667,0.387574937891135,1.57003598186298,16,86,"TFE3;OPTN;TOMM40;RRAS2;UBA52;RELA;BCL2L13;RPS27A;RAB7A;UBC;MFN2;RAB5A;TOMM7;TOMM20;MAP1LC3B;BECN1;RAB5C;CCZ1;FUNDC1;SMURF2;UBB;MUL1;MTX1;MAPK9;CCZ1B;CSNK2A1;CSNK2B;AMFR;PHB2;E2F1;USP30;KRAS;NRAS;CALCOCO2;TBC1D15;ATF4;TOMM70;FKBP8",0.00553385416666667,0.106217658084878,0.0570197505063405,0.00104911683093245,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ097",2485,99,787,7.94949494949495,1039,1446,2.79105628373169,1631,0.407243460764588,0.296981891348089,0.283299798792757,0.0124748490945674,"Mitophagy - animal",0.0060557125555107,0.0112903225806452,0.372163728316846,1.55350890616417,14,88,"MTX1;TOMM40;RELA;TFE3;TOMM70;MFN2;MAPK9;OPTN;ATF4;MUL1;BCL2L13;RAB7A;RRAS2;E2F1;BECN1;AMFR;HUWE1;PGAM5;NRAS;FUNDC1;BNIP3;MAP1LC3B2;SMURF2;UBA52;UBC;MTX2;EIF2S1;TOMM20",0.0112903225806452,0.106217658084878,0.0574162679425837,0.00109718192666082,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.2,4,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ057",1976,67,657,9.80597014925373,831,1145,2.79926624725836,1574,0.395242914979757,0.309210526315789,0.282388663967611,0.0131578947368421,"Mitophagy - animal",0.00642312324367724,0.0128462464873545,0.370050245440608,1.56341805106694,15,84,"OPTN;RELA;TOMM40;MAPK9;TFE3;E2F1;MTX1;TOMM70;FUNDC1;MUL1;MAP1LC3B2;MFN2;BNIP3;EIF2S1;RAB7A;ATF4;SMURF2;RRAS2;SP1;UBA52;HUWE1;FKBP8;BCL2L13;NRAS;AMFR;RAB5A;UBC;BECN1;RPS27A;TOMM20;CSNK2A2;CALCOCO2;MTX2;RAB5C;OPA1;SAMM50",0.0128462464873545,0.106217658084878,0.058620446699077,0.0011297669433537,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
"global",0.25,4,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ098",2484,99,787,7.94949494949495,1039,1445,2.79297011249588,1631,0.407004830917874,0.297101449275362,0.28341384863124,0.0124798711755233,"Mitophagy - animal",0.00704225352112676,0.0105433901054339,0.370875593485343,1.55181436354261,16,88,"MTX1;TOMM40;RELA;TFE3;TOMM70;MFN2;OPTN;MAPK9;MUL1;ATF4;BCL2L13;RAB7A;E2F1;BECN1;RRAS2;AMFR;PGAM5;HUWE1;FUNDC1;BNIP3;NRAS;MAP1LC3B2;SMURF2;UBA52;UBC;MTX2;EIF2S1;TOMM20;TBK1;RPS27A;CSNK2A1;OPA1;CCZ1B;CSNK2A2",0.0105433901054339,0.106217658084878,0.0595442574144051,0.00118259546646103,FALSE,TRUE,TRUE,"relapse_up",5000,FALSE
