"pathway_id","pathway_name","GSEA_NES","GSEA_nominal_P","GSEA_global_FDR","leading_edge_genes_n","sample_id","leading_edge_mean_logCPM","patient_pair","condition_simple","paired_delta"
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M104",5.46292124297318,"P1","diagnosis",0.917523511608593
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M127",6.38044475458177,"P1","relapse",0.917523511608593
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M143",5.4602748243836,"P2","diagnosis",0.275594055047358
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M148",5.73586887943096,"P2","relapse",0.275594055047358
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M187",5.45637231864614,"P3","diagnosis",0.27613684014488
"hsa04137","Mitophagy - animal",1.44241575371799,0.0158390970690435,0.0998428797387919,31,"M187r",5.73250915879102,"P3","relapse",0.27613684014488
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M104",6.15964327041615,"P1","diagnosis",0.49910250557581
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M127",6.65874577599196,"P1","relapse",0.49910250557581
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M143",6.28502834031236,"P2","diagnosis",0.289266620236197
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M148",6.57429496054856,"P2","relapse",0.289266620236197
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M187",6.53682320406587,"P3","diagnosis",0.212970313358446
"hsa03050","Proteasome",1.52779981316517,0.0181870601426723,0.108814105599378,22,"M187r",6.74979351742432,"P3","relapse",0.212970313358446
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M104",4.95857147182385,"P1","diagnosis",-0.642901839125599
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M127",4.31566963269825,"P1","relapse",-0.642901839125599
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M143",4.93177708239791,"P2","diagnosis",-0.41635109414888
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M148",4.51542598824903,"P2","relapse",-0.41635109414888
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M187",4.93310175117372,"P3","diagnosis",-0.148197189607646
"hsa04136","Autophagy - other",-1.3362951295557,0.116541353383459,0.299392911347201,13,"M187r",4.78490456156608,"P3","relapse",-0.148197189607646
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M104",5.16022315108136,"P1","diagnosis",-0.534948934315121
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M127",4.62527421676624,"P1","relapse",-0.534948934315121
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M143",5.23729064122581,"P2","diagnosis",-0.537947743365242
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M148",4.69934289786057,"P2","relapse",-0.537947743365242
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M187",4.87429142361132,"P3","diagnosis",-0.236106584764405
"hsa04140","Autophagy - animal",-0.930497218533958,0.617647058823529,0.754427030327702,42,"M187r",4.63818483884691,"P3","relapse",-0.236106584764405
