"candidate_id","candidate_label","selection_scope","top_fraction","extra_qc","paper_qc_preserved","definition_changes","n_cells_total","min_cells_per_sample","genes_ranked_n","tested_KEGG_sets_n","direction","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","global_FDR_lt_0.05","global_FDR_lt_0.10"
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa03050 Proteasome",0.0303387891898575,0.159391847684028,0.352487857583619,0.415411402435174,1.51161038955475,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMB3;PSMC3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMC1;PSMA8;PSMB2","hsa03050","Proteasome",46,FALSE,FALSE
"A01","Global CNV top 25%; paper QC","global",0.25,"none",TRUE,0,3207,140,10950,353,"relapse_up","hsa04137 Mitophagy - animal",0.0176101560689059,0.11069240957598,0.352487857583619,0.344120599277771,1.44798486920434,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;MFN2;UBA52;TOMM20;UBC;MTX2;EIF2S1;CSNK2A1;CCZ1B;RPS27A;PGAM5;BNIP3;HUWE1","hsa04137","Mitophagy - animal",105,FALSE,FALSE
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa03050 Proteasome",0.0135421681140997,0.0675201058083279,0.380730400722792,0.455086954744608,1.59999820056051,45,"ADRM1;PSMB1;POMP;PSMC4;PSMA7;PSMB3;IFNG;PSMD12;PSMB7;PSMB9;PSMD7;SEM1;PSMD11;PSMD8;PSME2;PSMC3;PSMC1;PSMA4;PSMB2;PSMF1;PSMC5;PSMD6;PSME4;PSMD1;PSME1;PSMD2;PSME3;PSMB10;PSMD3;PSMD14","hsa03050","Proteasome",46,FALSE,TRUE
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04137 Mitophagy - animal",0.0174217403312061,0.0811486325953547,0.352487857583619,0.361847730923039,1.47519421379183,91,"OPTN;RELA;MTX3;TFE3;TOMM40;MAPK9;MUL1;UBA52;SMURF2;FUNDC1;UBC;BCL2L13;RPS27A;RRAS2;TOMM20;MTX1;RAB7A;ATF4;TOMM7;MFN2;MAP1LC3B;BECN1;AMFR;RAB5C;BNIP3;MTX2;CITED2;RAB5A;FKBP8;NRAS;PHB2;KRAS;CSNK2A2;OPA1;CCZ1B;E2F1;FOXO3","hsa04137","Mitophagy - animal",105,FALSE,TRUE
"A03","Global CNV top 15%; paper QC","global",0.15,"none",TRUE,1,1925,64,9847,348,"relapse_up","hsa03050 Proteasome",0.0244786968608531,0.122267781789955,0.352487857583619,0.414633724840016,1.54132002898459,43,"ADRM1;PSMC5;PSMB9;PSMB1;PSMB3;PSMD8;PSMB7;POMP;PSMB5;PSMC1;PSMD7;PSMD12;PSMA7;PSME2;PSMD2;PSMA4;SEM1;PSMD14;PSMC3;PSME4;PSMB2;PSMA3;PSME1;PSME3;PSMA6;PSMB10;PSMD11","hsa03050","Proteasome",46,FALSE,FALSE
"A03","Global CNV top 15%; paper QC","global",0.15,"none",TRUE,1,1925,64,9847,348,"relapse_up","hsa04137 Mitophagy - animal",0.0177478522278695,0.100959093820832,0.352487857583619,0.352876495942728,1.46285482010244,81,"RELA;OPTN;TOMM40;MAPK9;RAB7A;E2F1;MTX1;TFE3;MUL1;UBA52;FUNDC1;TOMM70;SP1;MFN2;SMURF2;ATF4;UBC;RPS27A;AMFR;TOMM20;RRAS2;CCZ1;NRAS;CALCOCO2;PHB2;EIF2S1;CSNK2A1;CSNK2A2;FKBP8;BECN1;RAB5A;TAX1BP1;SAMM50;TBC1D15;RABGEF1;HRAS;BCL2L13;TRAF2;MAPK8;KRAS;PGAM5","hsa04137","Mitophagy - animal",105,FALSE,FALSE
"A04","Within-sample CNV top 20%; paper QC","within_sample",0.2,"none",TRUE,2,2568,143,11131,353,"relapse_up","hsa03050 Proteasome",0.00235725026366195,0.0251440028123941,0.431707695803346,0.486451826999224,1.74666032616933,45,"ADRM1;PSMB1;PSMA7;PSMB3;POMP;PSMC4;PSMB9;PSMD12;SEM1;PSMB7;PSMD7;PSME2;PSMD8;PSMD11;PSMC3;PSMA4;IFNG;PSMC1;PSMC5;PSMD6;PSMB2;PSMB8;PSME1;PSMD3;PSME3;PSMA2;PSMF1;PSMA3;PSMD1;PSMD2;PSME4;PSMB10","hsa03050","Proteasome",46,TRUE,TRUE
"A04","Within-sample CNV top 20%; paper QC","within_sample",0.2,"none",TRUE,2,2568,143,11131,353,"relapse_up","hsa04137 Mitophagy - animal",0.0112435649352443,0.059965679654636,0.380730400722792,0.369449860760125,1.49856142598824,89,"TFE3;OPTN;RELA;TOMM40;UBA52;MAPK9;BCL2L13;RPS27A;UBC;SMURF2;RRAS2;RAB7A;TOMM20;TOMM7;MTX1;RAB5C;MUL1;MAP1LC3B;MFN2;BNIP3;AMFR;ATF4;CCZ1B;FUNDC1;KRAS;FKBP8;RAB5A;CITED2;NRAS;UBB;PHB2;CALCOCO2","hsa04137","Mitophagy - animal",105,FALSE,TRUE
"A05","Within-sample CNV top 15%; paper QC","within_sample",0.15,"none",TRUE,2,1926,107,10483,353,"relapse_up","hsa03050 Proteasome",0.000333161389806044,0.00586364046058638,0.49849310876659,0.534800898730517,1.88948402848658,44,"ADRM1;POMP;PSMB1;PSMB9;PSMB3;PSMA7;PSMD12;PSMB7;PSMD7;PSMD8;PSMC3;PSME2;PSMC4;PSME1;SEM1;PSMC5;PSMA4;PSMB8;PSMC1;PSMD6;PSME3;PSMA3;PSMB10;PSMB2;PSMD3;PSMD11;PSMA2","hsa03050","Proteasome",46,TRUE,TRUE
"A05","Within-sample CNV top 15%; paper QC","within_sample",0.15,"none",TRUE,2,1926,107,10483,353,"relapse_up","hsa04137 Mitophagy - animal",0.00151046630881576,0.0151909754486614,0.45505986738723,0.416739193539157,1.68690391594021,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MAPK9;RAB5C;CCZ1;MUL1;MFN2;UBB;SMURF2;BECN1;MTX1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;ATF4;CSNK2A1;CITED2;E2F1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;TBC1D15;RABGEF1","hsa04137","Mitophagy - animal",105,TRUE,TRUE
"A06","Within-sample CNV top 25%; nFeature >=500","within_sample",0.25,"nf500",FALSE,2,3183,177,11611,355,"relapse_up","hsa03050 Proteasome",0.0093045392034424,0.0514657324690408,0.380730400722792,0.456012399310964,1.60852532438618,45,"ADRM1;PSMB1;POMP;PSMC4;IFNG;PSMB3;PSMA7;PSMB9;PSMD12;PSMB7;PSMD7;SEM1;PSMD11;PSMD8;PSME2;PSMC3;PSMC1;PSMA4;PSMB2;PSMF1;PSMC5;PSME4;PSMD1;PSMD6;PSME1;PSMD2;PSME3;PSMB10;PSMD3;PSMD14;PSMA6","hsa03050","Proteasome",46,FALSE,TRUE
"A06","Within-sample CNV top 25%; nFeature >=500","within_sample",0.25,"nf500",FALSE,2,3183,177,11611,355,"relapse_up","hsa04137 Mitophagy - animal",0.0162053778861213,0.0758624307683929,0.352487857583619,0.360729584145936,1.46194870146708,91,"OPTN;RELA;MTX3;TFE3;TOMM40;MAPK9;MUL1;UBA52;SMURF2;FUNDC1;UBC;BCL2L13;RPS27A;RRAS2;TOMM20;MTX1;ATF4;RAB7A;TOMM7;MFN2;BNIP3;MAP1LC3B;BECN1;AMFR;RAB5C;CITED2;MTX2;RAB5A;FKBP8;NRAS;PHB2;KRAS;FOXO3;CSNK2A2;CCZ1B;E2F1;OPA1","hsa04137","Mitophagy - animal",105,FALSE,TRUE
"A08","Within-sample CNV top 25%; mt <4%","within_sample",0.25,"mt4",FALSE,2,2433,118,11011,355,"relapse_up","hsa03050 Proteasome",0.0204924410015767,0.105135132095045,0.352487857583619,0.432748498878261,1.55177247460627,43,"ADRM1;PSMB1;POMP;PSMC4;PSMD12;PSMD7;PSMD11;SEM1;PSMD8;PSMB7;PSMB3;PSME2;PSMA7;PSMB9;PSMC3;PSMF1;PSMA4;PSMB2;PSME4","hsa03050","Proteasome",46,FALSE,FALSE
"A08","Within-sample CNV top 25%; mt <4%","within_sample",0.25,"mt4",FALSE,2,2433,118,11011,355,"relapse_up","hsa04137 Mitophagy - animal",0.0216071361984952,0.108534744375365,0.352487857583619,0.350465046687093,1.41751346236865,89,"TFE3;RELA;OPTN;SMURF2;TOMM40;MUL1;E2F1;MAPK9;MFN2;BNIP3;FUNDC1;UBA52;BCL2L13;ATF4;RRAS2;RAB7A;UBC;RPS27A;MTX1;TOMM20;NRAS;CCZ1B;MAP1LC3B;MTX2;RAB5A;FOXO3;OPA1;TBC1D15;FKBP8;TOMM7;EIF2S1;CSNK2A2;CITED2;BECN1;RAB5C;PHB2;HUWE1;KRAS","hsa04137","Mitophagy - animal",105,FALSE,FALSE
"A11","Within-sample CNV top 10%; paper QC","within_sample",0.1,"none",TRUE,2,1286,72,9505,346,"relapse_up","hsa03050 Proteasome",0.000352644556542866,0.0067590206670716,0.49849310876659,0.534426818194499,1.90833728915691,43,"ADRM1;POMP;PSMB1;PSMB3;PSMA4;PSMA7;PSMC4;PSMB7;PSMD12;PSMB9;PSMD7;PSMD8;PSMB8;PSME3;PSME1;SEM1;PSME2;PSMA3;PSMA2;PSMD6;PSMC5;PSMB2;PSMC3;PSMB10;PSME4","hsa03050","Proteasome",46,TRUE,TRUE
"A11","Within-sample CNV top 10%; paper QC","within_sample",0.1,"none",TRUE,2,1286,72,9505,346,"relapse_up","hsa04137 Mitophagy - animal",0.0054878221843493,0.0540942472457288,0.407017918923954,0.399212025931045,1.60438823616457,79,"TFE3;RRAS2;RELA;OPTN;UBA52;BCL2L13;RPS27A;MTX1;TOMM7;UBC;MUL1;MAPK9;TOMM20;RAB7A;RAB5C;TOMM40;FKBP8;FUNDC1;MAP1LC3B;KRAS;AMFR;CSNK2B;RAB5A;UBB;SMURF2;RHOT2;CALCOCO2;GABARAPL2;TOMM70;PHB2;USP30;MFN2;CSNK2A2;E2F1;ATF4","hsa04137","Mitophagy - animal",105,FALSE,TRUE
"A12","Within-sample CNV top 30%; paper QC","within_sample",0.3,"none",TRUE,2,3851,214,12003,356,"relapse_up","hsa03050 Proteasome",0.00164014800991073,0.0181953919849472,0.45505986738723,0.498896015847969,1.78881933739795,45,"ADRM1;IFNG;PSMB1;POMP;PSMC4;PSMD11;PSMD7;PSMD12;SEM1;PSMB7;PSMA7;PSMB9;PSMB3;PSMC3;PSMD8;PSME2;PSMA4;PSMC1;PSMD2;PSME4;PSMD1;PSME3;PSMB2;PSMD6;PSMC5;PSMF1;PSMA6;PSMD14","hsa03050","Proteasome",46,TRUE,TRUE
"A12","Within-sample CNV top 30%; paper QC","within_sample",0.3,"none",TRUE,2,3851,214,12003,356,"relapse_up","hsa04137 Mitophagy - animal",0.0246366677495281,0.108660113483958,0.352487857583619,0.345641504713075,1.41618016976794,91,"RELA;TOMM40;OPTN;TFE3;MTX3;MAPK9;FUNDC1;MTX1;UBA52;SMURF2;MUL1;MFN2;TOMM20;UBC;RPS27A;RRAS2;BCL2L13;ATF4;BECN1;TOMM7;AMFR;MTX2;BNIP3;CSNK2A2;RAB7A;CCZ1B;CITED2;KRAS;NRAS;MAP1LC3B;PHB2;RABGEF1;FKBP8;OPA1;TOMM70;EIF2S1;RAB5A;RAB5C;CSNK2A1;USP30","hsa04137","Mitophagy - animal",105,FALSE,FALSE
"A13","Within-sample CNV top 40%; paper QC","within_sample",0.4,"none",TRUE,2,5133,285,12587,356,"relapse_up","hsa03050 Proteasome",0.000594812108610913,0.00754136780560264,0.477270815362862,0.532575902464085,1.83768774648763,45,"ADRM1;IFNG;PSMB1;POMP;PSMD11;PSMC4;PSMD12;SEM1;PSMA7;PSMB9;PSMB7;PSMD7;PSMD8;PSME4;PSMD14;PSME2;PSMA6;PSMC3;PSMB3;PSMC5;PSMA4;PSMB2;PSME3;PSMD2;PSMC1;PSMD6;PSMF1;PSMD1","hsa03050","Proteasome",46,TRUE,TRUE
