"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm"
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00052 Galactose metabolism",0.918163672654691,0.935907780979827,0.0494904866135495,-0.215951819518326,-0.645751367460333,20,"HKDC1;UGP2;GALT;PFKM;LCT","hsa00052","Galactose metabolism",32,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00053 Ascorbate and aldarate metabolism",0.636916835699797,0.764733479598736,0.0675188953767744,-0.414666706696409,-0.875639330056748,6,"ALDH2","hsa00053","Ascorbate and aldarate metabolism",31,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00061 Fatty acid biosynthesis",0.0767716535433071,0.237722751761293,0.227987202850442,-0.513448920144323,-1.44894952063153,15,"ACACB;ACSBG1;CBR4;OXSM;ACSF3;ACSL1;ACSL3;ACSL6","hsa00061","Fatty acid biosynthesis",18,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00062 Fatty acid elongation",0.0729783037475345,0.234975275770255,0.234392647294686,0.46307836475728,1.43015034159719,21,"ACAA2;ACOT7;HACD3","hsa00062","Fatty acid elongation",28,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00071 Fatty acid degradation",0.892857142857143,0.915062820840069,0.0480220415968251,-0.210758277586648,-0.706396709990026,31,"ALDH2;ACSBG1;ACADVL","hsa00071","Fatty acid degradation",43,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00100 Steroid biosynthesis",0.691056910569106,0.802444373127942,0.0636424081651019,0.293023315657309,0.832827663399645,16,"EBP;SOAT1;CYP51A1;SQLE;DHCR7;DHCR24","hsa00100","Steroid biosynthesis",20,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00120 Primary bile acid biosynthesis",0.791164658634538,0.861590392729633,0.0566484183613995,0.356941298190489,0.725966002130272,5,"ACOT8;SCP2","hsa00120","Primary bile acid biosynthesis",17,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.679513184584179,0.791644073129423,0.0643583367917361,-0.354591662687008,-0.833905576111048,8,"COQ5;COQ4;COQ6;COQ7","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",12,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00140 Steroid hormone biosynthesis",0.632093933463796,0.764119998406396,0.066132620475844,0.336010160632592,0.867653043804182,11,"AKR1C1;SRD5A3;HSD17B12;COMT;DHRS11;AKR1C3","hsa00140","Steroid hormone biosynthesis",66,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",1.55963652269909e-05,0.00168353396409522,0.575610261071129,0.447248900219025,1.94058599087587,103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ATP5PF;PPA2;COX4I1;ATP6V0A4;ATP6V0D1;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP6V1G1;ATP5PB;NDUFA8;NDUFB11;COX15;ATP5ME;LHPP;NDUFA1;ATP6V0B;COX7A2","hsa00190","Oxidative phosphorylation",138,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR 0.10-0.20","hsa00220 Arginine biosynthesis",0.0404665609166432,0.183137128250962,0.321775918075361,0.671823555670818,1.56646487708358,8,"ACY1;CAD;GOT2;GLUD1","hsa00220","Arginine biosynthesis",23,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00230 Purine metabolism",0.24507658643326,0.450583515681984,0.128788713061714,0.284919885167136,1.13041018850245,70,"NME1;PAICS;HPRT1;PPAT;AMPD2;NME2;NT5E;GART;HDDC2;IMPDH1;ADCY7;ADSL;NUDT9;GUCY1B1;PRPS1;PDE4B;PGM2;ADK;ATIC;PGM1;AK6;GUK1;PDE6G","hsa00230","Purine metabolism",128,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00240 Pyrimidine metabolism",0.326359832635983,0.518941535677937,0.106323255932708,0.293756079166274,1.09040751777269,45,"CTPS1;NME1;TYMS;NME2;NT5E;UPP1;CAD;DCTD;UCK2;HDDC2;DCTPP1;NT5C3A;DTYMK;DUT;CMPK2","hsa00240","Pyrimidine metabolism",59,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR 0.05-0.10","hsa00250 Alanine, aspartate and glutamate metabolism",0.0141746775863874,0.0944087016602781,0.380730400722792,0.608767989401791,1.66470784516846,14,"PPAT;CAD;GOT2;ALDH5A1;GLUD1;ADSL;GFPT1;GLS","hsa00250","Alanine, aspartate and glutamate metabolism",37,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00260 Glycine, serine and threonine metabolism",0.49498997995992,0.685221423238634,0.0797705918628453,0.337095601020195,0.984639101120881,17,"PGAM1;GCSH","hsa00260","Glycine, serine and threonine metabolism",40,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR >= 0.20","hsa00270 Cysteine and methionine metabolism",0.0685224839400428,0.232581123373415,0.252961123069611,0.39415151753907,1.37194144733972,35,"LDHA;SRM;GCLM;SMS;CISD1;MDH2;GOT2;LDHB;AHCY;PHGDH","hsa00270","Cysteine and methionine metabolism",53,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa00280 Valine, leucine and isoleucine degradation",0.516377649325626,0.696064027219301,0.0755015292281669,-0.278400955700738,-0.962468451177033,38,"ALDH2;AACS;ACAD8;HMGCL;HIBCH;ACSF3;BCKDHA;BCKDHB","hsa00280","Valine, leucine and isoleucine degradation",48,,,,
