"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm"
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR < 0.05","hsa05012 Parkinson disease",1.28202777349308e-07,4.52555804043056e-05,0.690132458796796,0.410018923961452,1.94032690804444,202,"COX5A;ADRM1;NDUFC2;ATP5F1B;SLC18A2;TUBA1C;UQCRHL;MAPK9;NDUFA6;NDUFAB1;NDUFA9;SLC39A4;NDUFA12;CALM1;PSMB1;VDAC1;CYC1;SLC39A3;BAX;SLC25A5;UQCRH;KEAP1;PSMC5;HTRA2;ATF4;GNAS;COX6A1;UBE2L6;COX7A2L;COX8A;PSMD8;COX6C;NDUFV2;PSMA7;TUBA1B;ATP5PF;COX4I1;SLC39A8;PSMD11;TXN2;SLC39A6;SLC25A6;VDAC2;PARK7;SLC39A13;PSMD12;ATP5MC1;KIF5B;NDUFB7;UBE2J2;UBA52;PSMC3;PSMB3;MFN2;PSMB7;NDUFB6;UBC;ATP5F1C;CALM3;NDUFB9;GNAI2;ATP5MC3;ATP5F1A;TUBA4A;NDUFS3;PPIF;TUBB4A;COX7B;ITPR3;EIF2S1;SEM1;SDHB;PSMD2;PSMD7;RPS27A;ATP5F1E;TUBB2A;UBE2L3;NDUFB2;NDUFS8;PSMC4;SOD1;SLC39A7;DUSP1;UQCR11;ATP5PB;PSMA4;NDUFA8;NDUFB11;XBP1;TUBB4B;NDUFA1;UBE2J1;COX7A2;CALM2;PSMA8;PRKACA;PSMC1;PSMB2","hsa05012","Parkinson disease",268,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR < 0.05","hsa03010 Ribosome",7.35405147976003e-06,0.00129799008617765,0.610526878385931,0.395699627022543,1.81898817570886,169,"MRPL15;MRPS2;RPL39L;MRPS18A;MRPL37;MRPS7;MRPS6;MRPL1;RPL26L1;MRPL33;MRPL36;AURKAIP1;RPL30;MRPL24;RPS16;RPL8;RPLP1;RPL23A;MRPL20;MRPL54;MRPL27;RPS6;RPLP2;UBA52;MRPL11;RPS13;MRPL47;MRPL58;RPL4;RPL7;RPS7;MRPL3;MRPL49;RPL21;RPS17;RPL37;MRPL14;MRPS30;RPL18A;RPLP0;MRPL51;RPS27A;RPS28;RPL38;RPS27L;RPS20;RPS15A;MRPS23;RPL19;MRPS35;RPS25;MRPL21;RPL27A;RPS27;RPS21;RPS24;RPL14;RPL36;RPS4X;MRPL40;RPS3A;RPL23;RPS29;RPL5;RPL3;RPS3;RPS19;RPL13A;RPS2;RPL22;RPL35;RPL27;RSL24D1;RPL39;RPL11;RPL36A;MRPL41;RPS14;RPL35A;MRPS28;RPL9;RPL24;MRPL12;RPS12;RPL37A;RPL18;RPL15;MRPL2;MRPL17;RPL10A;RPS23;MRPL39;RPL32;RPL17;RPL12","hsa03010","Ribosome",213,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",1.55963652269909e-05,0.00168353396409522,0.575610261071129,0.447248900219025,1.94058599087587,103,"COX5A;NDUFC2;ATP5F1B;UQCRHL;NDUFA6;NDUFAB1;NDUFA9;NDUFA12;PPA1;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;ATP5PF;PPA2;COX4I1;ATP6V0A4;ATP6V0D1;ATP5MC1;ATP6V0C;NDUFB7;ATP6V1A;NDUFB6;ATP5F1C;ATP5MG;NDUFB9;ATP5MC3;ATP5F1A;ATP6V0E1;NDUFS3;COX7B;SDHB;COX17;ATP5F1E;NDUFB2;NDUFS8;UQCR11;ATP6V1G1;ATP5PB;NDUFA8;NDUFB11;COX15;ATP5ME;LHPP;NDUFA1;ATP6V0B;COX7A2","hsa00190","Oxidative phosphorylation",138,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR 0.05-0.10","hsa04630 JAK-STAT signaling pathway",0.0134375906741545,0.0930092060387557,0.380730400722792,0.370048894625172,1.51584761499378,80,"MYC;OSM;STAT5A;IL27RA;IL4R;PIM1;IFNGR2;SOCS6;STAT3;IL4;PTPN6;IL21R;JAK3;PIK3R3;GRB2;IL2RA;AKT1","hsa04630","JAK-STAT signaling pathway",168,,,,
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR 0.10-0.20","hsa03050 Proteasome",0.0181870601426723,0.108814105599378,0.352487857583619,0.415826014095646,1.52779981316517,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2","hsa03050","Proteasome",46,0.0181870601426723,0.031678194138087,0.0363741202853446,0.063356388276174
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_up","FDR 0.05-0.10","hsa04137 Mitophagy - animal",0.0158390970690435,0.0998428797387919,0.352487857583619,0.341306709259687,1.44241575371799,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1","hsa04137","Mitophagy - animal",105,0.0181870601426723,0.031678194138087,0.0363741202853446,0.063356388276174
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa04136 Autophagy - other",0.116541353383459,0.299392911347201,0.178219874951973,-0.400190963787103,-1.3362951295557,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8","hsa04136","Autophagy - other",32,,,0.155388471177945,0.233082706766918
"primary","Primary","Primary: global CNV top 25%",TRUE,3,3207,140,10950,"relapse_down","FDR >= 0.20","hsa04140 Autophagy - animal",0.617647058823529,0.754427030327702,0.0673623868166279,-0.205016546442848,-0.930497218533958,149,"SMCR8;DDIT4;ATG9B;AKT3;RAB33B;PIK3C3;STX7;GABARAP;EPG5;UVRAG;EIF2AK4;TSC1;PRKCD;VPS39;GABARAPL1;ATG10;ITPR1;RRAGB;PRKCQ;ERN1;RRAGA;TRAF6;LAMP2;AMBRA1;VPS11;MTMR4;MAPK10;VPS33A;C9orf72;PIK3R4;PTEN;DAPK1;TSC2;RAB39B;BAD;ATG5;ATG14;AKT1S1;ATG16L2;ATG2B;STX17;WDR45","hsa04140","Autophagy - animal",169,,,0.617647058823529,0.617647058823529
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR < 0.05","hsa05012 Parkinson disease",2.87663391137166e-09,9.98191967245966e-07,0.774939030136436,0.43753349364685,2.07588116325181,195,"COX5A;ATP5F1B;BAX;UQCRHL;NDUFAB1;SLC39A4;MAPK9;VDAC1;NDUFA12;CALM1;TUBA1B;NDUFA6;NDUFC2;UBE2J2;TUBA1C;COX6C;SLC25A5;COX6A1;ADRM1;TUBA4A;COX8A;PSMC5;CALM3;ATP5PB;GNAS;VDAC2;PSMB1;ATP5PF;ATP5F1A;ATP5MC1;ATP5F1C;KIF5B;COX7A2L;UQCRH;COX7B;GNAI2;CYC1;NDUFA9;TXN2;NDUFB7;UBA52;NDUFS3;SLC25A6;PSMB3;TUBB;PSMD8;ATP5MC3;COX4I1;SLC39A6;MFN2;PSMB7;SLC39A8;ATF4;PSMB5;KEAP1;PSMD7;UBC;PSMD12;PSMC1;NDUFB11;RPS27A;NDUFV2;PSMA7;COX7A2;PARK7;PPIF;UQCR11;SDHC;PSMD2;PRKACB;NDUFA8;PSMA4;NDUFA2;SEM1;TUBB4B;SOD1;NDUFB9;PSMD14","hsa05012","Parkinson disease",268,,,,
"cnv_top15","CNV cutoff","CNV top 15%",FALSE,3,1925,64,9847,"relapse_up","FDR < 0.05","hsa03010 Ribosome",8.64306344865198e-08,9.99714338894079e-06,0.704975715167238,0.438167088272486,2.03828498813313,167,"MRPL15;MRPS18A;RPL26L1;MRPS23;AURKAIP1;MRPS2;RPLP1;MRPL37;RPL30;MRPL33;RPL8;RPS16;RPL39L;MRPS6;UBA52;RPL7;MRPL36;MRPL13;RPS13;MRPL55;RPL4;RPS6;RPS7;RPLP0;MRPS30;MRPL54;RPL21;RPL23A;MRPL14;RPLP2;RPS27A;MRPS7;RPL18A;RPS28;RPS27L;RPL5;MRPS27;MRPL2;MRPS26;MRPL50;MRPL27;RPS4X;MRPL3;RPS25;RPS3A;RPS15A;RPL19;RPL39;RPL23;RPS24;MRPL47;RPL37;MRPL40;RPL3;RPL14;MRPL58;RPS3;RPS17;MRPL11;MRPL20;RSL24D1;RPL9;MRPL51;RPS20;RPL18;RPL38;RPL11;RPS14;MRPL21;MRPL10;RPS27;RPL27;RPL35A;RPS21;MRPL19;RPS9;RPS2;MRPL45;MRPL49;RPS19;RPL24;RPL22L1;RPL15;RPL36A;RPL22;GADD45GIP1;RPSA;RPL27A;MRPL1;FAU;RPL12;RPL32;RPS29;RPL7A;RPS12;RPL34;RPL37A;RPL35;RPL10A;RPS23;RPL17;RPL13A","hsa03010","Ribosome",213,,,,
