"case_id","axis","case_label","sample_id","patient_pair","condition_simple","n_cells"
"primary","Primary","Primary: global CNV top 25%","M104","P1","diagnosis",140
"primary","Primary","Primary: global CNV top 25%","M127","P1","relapse",971
"primary","Primary","Primary: global CNV top 25%","M143","P2","diagnosis",712
"primary","Primary","Primary: global CNV top 25%","M148","P2","relapse",269
"primary","Primary","Primary: global CNV top 25%","M187","P3","diagnosis",456
"primary","Primary","Primary: global CNV top 25%","M187r","P3","relapse",659
"cnv_top15","CNV cutoff","CNV top 15%","M104","P1","diagnosis",64
"cnv_top15","CNV cutoff","CNV top 15%","M127","P1","relapse",643
"cnv_top15","CNV cutoff","CNV top 15%","M143","P2","diagnosis",431
"cnv_top15","CNV cutoff","CNV top 15%","M148","P2","relapse",137
"cnv_top15","CNV cutoff","CNV top 15%","M187","P3","diagnosis",343
"cnv_top15","CNV cutoff","CNV top 15%","M187r","P3","relapse",307
"cnv_top20","CNV cutoff","CNV top 20%","M104","P1","diagnosis",93
"cnv_top20","CNV cutoff","CNV top 20%","M127","P1","relapse",811
"cnv_top20","CNV cutoff","CNV top 20%","M143","P2","diagnosis",574
"cnv_top20","CNV cutoff","CNV top 20%","M148","P2","relapse",205
"cnv_top20","CNV cutoff","CNV top 20%","M187","P3","diagnosis",401
"cnv_top20","CNV cutoff","CNV top 20%","M187r","P3","relapse",482
"cnv_top30","CNV cutoff","CNV top 30%","M104","P1","diagnosis",194
"cnv_top30","CNV cutoff","CNV top 30%","M127","P1","relapse",1122
"cnv_top30","CNV cutoff","CNV top 30%","M143","P2","diagnosis",888
"cnv_top30","CNV cutoff","CNV top 30%","M148","P2","relapse",323
"cnv_top30","CNV cutoff","CNV top 30%","M187","P3","diagnosis",494
"cnv_top30","CNV cutoff","CNV top 30%","M187r","P3","relapse",828
"cnv_top40","CNV cutoff","CNV top 40%","M104","P1","diagnosis",336
"cnv_top40","CNV cutoff","CNV top 40%","M127","P1","relapse",1421
"cnv_top40","CNV cutoff","CNV top 40%","M143","P2","diagnosis",1211
"cnv_top40","CNV cutoff","CNV top 40%","M148","P2","relapse",462
"cnv_top40","CNV cutoff","CNV top 40%","M187","P3","diagnosis",564
"cnv_top40","CNV cutoff","CNV top 40%","M187r","P3","relapse",1137
"cnv_top50","CNV cutoff","CNV top 50%","M104","P1","diagnosis",528
"cnv_top50","CNV cutoff","CNV top 50%","M127","P1","relapse",1719
