"case_id","axis","case_label","selection_mode","top_fraction","qc_rule","rank_metric","gene_filter","robust","norm_method","leave_out","n_patients","n_samples","n_cells_total","min_cells_per_sample","median_cells_per_sample","valid","invalid_reason"
"primary","Primary","Primary: global CNV top 25%","global",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"cnv_top15","CNV cutoff","CNV top 15%","global",0.15,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,1925,64,325,TRUE,
"cnv_top20","CNV cutoff","CNV top 20%","global",0.2,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,2566,93,441.5,TRUE,
"cnv_top30","CNV cutoff","CNV top 30%","global",0.3,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3849,194,661,TRUE,
"cnv_top40","CNV cutoff","CNV top 40%","global",0.4,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,5131,336,850.5,TRUE,
"cnv_top50","CNV cutoff","CNV top 50%","global",0.5,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,6414,528,1026,TRUE,
"cnv_sample_top25","CNV cutoff","Top 25% within each sample","within_sample",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3210,179,534,TRUE,
"qc_mt4","QC","Mitochondrial RNA < 4%","global",0.25,"mt4","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,2485,99,409.5,TRUE,
"qc_mt3","QC","Mitochondrial RNA < 3%","global",0.25,"mt3","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,1455,53,205,TRUE,
"qc_nf500","QC","Features >= 500","global",0.25,"nf500","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3180,139,556,TRUE,
"qc_nf1000","QC","Features >= 1,000","global",0.25,"nf1000","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,2937,125,487.5,TRUE,
"qc_nf1500","QC","Features >= 1,500","global",0.25,"nf1500","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,1961,98,253.5,TRUE,
"qc_upper99","QC","Remove top 1% feature counts/sample","global",0.25,"nf_upper99","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3206,140,557,TRUE,
"qc_upper95","QC","Remove top 5% feature counts/sample","global",0.25,"nf_upper95","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,3199,140,555.5,TRUE,
"qc_combined","QC","Combined strict QC","global",0.25,"strict_combo","signed_sqrt_F","filterByExpr",TRUE,"TMM","",3,6,2461,98,407.5,TRUE,
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","global",0.25,"original","signed_sqrt_F","cpm05_n2",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","global",0.25,"original","signed_sqrt_F","cpm1_n2",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","global",0.25,"original","signed_sqrt_F","cpm1_n3",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"model_nonrobust","Model","Non-robust dispersion","global",0.25,"original","signed_sqrt_F","filterByExpr",FALSE,"TMM","",3,6,3207,140,557.5,TRUE,
"model_tmmwsp","Model","TMMwsp normalization","global",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMMwsp","",3,6,3207,140,557.5,TRUE,
"rank_logfc","GSEA ranking","Rank by signed log2FC","global",0.25,"original","logFC","filterByExpr",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","global",0.25,"original","signed_neglog10_P","filterByExpr",TRUE,"TMM","",3,6,3207,140,557.5,TRUE,
"leaveout_p1","Patient influence","Leave out patient 1","global",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","P1",2,4,2096,269,557.5,TRUE,
"leaveout_p2","Patient influence","Leave out patient 2","global",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","P2",2,4,2226,140,557.5,TRUE,
"leaveout_p3","Patient influence","Leave out patient 3","global",0.25,"original","signed_sqrt_F","filterByExpr",TRUE,"TMM","P3",2,4,2092,140,490.5,TRUE,
