"compartment","patient_pair","sample_id","condition_simple","n_cells"
"broad_T_lineage_candidate_malignant","P1","M104","diagnosis",2889
"broad_T_lineage_candidate_malignant","P1","M127","relapse",2991
"broad_T_lineage_candidate_malignant","P2","M143","diagnosis",2279
"broad_T_lineage_candidate_malignant","P2","M148","relapse",1965
"broad_T_lineage_candidate_malignant","P3","M187","diagnosis",713
"broad_T_lineage_candidate_malignant","P3","M187r","relapse",1991
"CNV_high_top50_candidate","P1","M104","diagnosis",528
"CNV_high_top50_candidate","P1","M127","relapse",1719
"CNV_high_top50_candidate","P2","M143","diagnosis",1522
"CNV_high_top50_candidate","P2","M148","relapse",635
"CNV_high_top50_candidate","P3","M187","diagnosis",593
"CNV_high_top50_candidate","P3","M187r","relapse",1417
"CNV_high_top25_candidate","P1","M104","diagnosis",140
"CNV_high_top25_candidate","P1","M127","relapse",971
"CNV_high_top25_candidate","P2","M143","diagnosis",712
"CNV_high_top25_candidate","P2","M148","relapse",269
"CNV_high_top25_candidate","P3","M187","diagnosis",456
"CNV_high_top25_candidate","P3","M187r","relapse",659
"Immature_HSC_like_TALL","P1","M104","diagnosis",0
"Immature_HSC_like_TALL","P1","M127","relapse",0
"Immature_HSC_like_TALL","P2","M143","diagnosis",10
"Immature_HSC_like_TALL","P2","M148","relapse",1155
"Immature_HSC_like_TALL","P3","M187","diagnosis",395
"Immature_HSC_like_TALL","P3","M187r","relapse",782
"Cycling_TALL_blast_like","P1","M104","diagnosis",2783
"Cycling_TALL_blast_like","P1","M127","relapse",2636
"Cycling_TALL_blast_like","P2","M143","diagnosis",66
"Cycling_TALL_blast_like","P2","M148","relapse",687
"Cycling_TALL_blast_like","P3","M187","diagnosis",127
"Cycling_TALL_blast_like","P3","M187r","relapse",1149
"Quiescent_CD44_high_TALL_like","P1","M104","diagnosis",106
"Quiescent_CD44_high_TALL_like","P1","M127","relapse",355
"Quiescent_CD44_high_TALL_like","P2","M143","diagnosis",2117
"Quiescent_CD44_high_TALL_like","P2","M148","relapse",117
"Quiescent_CD44_high_TALL_like","P3","M187","diagnosis",181
"Quiescent_CD44_high_TALL_like","P3","M187r","relapse",55
"ER_stress_TALL_like","P1","M104","diagnosis",0
"ER_stress_TALL_like","P1","M127","relapse",0
"ER_stress_TALL_like","P2","M143","diagnosis",86
"ER_stress_TALL_like","P2","M148","relapse",6
"ER_stress_TALL_like","P3","M187","diagnosis",10
"ER_stress_TALL_like","P3","M187r","relapse",5
"cluster_res0.6_0_Cycling_TALL_blast_like","P1","M104","diagnosis",1686
"cluster_res0.6_0_Cycling_TALL_blast_like","P1","M127","relapse",496
"cluster_res0.6_0_Cycling_TALL_blast_like","P2","M143","diagnosis",0
"cluster_res0.6_0_Cycling_TALL_blast_like","P2","M148","relapse",0
"cluster_res0.6_0_Cycling_TALL_blast_like","P3","M187","diagnosis",0
"cluster_res0.6_0_Cycling_TALL_blast_like","P3","M187r","relapse",0
"cluster_res0.6_1_Cycling_TALL_blast_like","P1","M104","diagnosis",2
"cluster_res0.6_1_Cycling_TALL_blast_like","P1","M127","relapse",2019
