"compartment","n_cells_total","n_samples_with_cells","min_cells_per_sample_observed","median_cells_per_sample_observed","valid_for_paired_pseudobulk","skip_reason"
"broad_T_lineage_candidate_malignant",12828,6,713,2135,TRUE,""
"CNV_high_top50_candidate",6414,6,528,1026,TRUE,""
"CNV_high_top25_candidate",3207,6,140,557.5,TRUE,""
"Immature_HSC_like_TALL",2342,4,0,202.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"Cycling_TALL_blast_like",7448,6,66,918,TRUE,""
"Quiescent_CD44_high_TALL_like",2931,6,55,149,TRUE,""
"ER_stress_TALL_like",107,4,0,5.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_0_Cycling_TALL_blast_like",2182,2,0,0,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_1_Cycling_TALL_blast_like",2021,2,0,0,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_10_Immature_HSC_like_TALL",652,4,0,47.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_12_Quiescent_CD44_high_TALL_like",413,6,5,75.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_15_ER_stress_TALL_like",107,4,0,5.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_17_Cycling_TALL_blast_like",51,1,0,0,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_18_Cycling_TALL_blast_like",42,4,0,4,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_2_Quiescent_CD44_high_TALL_like",1853,2,0,0,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_3_Immature_HSC_like_TALL",989,3,0,0.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_4_Cycling_TALL_blast_like",901,5,0,117,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_5_Cycling_TALL_blast_like",860,2,0,0,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_6_Immature_HSC_like_TALL",701,3,0,0.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_7_Cycling_TALL_blast_like",696,6,10,53,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_8_Cycling_TALL_blast_like",695,6,5,40,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
"cluster_res0.6_9_Quiescent_CD44_high_TALL_like",665,6,11,102.5,FALSE,"requires_all_6_paired_samples_with_at_least_20_cells"
