"compartment","gene_set_source","gene_set_id","pathway_name","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"CNV_high_top25_candidate","GO_BP","GO:0061734","type 2 mitophagy","GO:0061734 type 2 mitophagy",15,"ATP5IF1;CDC37;HDAC6;HK2;HTRA2;HUWE1;MFN2;MUL1;OPTN;PINK1;PRKN;TIMM23;TOMM7;VDAC1;VPS13C",13,15,TRUE,"",0.258964143426295,0.610208122900337,0.118287526124085,0.443614334665697,1.17241922880477,13,"OPTN;VDAC1;MUL1;HTRA2;MFN2;VPS13C;HUWE1;CDC37","relapse_up"
"CNV_high_top25_candidate","GO_BP","GO:1901526","positive regulation of mitophagy","GO:1901526 positive regulation of mitophagy",22,"AMBRA1;ATP5IF1;CDC37;DELE1;EIF2AK1;FBXO7;HIF1A;HK2;HTT;HUWE1;IRGM;MUL1;NOD2;PINK1;PRKN;SLC25A4;SLC25A5;STUB1;TOMM7;UBE2A;VDAC1;VPS13D",17,22,TRUE,"",0.351738241308793,0.685564555750117,0.10027910675413,0.374941294933584,1.06709446845079,17,"VDAC1;SLC25A5;MUL1;UBE2A;HUWE1;CDC37;FBXO7","relapse_up"
"CNV_high_top25_candidate","GO_BP","GO:1901524","regulation of mitophagy","GO:1901524 regulation of mitophagy",42,"AMBRA1;ATP5IF1;BNIP3L;CDC37;CSNK2A2;CTTN;DELE1;DNM1L;EIF2AK1;FBXO7;FBXW7;FKBP8;FZD5;GSK3A;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;MUL1;NOD2;PARL;PINK1;PRKN;RNF41;SLC25A4;SLC25A5;SREBF1;SREBF2;STUB1;TIGAR;TOMM7;TP53;TSC2;TSPO;UBE2A;USP30;USP36;VDAC1;VPS13C;VPS13D",35,42,TRUE,"",0.81947261663286,0.950211834483155,0.0554793308704233,0.230338364791204,0.790527494459235,35,"VDAC1;SLC25A5;MUL1;HTRA2;USP36;UBE2A;CSNK2A2;PARL;TIGAR;VPS13C;HUWE1;CDC37","relapse_up"
"CNV_high_top25_candidate","GO_BP","GO:0000423","mitophagy","GO:0000423 mitophagy",87,"ABI2;AMBRA1;ARFIP2;ARHGAP26;ATG10;ATG13;ATG14;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;ATP5IF1;BECN1;BNIP3;BNIP3L;CDC37;CLEC16A;CSNK2A2;CTSK;CTTN;DELE1;DNM1L;EIF2AK1;EIF2S1;FBXO7;FBXW7;FKBP8;FUNDC1;FZD5;GABARAP;GABARAPL1;GABARAPL2;GSK3A;HDAC6;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;LRBA;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MFN2;MUL1;NIPSNAP1;NIPSNAP2;NIPSNAP3A;NIPSNAP3B;NOD2;OGT;OPTN;PARL;PHB2;PINK1;PRKN;RETREG1;RNF41;SLC25A4;SLC25A5;SNX30;SNX7;SPATA33;SQSTM1;SREBF1;SREBF2;STUB1;TIGAR;TIMM23;TOMM7;TP53;TSC2;TSPO;UBE2A;ULK1;ULK2;ULK3;USP30;USP36;VDAC1;VPS13C;VPS13D",77,87,TRUE,"",0.851637764932563,0.960990941024219,0.0513223330421143,-0.197980071393415,-0.794666565043223,77,"CLEC16A;ARHGAP26;TSPO;ATG9B;HDAC6;SREBF1;GABARAP;ABI2;GABARAPL1;ATG10","relapse_down"
"CNV_high_top50_candidate","GO_BP","GO:0061734","type 2 mitophagy","GO:0061734 type 2 mitophagy",15,"ATP5IF1;CDC37;HDAC6;HK2;HTRA2;HUWE1;MFN2;MUL1;OPTN;PINK1;PRKN;TIMM23;TOMM7;VDAC1;VPS13C",14,15,TRUE,"",0.293279022403259,0.663415118302655,0.11146266692298,0.421850671675371,1.13880963836324,14,"VDAC1;OPTN;MUL1;VPS13C;HUWE1;TIMM23;MFN2;TOMM7","relapse_up"
"CNV_high_top50_candidate","GO_BP","GO:1901526","positive regulation of mitophagy","GO:1901526 positive regulation of mitophagy",22,"AMBRA1;ATP5IF1;CDC37;DELE1;EIF2AK1;FBXO7;HIF1A;HK2;HTT;HUWE1;IRGM;MUL1;NOD2;PINK1;PRKN;SLC25A4;SLC25A5;STUB1;TOMM7;UBE2A;VDAC1;VPS13D",20,22,TRUE,"",0.434689507494647,0.751227191423931,0.0905428948469474,0.341908116143855,1.02543436437198,20,"VDAC1;MUL1;UBE2A;SLC25A5;HUWE1;SLC25A4;TOMM7;FBXO7;HIF1A;EIF2AK1;CDC37","relapse_up"
"CNV_high_top50_candidate","GO_BP","GO:1905089","regulation of type 2 mitophagy","GO:1905089 regulation of type 2 mitophagy",11,"ATP5IF1;CDC37;HK2;HTRA2;HUWE1;MUL1;PINK1;PRKN;TOMM7;VDAC1;VPS13C",10,11,TRUE,"",0.466531440162272,0.768800188581542,0.0835990603684159,0.409339120755208,0.996753995336402,10,"VDAC1;MUL1;VPS13C;HUWE1;TOMM7","relapse_up"
"CNV_high_top50_candidate","GO_BP","GO:1901524","regulation of mitophagy","GO:1901524 regulation of mitophagy",42,"AMBRA1;ATP5IF1;BNIP3L;CDC37;CSNK2A2;CTTN;DELE1;DNM1L;EIF2AK1;FBXO7;FBXW7;FKBP8;FZD5;GSK3A;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;MUL1;NOD2;PARL;PINK1;PRKN;RNF41;SLC25A4;SLC25A5;SREBF1;SREBF2;STUB1;TIGAR;TOMM7;TP53;TSC2;TSPO;UBE2A;USP30;USP36;VDAC1;VPS13C;VPS13D",38,42,TRUE,"",0.880478087649402,0.961421509728283,0.0513223330421143,0.209853401956452,0.730274400084087,38,"VDAC1;MUL1;UBE2A;USP36;SLC25A5;PARL;VPS13C;HUWE1;TIGAR;CSNK2A2;SLC25A4;TOMM7;FKBP8;FBXO7;HIF1A;EIF2AK1","relapse_up"
"CNV_high_top50_candidate","GO_BP","GO:0000423","mitophagy","GO:0000423 mitophagy",87,"ABI2;AMBRA1;ARFIP2;ARHGAP26;ATG10;ATG13;ATG14;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;ATP5IF1;BECN1;BNIP3;BNIP3L;CDC37;CLEC16A;CSNK2A2;CTSK;CTTN;DELE1;DNM1L;EIF2AK1;EIF2S1;FBXO7;FBXW7;FKBP8;FUNDC1;FZD5;GABARAP;GABARAPL1;GABARAPL2;GSK3A;HDAC6;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;LRBA;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MFN2;MUL1;NIPSNAP1;NIPSNAP2;NIPSNAP3A;NIPSNAP3B;NOD2;OGT;OPTN;PARL;PHB2;PINK1;PRKN;RETREG1;RNF41;SLC25A4;SLC25A5;SNX30;SNX7;SPATA33;SQSTM1;SREBF1;SREBF2;STUB1;TIGAR;TIMM23;TOMM7;TP53;TSC2;TSPO;UBE2A;ULK1;ULK2;ULK3;USP30;USP36;VDAC1;VPS13C;VPS13D",80,87,TRUE,"",0.910931174089069,0.974414988183261,0.0504983044100709,-0.190524237259469,-0.763867475003781,80,"SREBF1;GABARAP;ARHGAP26;TSPO;PINK1;CLEC16A;HDAC6;ATG9B;TSC2","relapse_down"
"Cycling_TALL_blast_like","GO_BP","GO:1905089","regulation of type 2 mitophagy","GO:1905089 regulation of type 2 mitophagy",11,"ATP5IF1;CDC37;HK2;HTRA2;HUWE1;MUL1;PINK1;PRKN;TOMM7;VDAC1;VPS13C",10,11,TRUE,"",0.178988326848249,0.450389090008973,0.143758989039275,0.512560532861923,1.27909788302091,10,"MUL1;VPS13C;HUWE1;TOMM7;VDAC1","relapse_up"
"Cycling_TALL_blast_like","GO_BP","GO:0061734","type 2 mitophagy","GO:0061734 type 2 mitophagy",15,"ATP5IF1;CDC37;HDAC6;HK2;HTRA2;HUWE1;MFN2;MUL1;OPTN;PINK1;PRKN;TIMM23;TOMM7;VDAC1;VPS13C",14,15,TRUE,"",0.216535433070866,0.488555658483866,0.130105630751129,0.44630969529188,1.20736300979386,14,"MUL1;OPTN;VPS13C;HUWE1;TOMM7;VDAC1","relapse_up"
"Cycling_TALL_blast_like","GO_BP","GO:0000423","mitophagy","GO:0000423 mitophagy",87,"ABI2;AMBRA1;ARFIP2;ARHGAP26;ATG10;ATG13;ATG14;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;ATP5IF1;BECN1;BNIP3;BNIP3L;CDC37;CLEC16A;CSNK2A2;CTSK;CTTN;DELE1;DNM1L;EIF2AK1;EIF2S1;FBXO7;FBXW7;FKBP8;FUNDC1;FZD5;GABARAP;GABARAPL1;GABARAPL2;GSK3A;HDAC6;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;LRBA;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MFN2;MUL1;NIPSNAP1;NIPSNAP2;NIPSNAP3A;NIPSNAP3B;NOD2;OGT;OPTN;PARL;PHB2;PINK1;PRKN;RETREG1;RNF41;SLC25A4;SLC25A5;SNX30;SNX7;SPATA33;SQSTM1;SREBF1;SREBF2;STUB1;TIGAR;TIMM23;TOMM7;TP53;TSC2;TSPO;UBE2A;ULK1;ULK2;ULK3;USP30;USP36;VDAC1;VPS13C;VPS13D",82,87,TRUE,"",0.643298969072165,0.819995639580154,0.0678338263479455,-0.219687716015825,-0.913118773274861,82,"GABARAP;ATG9B;TP53;SREBF1;SNX7;ATG10;TSPO;ATG4B;CLEC16A;SPATA33;ARHGAP26;TSC2;SLC25A5;HDAC6","relapse_down"
"Cycling_TALL_blast_like","GO_BP","GO:1901526","positive regulation of mitophagy","GO:1901526 positive regulation of mitophagy",22,"AMBRA1;ATP5IF1;CDC37;DELE1;EIF2AK1;FBXO7;HIF1A;HK2;HTT;HUWE1;IRGM;MUL1;NOD2;PINK1;PRKN;SLC25A4;SLC25A5;STUB1;TOMM7;UBE2A;VDAC1;VPS13D",20,22,TRUE,"",0.714836223506744,0.862371871674414,0.059476028695732,0.266887082649866,0.797878181730043,20,"MUL1;FBXO7;HUWE1;HIF1A;TOMM7;VDAC1;HTT","relapse_up"
"Cycling_TALL_blast_like","GO_BP","GO:1901524","regulation of mitophagy","GO:1901524 regulation of mitophagy",42,"AMBRA1;ATP5IF1;BNIP3L;CDC37;CSNK2A2;CTTN;DELE1;DNM1L;EIF2AK1;FBXO7;FBXW7;FKBP8;FZD5;GSK3A;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;MUL1;NOD2;PARL;PINK1;PRKN;RNF41;SLC25A4;SLC25A5;SREBF1;SREBF2;STUB1;TIGAR;TOMM7;TP53;TSC2;TSPO;UBE2A;USP30;USP36;VDAC1;VPS13C;VPS13D",39,42,TRUE,"",0.749027237354086,0.882757193371447,0.0577308549299813,0.232376570608225,0.824992204901294,39,"USP36;MUL1;RNF41;TIGAR;VPS13C;FBXO7;HUWE1;HIF1A;PARL;TOMM7;VDAC1;USP30","relapse_up"
"Quiescent_CD44_high_TALL_like","GO_BP","GO:0061734","type 2 mitophagy","GO:0061734 type 2 mitophagy",15,"ATP5IF1;CDC37;HDAC6;HK2;HTRA2;HUWE1;MFN2;MUL1;OPTN;PINK1;PRKN;TIMM23;TOMM7;VDAC1;VPS13C",12,15,TRUE,"",0.129740518962076,0.418959128023058,0.173747838999571,0.537239155129441,1.3559220684909,12,"TOMM7;VDAC1;OPTN","relapse_up"
"Quiescent_CD44_high_TALL_like","GO_BP","GO:1901526","positive regulation of mitophagy","GO:1901526 positive regulation of mitophagy",22,"AMBRA1;ATP5IF1;CDC37;DELE1;EIF2AK1;FBXO7;HIF1A;HK2;HTT;HUWE1;IRGM;MUL1;NOD2;PINK1;PRKN;SLC25A4;SLC25A5;STUB1;TOMM7;UBE2A;VDAC1;VPS13D",17,22,TRUE,"",0.375,0.674936921783011,0.0946646223153342,0.369717491485901,1.05919694140691,17,"TOMM7;VDAC1","relapse_up"
"Quiescent_CD44_high_TALL_like","GO_BP","GO:0000423","mitophagy","GO:0000423 mitophagy",87,"ABI2;AMBRA1;ARFIP2;ARHGAP26;ATG10;ATG13;ATG14;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;ATP5IF1;BECN1;BNIP3;BNIP3L;CDC37;CLEC16A;CSNK2A2;CTSK;CTTN;DELE1;DNM1L;EIF2AK1;EIF2S1;FBXO7;FBXW7;FKBP8;FUNDC1;FZD5;GABARAP;GABARAPL1;GABARAPL2;GSK3A;HDAC6;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;LRBA;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MFN2;MUL1;NIPSNAP1;NIPSNAP2;NIPSNAP3A;NIPSNAP3B;NOD2;OGT;OPTN;PARL;PHB2;PINK1;PRKN;RETREG1;RNF41;SLC25A4;SLC25A5;SNX30;SNX7;SPATA33;SQSTM1;SREBF1;SREBF2;STUB1;TIGAR;TIMM23;TOMM7;TP53;TSC2;TSPO;UBE2A;ULK1;ULK2;ULK3;USP30;USP36;VDAC1;VPS13C;VPS13D",69,87,TRUE,"",0.605263157894737,0.836463130703737,0.0662842187012672,-0.236390911537881,-0.931154838419512,69,"CLEC16A;ABI2;ULK1;NIPSNAP1;OGT;HDAC6;TSC2;ARHGAP26;NIPSNAP3A;ATG4D;RETREG1;BNIP3L;ATG10;AMBRA1;ATG9A;TSPO;LRBA;GSK3A;ATG7;SREBF1","relapse_down"
"Quiescent_CD44_high_TALL_like","GO_BP","GO:1901524","regulation of mitophagy","GO:1901524 regulation of mitophagy",42,"AMBRA1;ATP5IF1;BNIP3L;CDC37;CSNK2A2;CTTN;DELE1;DNM1L;EIF2AK1;FBXO7;FBXW7;FKBP8;FZD5;GSK3A;HIF1A;HK2;HTRA2;HTT;HUWE1;IRGM;MUL1;NOD2;PARL;PINK1;PRKN;RNF41;SLC25A4;SLC25A5;SREBF1;SREBF2;STUB1;TIGAR;TOMM7;TP53;TSC2;TSPO;UBE2A;USP30;USP36;VDAC1;VPS13C;VPS13D",34,42,TRUE,"",0.918067226890756,1,0.0518457624865066,0.202725403830137,0.691588554263566,34,"TOMM7;VDAC1;TIGAR;USP36;EIF2AK1;PARL;HIF1A;UBE2A","relapse_up"
"broad_T_lineage_candidate_malignant","GO_BP","GO:1905089","regulation of type 2 mitophagy","GO:1905089 regulation of type 2 mitophagy",11,"ATP5IF1;CDC37;HK2;HTRA2;HUWE1;MUL1;PINK1;PRKN;TOMM7;VDAC1;VPS13C",11,11,TRUE,"",0.168958742632613,0.572709990399349,0.149207542435322,0.531249448447366,1.31245186272416,11,"VDAC1;MUL1;VPS13C;HUWE1;TOMM7","relapse_up"
