"source","compartment","gene_set","tested","NES","padj","direction","leadingEdge","ranked_genes_n","note"
"GO_BP","CNV_high_top25_candidate","ATP synthesis coupled electron transport",TRUE,1.80766282595969,0.0158122840028856,"relapse_up","COX5A;NDUFC2;UQCRHL;DNAJC15;NDUFA6;BID;NDUFAB1;NDUFA9;NDUFA12;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;GHITM;CHCHD2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8",78,""
"GO_BP","CNV_high_top50_candidate","ATP synthesis coupled electron transport",TRUE,1.56348894293026,0.126130430671538,"relapse_up","BID;DNAJC15;COX5A;NDUFC2;UQCRHL;NDUFA6;UQCRH;NDUFAB1;NDUFV2;NDUFA12;CYC1;COX7A2L;COX6C;CHCHD2;NDUFB2;NDUFA4;NDUFA9;COX4I1;COX6A1;SDHB;NDUFB7;NDUFB9;NDUFS6;COX8A;UQCR11;COX7A2;NDUFS4;UQCRQ;ISCU;SDHAF2;GHITM",79,""
"GO_BP","Cycling_TALL_blast_like","ATP synthesis coupled electron transport",TRUE,-0.771348989089185,0.970056823369205,"relapse_down","CDK1;AFG1L;UQCRC1;NDUFB6;SNCA;COQ9;NDUFV1;CCNB1",79,""
"GO_BP","Quiescent_CD44_high_TALL_like","ATP synthesis coupled electron transport",TRUE,1.85250750392547,0.00335217289725618,"relapse_up","SDHB;NDUFB2;NDUFC2;NDUFB6;NDUFV2;ISCU;COX4I1;NDUFA6;NDUFAB1;NDUFA12;NDUFB9;NDUFB3;COX7A2;SDHC;CYC1;COX8A;NDUFA10;SDHD;NDUFA9;UQCRB;COX6C;UQCR11;CHCHD2;BID;NDUFA8;UQCR10;NDUFA4;NDUFB1;NDUFV3;NDUFA2;SDHA;PARK7;COX5B;COX7B;NDUFS5;DGUOK;UQCRHL;COX7C;NDUFC1;UQCRH;CYCS;UQCRQ",77,""
"GO_BP","broad_T_lineage_candidate_malignant","ATP synthesis coupled electron transport",TRUE,1.82910918884431,0.0416049959537795,"relapse_up","BID;DNAJC15;UQCRHL;UQCRH;NDUFC2;NDUFV2;NDUFA6;NDUFAB1;COX7A2L;COX5A;COX6C;CHCHD2;CYC1;COX4I1;SDHB;NDUFA12;NDUFA9;NDUFA4;NDUFS6;NDUFB7;COX6A1;UQCR11;NDUFB9;NDUFB2;COX7A2;UQCRQ;UQCC3;COX7C;SDHC;GHITM;NDUFB3;UQCRB;COX7B;NDUFS4;NDUFA8;COX8A;NDUFS3;PARK7",79,""
"GO_BP","CNV_high_top25_candidate","P450-containing electron transport chain",FALSE,NA,NA,"untested","",2,""
"GO_BP","CNV_high_top50_candidate","P450-containing electron transport chain",FALSE,NA,NA,"untested","",2,""
"GO_BP","Cycling_TALL_blast_like","P450-containing electron transport chain",FALSE,NA,NA,"untested","",2,""
"GO_BP","Quiescent_CD44_high_TALL_like","P450-containing electron transport chain",FALSE,NA,NA,"untested","",2,""
"GO_BP","broad_T_lineage_candidate_malignant","P450-containing electron transport chain",FALSE,NA,NA,"untested","",2,""
"GO_BP","CNV_high_top25_candidate","RNA import into mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","CNV_high_top50_candidate","RNA import into mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","Cycling_TALL_blast_like","RNA import into mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","Quiescent_CD44_high_TALL_like","RNA import into mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","broad_T_lineage_candidate_malignant","RNA import into mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","CNV_high_top25_candidate","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",TRUE,-0.672393905640939,0.989328004132849,"relapse_down","FBXL8;FBXL20;FBXO9;FBXL17;FBXO44;FBXW5;CUL5;BTRC;FBXL15;FBXW7;FBXO38;CCNF;FBXL12;KIF14",35,""
"GO_BP","CNV_high_top50_candidate","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",TRUE,-0.954639779175465,0.783898586314462,"relapse_down","FBXL8;FBXO48;FBXW5;FBXO9;FBXL20;FBXO38;BTRC;AMN1;FBXO44;FBXL12;CCNF;FBXO3;FBXL17;KIF14;FBXL6;FBXL13;FBXL18",37,""
"GO_BP","Cycling_TALL_blast_like","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",TRUE,0.637736921242385,0.990013296643131,"relapse_up","FBXO6;FBXO3;FBXL14;FBXO31;STYX;FBXL12;RBX1;FBXL3;CUL1;BTRC;FBXL8;FBXW11",38,""
"GO_BP","Quiescent_CD44_high_TALL_like","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",TRUE,0.644272595314507,1,"relapse_up","CUL1;FBXO6;RBX1",29,""
"GO_BP","broad_T_lineage_candidate_malignant","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",TRUE,-0.987778021233565,0.777431395003605,"relapse_down","FBXL8;FBXW5;FBXO48;FBXO9;FBXL12;FBXL20;FBXL16;FBXL13;FBXL3;KIF14;AMN1;CCNF;BTRC",38,""
"GO_BP","CNV_high_top25_candidate","actin ubiquitination",FALSE,NA,NA,"untested","",1,""
"GO_BP","CNV_high_top50_candidate","actin ubiquitination",FALSE,NA,NA,"untested","",1,""
"GO_BP","Cycling_TALL_blast_like","actin ubiquitination",FALSE,NA,NA,"untested","",1,""
"GO_BP","Quiescent_CD44_high_TALL_like","actin ubiquitination",FALSE,NA,NA,"untested","",0,""
"GO_BP","broad_T_lineage_candidate_malignant","actin ubiquitination",FALSE,NA,NA,"untested","",1,""
"GO_BP","CNV_high_top25_candidate","aerobic electron transport chain",TRUE,1.73680177325152,0.0293113973563989,"relapse_up","COX5A;NDUFC2;UQCRHL;DNAJC15;NDUFA6;NDUFAB1;NDUFA9;CYC1;UQCRH;NDUFA4;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;SDHAF2;PARK7;NDUFB7;NDUFB6;NDUFB9;ISCU;NDUFS3;COX7B;SDHB;NDUFB2;NDUFS8;UQCR11;NDUFA8",71,""
"GO_BP","CNV_high_top50_candidate","aerobic electron transport chain",TRUE,1.49468739163408,0.199153185804838,"relapse_up","DNAJC15;COX5A;NDUFC2;UQCRHL;NDUFA6;UQCRH;NDUFAB1;NDUFV2;CYC1;COX7A2L;COX6C;NDUFB2;NDUFA4;NDUFA9;COX4I1;COX6A1;SDHB;NDUFB7;NDUFB9;NDUFS6;COX8A;UQCR11;COX7A2;NDUFS4;UQCRQ;ISCU;SDHAF2;COX7B;PARK7;SDHC;NDUFB6;DLD;NDUFB3;UQCC3;NDUFS8;UQCRB;NDUFS5;NDUFS3",72,""
"GO_BP","Cycling_TALL_blast_like","aerobic electron transport chain",TRUE,-0.536965320849475,1,"relapse_down","AFG1L;UQCRC1;NDUFB6;SNCA;COQ9;NDUFV1",72,""
"GO_BP","Quiescent_CD44_high_TALL_like","aerobic electron transport chain",TRUE,1.86218110903661,0.00463086762402022,"relapse_up","SDHB;NDUFB2;NDUFC2;NDUFB6;NDUFV2;ISCU;COX4I1;NDUFA6;NDUFAB1;NDUFB9;NDUFB3;COX7A2;SDHC;CYC1;COX8A;NDUFA10;SDHD;NDUFA9;UQCRB;COX6C;UQCR11;NDUFA8;UQCR10;NDUFA4;NDUFB1;NDUFV3;NDUFA2;SDHA;PARK7;COX5B;COX7B;NDUFS5;UQCRHL;COX7C;NDUFC1;UQCRH;CYCS;UQCRQ;NDUFB5;PINK1;NDUFS4;DNAJC15;NDUFA5;COX6A1;NDUFS3",70,""
"GO_BP","broad_T_lineage_candidate_malignant","aerobic electron transport chain",TRUE,1.78874761028189,0.053009422172143,"relapse_up","DNAJC15;UQCRHL;UQCRH;NDUFC2;NDUFV2;NDUFA6;NDUFAB1;COX7A2L;COX5A;COX6C;CYC1;COX4I1;SDHB;NDUFA9;NDUFA4;NDUFS6;NDUFB7;COX6A1;UQCR11;NDUFB9;NDUFB2;COX7A2;UQCRQ;UQCC3;COX7C;SDHC;NDUFB3;UQCRB;COX7B;NDUFS4;NDUFA8;COX8A;NDUFS3;PARK7;NDUFS8;ISCU;NDUFV3;NDUFS5",72,""
"GO_BP","CNV_high_top25_candidate","anterograde axonal transport of mitochondrion",FALSE,NA,NA,"untested","",3,""
"GO_BP","CNV_high_top50_candidate","anterograde axonal transport of mitochondrion",FALSE,NA,NA,"untested","",3,""
"GO_BP","Cycling_TALL_blast_like","anterograde axonal transport of mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","Quiescent_CD44_high_TALL_like","anterograde axonal transport of mitochondrion",FALSE,NA,NA,"untested","",3,""
"GO_BP","broad_T_lineage_candidate_malignant","anterograde axonal transport of mitochondrion",FALSE,NA,NA,"untested","",4,""
"GO_BP","CNV_high_top25_candidate","apoptotic mitochondrial changes",TRUE,1.35197768045595,0.371502919522721,"relapse_up","ACAA2;HSPD1;HIP1R;GCLM;SOD2;BID;BAX;SLC25A5;IFI27L2;PRELID1;GGCT;TNFSF10;TIMM50;MUL1;BIK;AKT1;SIVA1;IFIT2;IER3;GHITM;SLC25A6;VDAC2;FXN;BLOC1S2;BBC3",76,""
"GO_BP","CNV_high_top50_candidate","apoptotic mitochondrial changes",TRUE,1.37109407414763,0.249093723630078,"relapse_up","ACAA2;BID;HSPD1;IFIT2;BIK;SOD2;TIMM50;TNFSF10;GCLM;BNIP3;PRELID1;HIP1R;SIVA1;MUL1;BAX;IER3;IFI27L2;BCL2;GGCT;BCL2A1;SLC25A6;SLC25A5;PARL;VDAC2;PSMD10;GCLC",83,""
"GO_BP","Cycling_TALL_blast_like","apoptotic mitochondrial changes",TRUE,1.11039463750457,0.543182906578268,"relapse_up","BIK;BCL2;ACAA2;BCL2A1;TNFSF10;MUL1;IFIT2;ATP2A1;BCL2L11;IFI27L2;IER3;HIP1R;BCL2L1;GCLM;PRELID1;SLC25A6;BBC3;BAK1;PPP2CB;TRIAP1;SOD2;PIM2;PARL;HRK;RTL10;AIFM2",86,""
"GO_BP","Quiescent_CD44_high_TALL_like","apoptotic mitochondrial changes",TRUE,1.66321163587552,0.0380013889014122,"relapse_up","ACAA2;BCL2A1;CHCHD10;TNFSF10;BCL2;PRELID1;THEM4;CDKN2A;FAM162A;FXN;HSPD1;SOD2;ATG3;BBC3;LMNA;JTB;BNIP3;BID;HIP1R;TIMM50;VDAC2;BAX;BAK1;PLSCR3;PARL;SLC25A6;SIVA1;PPIF;GCLM;BCL2L11",70,""
"GO_BP","broad_T_lineage_candidate_malignant","apoptotic mitochondrial changes",TRUE,1.55264843330543,0.161513458413249,"relapse_up","ACAA2;BIK;CLU;ATP2A1;TNFSF10;BID;BCL2A1;GCLM;SOD2;TIMM50;IFIT2;PRELID1;SLC25A6;SIVA1;HSPD1;MUL1;GGCT;SLC25A4;BCL2;IFI27L2;IER3;HIP1R;BAX;VDAC2;PARL;CDKN2A;BNIP3;PSMD10",89,""
"GO_BP","CNV_high_top25_candidate","apoptotic process in response to mitochondrial fragmentation",FALSE,NA,NA,"untested","",1,""
"GO_BP","CNV_high_top50_candidate","apoptotic process in response to mitochondrial fragmentation",FALSE,NA,NA,"untested","",1,""
"GO_BP","Cycling_TALL_blast_like","apoptotic process in response to mitochondrial fragmentation",FALSE,NA,NA,"untested","",1,""
"GO_BP","Quiescent_CD44_high_TALL_like","apoptotic process in response to mitochondrial fragmentation",FALSE,NA,NA,"untested","",1,""
