"analysis_population","target_set","gene"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","CISH"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","SOCS1"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","SOCS2"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","SOCS3"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","PIM1"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","PIM2"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","PIM3"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","BCL2"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","BCL2L1"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","MCL1"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","MYC"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","CCND2"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","IL2RA"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","IL2RB"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","IL7R"
"potential malignant T cells (CNV-high top 25%)","STAT5_canonical_feedback_survival","JAK3"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","CISH"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","SOCS2"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","SOCS3"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","IL2RA"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","IL2RB"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","IL7R"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","JAK3"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","PIM1"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","BCL2L1"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","MYC"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","CCND2"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","IRF4"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","BATF"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","PRDM1"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","FAS"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","TNFRSF4"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","TNFRSF18"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","CCR4"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","CD44"
"potential malignant T cells (CNV-high top 25%)","STAT5_T_cell_cytokine_program","SLC2A1"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","CISH"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","SOCS2"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","SOCS3"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","PIM1"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","PIM2"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","BCL2"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","BCL2L1"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","MCL1"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","MYC"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","CCND2"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","IL7R"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","JAK3"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","DUSP4"
"potential malignant T cells (CNV-high top 25%)","STAT5_leukemia_relevant_core","BCL6"
