"analysis_population","compartment","feature","metric","n_pairs","mean_diagnosis","mean_relapse","mean_delta","n_pairs_relapse_higher","wilcox_p","paired_t_p"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitophagy_core","mean_lognorm_module",3,0.208505702970198,0.232388216723204,0.0238825137530058,2,0.422678074170635,0.495350755989999
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitophagy_core","pct_cells_any_detected",3,97.4123276355683,99.3601213630563,1.94779372748801,3,0.18144920772142,0.0507880400756488
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitophagy_core","pseudobulk_mean_logCPM",3,4.92415293613973,4.87611374637301,-0.0480391897667222,1,0.789268026134281,0.875357594185231
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","autophagy_core","mean_lognorm_module",3,0.202661847929636,0.207240266824506,0.00457841889486958,2,0.789268026134281,0.873166655750819
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","autophagy_core","pct_cells_any_detected",3,96.4457022706579,98.4094596580076,1.96375738734972,3,0.18144920772142,0.173562314913979
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","autophagy_core","pseudobulk_mean_logCPM",3,5.0661612687359,4.86542544949776,-0.200735819238147,1,0.789268026134281,0.497686933915093
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","proteasome_core","mean_lognorm_module",3,0.345470946894667,0.383188834531781,0.0377178876371142,2,0.789268026134281,0.551021154352728
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","proteasome_core","pct_cells_any_detected",3,99.5991852289901,99.7730976509609,0.173912421970807,2,0.789268026134281,0.581210010384262
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","proteasome_core","pseudobulk_mean_logCPM",3,6.45985550107258,6.45476684108435,-0.0050886599882262,1,1,0.982788161308528
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_oxphos_core","mean_lognorm_module",3,0.875058676194955,0.975034648524623,0.099975972329668,3,0.18144920772142,0.21072284353429
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_oxphos_core","pct_cells_any_detected",3,100,100,0,0,NA,NA
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_oxphos_core","pseudobulk_mean_logCPM",3,7.81281910611657,7.88943313725504,0.0766140311384635,2,0.789268026134281,0.750581102193883
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_stress_dynamics","mean_lognorm_module",3,0.237832123213255,0.295269226941004,0.0574371037277489,3,0.18144920772142,0.12676893656745
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_stress_dynamics","pct_cells_any_detected",3,97.5493039715393,99.7109394493941,2.16163547785475,3,0.18144920772142,0.0970250542177151
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_stress_dynamics","pseudobulk_mean_logCPM",3,5.4916687467133,5.54660207477872,0.0549333280654218,1,1,0.670837147919715
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_translation","mean_lognorm_module",3,0.162240612865035,0.176450043550514,0.0142094306854792,2,0.789268026134281,0.650201776346172
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_translation","pct_cells_any_detected",3,99.4587357907878,99.5595950469438,0.100859256155933,2,0.422678074170635,0.581425798713452
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","mitochondrial_translation","pseudobulk_mean_logCPM",3,5.21363569723984,5.14695739542502,-0.0666783018148249,1,0.789268026134281,0.80947786881568
