cluster_res0.6,n_cells,major_annotation,broad_annotation
0,2182,Cycling_TALL_blast_like,T_lineage_candidate_malignant
1,2021,Cycling_TALL_blast_like,T_lineage_candidate_malignant
10,652,Immature_HSC_like_TALL,T_lineage_candidate_malignant
12,413,Quiescent_CD44_high_TALL_like,T_lineage_candidate_malignant
15,107,ER_stress_TALL_like,T_lineage_candidate_malignant
17,51,Cycling_TALL_blast_like,T_lineage_candidate_malignant
18,42,Cycling_TALL_blast_like,T_lineage_candidate_malignant
2,1853,Quiescent_CD44_high_TALL_like,T_lineage_candidate_malignant
3,989,Immature_HSC_like_TALL,T_lineage_candidate_malignant
4,901,Cycling_TALL_blast_like,T_lineage_candidate_malignant
5,860,Cycling_TALL_blast_like,T_lineage_candidate_malignant
6,701,Immature_HSC_like_TALL,T_lineage_candidate_malignant
7,696,Cycling_TALL_blast_like,T_lineage_candidate_malignant
8,695,Cycling_TALL_blast_like,T_lineage_candidate_malignant
9,665,Quiescent_CD44_high_TALL_like,T_lineage_candidate_malignant
