"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_name"
"ABC transporters",0.598050535699901,0.723448228669235,0.00719912534388877,0.297546961087428,0.912591335481546,29,"Abcb9;Abcc3;Abcb10;Tap1;Abcb1a;Abca3;Abca5;Tap2;Abcc8;Abca7","bulk_STAT5B","Up",300,"ABC transporters"
"AGE-RAGE signaling pathway in diabetic complications",0.00266937541339885,0.00988657560518092,0.135865039032471,0.437908420205502,1.61100202085045,81,"Col4a1;Col4a2;Tnf;Pim1;Bax;Prkce;Mapk13;Egr1;Prkcz;Il1b;Il6;Hras;Ccnd1;Plcg2;Tgfbr2;Foxo1;Icam1;Cybb;Mgmt;Vcam1;Bcl2;Col3a1;Nfkb1;Pik3cb;Pik3r2;Nox1;Jak2;Cdc42;Tgfb1;Ager;Mmp2;Rela;Mapk3;Stat5b;Diaph1;Plce1","bulk_STAT5B","Up",300,"AGE-RAGE signaling pathway in diabetic complications"
"AMPK signaling pathway",0.566797373700529,0.694037600449627,0.00648780368866036,0.249925014582436,0.95273957474437,106,"Prkag1;Mlycd;Irs4;Creb3;Pfkp;Cd36;Igf1;Creb5;Eif4ebp1;Lipe;Pparg;Rab2a;Ccnd1;Adipor1;Prkaa1;Leprot;Foxo1","bulk_STAT5B","Up",300,"AMPK signaling pathway"
"Acute myeloid leukemia",0.0429225300676827,0.0961357308827531,0.0337533935442732,0.396918476082237,1.40706554622829,63,"Itgam;Csf2;Pim1;Dusp6;Bcl2a1b;Ikbkb;Runx1t1;Bcl2a1d;Eif4ebp1;Hras;Flt3;Csf1r;Zbtb16;Ccnd1;Cebpe;Kit;Cebpa;Map2k2;Rara;Nfkb1;Pik3cb;Pim2;Pik3r2","bulk_STAT5B","Up",300,"Acute myeloid leukemia"
"Adherens junction",0.198700951176199,0.316607244082781,0.0146016622542749,0.335497053383147,1.19163370600244,64,"Actb;Nectin1;Lmo7;Csnk2b;Src;Ctnna1;Tjp1;Tgfbr2;Ptpn1;Rac2;Fyn;Cdh1;Cdc42;Nlk;Fer;Tcf7l1;Yes1;Nectin3;Pard3;Csnk2a2;Mapk3;Csnk2a1;Ctnna2;Ssx2ip","bulk_STAT5B","Up",300,"Adherens junction"
"Adipocytokine signaling pathway",0.00963034298836951,0.0286049791733748,0.0728152767813316,0.448038050856351,1.56062704749505,57,"Prkag1;Irs4;Tnf;Acsbg1;Ikbkb;Nfkbia;Rxrg;Cd36;Slc2a1;Prkcq;Tradd;Rxra;Adipor1;Prkaa1;Leprot;Acsl5;Traf2;Nfkb1;Nfkbib;Jak2;Prkab1;Acsl4;Rela;Tnfrsf1b;G6pc3;Socs3;Stk11;Irs2;Chuk;Ppargc1a;Akt2;Acsl3;Pomc;Acsl1","bulk_STAT5B","Up",300,"Adipocytokine signaling pathway"
"Adrenergic signaling in cardiomyocytes",0.0305427529751668,0.0727208404170639,0.0390070386734345,0.368142546296686,1.39497754365023,101,"Cacna1d;Tnni3;Creb3;Ryr2;Crem;Cacnb3;Adcy4;Mapk13;Cacng4;Adcy1;Adrb1;Scn5a;Creb5;Tpm3;Atf4;Scn1b;Cacna1s;Calm1;Tpm2;Mgmt;Atp2b1;Bcl2;Creb3l1;Rapgef4;Tpm1","bulk_STAT5B","Up",300,"Adrenergic signaling in cardiomyocytes"
"African trypanosomiasis",0.2572876368986,0.372880633186376,0.0133706889022644,0.389945333397955,1.16765999404282,26,"Tnf;Tlr9;Il1b;Il6;Myd88;Hba-a1;Icam1;Vcam1;Prkcg;Fas;Il18","bulk_STAT5B","Up",300,"African trypanosomiasis"
"Alanine, aspartate and glutamate metabolism",0.11598685482312,0.209614797873109,0.0213071837686049,0.458063038106644,1.33483487245734,23,"Rimkla;Asns;Il4i1;Got1;Aldh4a1;Asl","bulk_STAT5B","Up",300,"Alanine, aspartate and glutamate metabolism"
"Alcoholism",0.0772807900666379,0.158796143972544,0.0245776134136304,0.367137057746392,1.32564241714999,71,"Ddc;Creb3;Gng2;Camk4;Gnb5;Creb5;Grin2d;Slc18a2;Hras;Atf4;Calm1;Gnao1;Adora2b;Fosb;Gnb1;Creb3l1;Pkia;Hdac5","bulk_STAT5B","Up",300,"Alcoholism"
