"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa00010 Glycolysis / Gluconeogenesis",0.00300337146510689,0.0326616646830374,0.193460727359442,0.524891055730281,1.80841933989446,33,"LDHA;PKM;PGAM1;ENO1;ALDH9A1;ALDOA;PFKP;PGK1;LDHB;PDHA1;HK1;GAPDH","reference95","Up",348,"hsa00010","Glycolysis / Gluconeogenesis"
"hsa00020 Citrate cycle (TCA cycle)",0.101369656833233,0.269287332656222,0.0270390592032686,0.415796096140483,1.34903431901705,26,"FH;PDHA1;MDH2;OGDH;DLST;ACO2;SDHC;PCK2;IDH2;PDHB;IDH3B;IDH3A;DLAT;SUCLG2","reference95","Up",348,"hsa00020","Citrate cycle (TCA cycle)"
"hsa00030 Pentose phosphate pathway",0.232876712328767,0.407837200227575,0.0172225004399329,0.390978330797097,1.18783797266715,20,"PGD;ALDOA;PFKP;TKTL1;PRPS1;GPI;GLYCTK;PGM2;IDNK","reference95","Up",348,"hsa00030","Pentose phosphate pathway"
"hsa00040 Pentose and glucuronate interconversions",0.818975650713686,0.86891319039135,0.0080665277901417,-0.271979640618208,-0.728754920329558,12,"XYLB;UGP2;FGGY","reference95","Down",348,"hsa00040","Pentose and glucuronate interconversions"
"hsa00051 Fructose and mannose metabolism",0.523160301464984,0.67180732439046,0.0112618789095051,-0.311224678962863,-0.950196826290543,19,"PFKFB2;HKDC1;GMPPA","reference95","Down",348,"hsa00051","Fructose and mannose metabolism"
"hsa00052 Galactose metabolism",0.794220266990291,0.850608096714729,0.00760017871516222,0.259168146276172,0.764905453077835,18,"PFKP;HK1;GLA;GALM","reference95","Up",348,"hsa00052","Galactose metabolism"
"hsa00053 Ascorbate and aldarate metabolism",0.443215884757641,0.605670061537635,0.0118833455319064,0.517488852029422,1.03690705250236,5,"ALDH9A1;UGDH","reference95","Up",348,"hsa00053","Ascorbate and aldarate metabolism"
"hsa00061 Fatty acid biosynthesis",0.329948596949524,0.488604730801848,0.0149725033364965,-0.391669255998364,-1.09835384007623,14,"OXSM;ACSBG1;ACSF3;MECR;ACSL1;ACSL3;ACSL6;HSD17B8","reference95","Down",348,"hsa00061","Fatty acid biosynthesis"
"hsa00062 Fatty acid elongation",0.251857186173438,0.426674486354857,0.0164808958837178,0.391246530451516,1.17175956537088,19,"ACAA2;HACD3;PPT1","reference95","Up",348,"hsa00062","Fatty acid elongation"
"hsa00071 Fatty acid degradation",0.32630947471036,0.487363507292726,0.0140549679312066,0.327081054669908,1.09072945906434,29,"ACAA2;ALDH9A1;CPT1A;CYP2U1;ACAT2;ACAT1;ACSL5","reference95","Up",348,"hsa00071","Fatty acid degradation"
"hsa00100 Steroid biosynthesis",0.272003959189889,0.44038268997303,0.0158018254909352,0.42155113930135,1.15941795084934,14,"EBP;SOAT1;TM7SF2;DHCR7;CYP51A1","reference95","Up",348,"hsa00100","Steroid biosynthesis"
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.862344804599617,0.898463422907935,0.00767687487588713,-0.297114702160799,-0.675025085734074,7,"COQ6;COQ4;COQ7","reference95","Down",348,"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
