"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa00010 Glycolysis / Gluconeogenesis",0.02265151210892,0.128839463929284,0.060431921275129,0.447495548156812,1.54858395003812,35,"LDHA;PGAM1;ENO1;PKM;PGK1;HK1;ALDOA;PFKP;ALDH9A1;LDHB;GPI;GAPDH;PDHA1","global25","Up",353,"hsa00010","Glycolysis / Gluconeogenesis"
"hsa00020 Citrate cycle (TCA cycle)",0.459285856772392,0.659056534311603,0.0117974927752437,0.308564685103523,0.99530489373786,26,"FH;DLST;MDH2;PDHA1;OGDH;SUCLG2;SDHB;PCK2;IDH3B;DLD;IDH2;ACLY;ACO2","global25","Up",353,"hsa00020","Citrate cycle (TCA cycle)"
"hsa00030 Pentose phosphate pathway",0.757822750586458,0.844294782968956,0.00822051046383731,0.259445290192723,0.802687022391477,22,"ALDOA;PFKP;TKTL1;GPI;PGD;PRPS1;PGM2;PGM1;GLYCTK","global25","Up",353,"hsa00030","Pentose phosphate pathway"
"hsa00040 Pentose and glucuronate interconversions",0.340919107336031,0.531940362360389,0.0142476437699198,-0.420877058122224,-1.09970854886008,12,"XYLB;UGP2;CRYL1","global25","Down",353,"hsa00040","Pentose and glucuronate interconversions"
"hsa00051 Fructose and mannose metabolism",0.342069298175094,0.531940362360389,0.0142466349018821,-0.347456287423286,-1.08185370070232,23,"PFKFB2;HKDC1;GMPPA","global25","Down",353,"hsa00051","Fructose and mannose metabolism"
"hsa00052 Galactose metabolism",0.926464095050777,0.942483647126583,0.00696790605456656,-0.215951819518326,-0.648999104798063,20,"HKDC1;UGP2;GALT;PFKM;LCT","global25","Down",353,"hsa00052","Galactose metabolism"
"hsa00053 Ascorbate and aldarate metabolism",0.60917512130569,0.744078954397608,0.0097668235641448,-0.414666706696409,-0.880885487609281,6,"ALDH2","global25","Down",353,"hsa00053","Ascorbate and aldarate metabolism"
"hsa00061 Fatty acid biosynthesis",0.0822967659096381,0.252849594771929,0.0311997978238748,-0.513448920144323,-1.427183282532,15,"ACACB;ACSBG1;CBR4;OXSM;ACSF3;ACSL1;ACSL3;ACSL6","global25","Down",353,"hsa00061","Fatty acid biosynthesis"
"hsa00062 Fatty acid elongation",0.0761851689686741,0.245169812544827,0.0323434965833821,0.46307836475728,1.41454958906855,21,"ACAA2;ACOT7;HACD3","global25","Up",353,"hsa00062","Fatty acid elongation"
"hsa00071 Fatty acid degradation",0.904084973844987,0.924773144242089,0.0070925499808592,-0.210758277586648,-0.705545413147496,31,"ALDH2;ACSBG1;ACADVL","global25","Down",353,"hsa00071","Fatty acid degradation"
"hsa00100 Steroid biosynthesis",0.696588511603837,0.806215556052966,0.00879309969782645,0.293023315657309,0.831712867924711,16,"EBP;SOAT1;CYP51A1;SQLE;DHCR7;DHCR24","global25","Up",353,"hsa00100","Steroid biosynthesis"
"hsa00120 Primary bile acid biosynthesis",0.810934393638171,0.873756229013734,0.00777357336069862,0.356941298190489,0.715303834896796,5,"ACOT8;SCP2","global25","Up",353,"hsa00120","Primary bile acid biosynthesis"
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.686633544354516,0.797308030122184,0.00893483452202017,-0.354591662687008,-0.822452870990737,8,"COQ5;COQ4;COQ6;COQ7","global25","Down",353,"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"hsa00140 Steroid hormone biosynthesis",0.647725458898643,0.77485322390979,0.00930608761942561,0.336010160632592,0.85660216182922,11,"AKR1C1;SRD5A3;HSD17B12;COMT;DHRS11;AKR1C3","global25","Up",353,"hsa00140","Steroid hormone biosynthesis"
