"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa03050 Proteasome",0.0218004513217279,0.126156710107704,0.061718663017506,0.415826014095646,1.51586668427521,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2","global25","Up",353,"hsa03050","Proteasome"
"hsa04136 Autophagy - other",0.103849382419954,0.283192237945411,0.0275621123247708,-0.400190963787103,-1.32994008538834,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8","global25","Down",353,"hsa04136","Autophagy - other"
"hsa04137 Mitophagy - animal",0.0217993643549833,0.126156710107704,0.0620678701813423,0.341306709259687,1.43218748568361,89,"MTX1;RELA;TOMM40;MAPK9;OPTN;TFE3;TOMM70;MUL1;E2F1;AMFR;ATF4;BCL2L13;RRAS2;NRAS;BECN1;SMURF2;RAB7A;FUNDC1;CSNK2A2;UBA52;TOMM20;MFN2;UBC;MTX2;EIF2S1;CSNK2A1;RPS27A;CCZ1B;PGAM5;BNIP3;HUWE1","global25","Up",353,"hsa04137","Mitophagy - animal"
"hsa04140 Autophagy - animal",0.641066687490239,0.772343142266397,0.00922728437326082,-0.205016546442848,-0.925609379133464,149,"SMCR8;DDIT4;ATG9B;AKT3;RAB33B;PIK3C3;STX7;GABARAP;EPG5;UVRAG;EIF2AK4;TSC1;PRKCD;VPS39;GABARAPL1;ATG10;ITPR1;RRAGB;PRKCQ;ERN1;RRAGA;TRAF6;LAMP2;AMBRA1;VPS11;MTMR4;MAPK10;VPS33A;C9orf72;PIK3R4;PTEN;DAPK1;TSC2;RAB39B;BAD;ATG5;ATG14;AKT1S1;ATG16L2;ATG2B;STX17;WDR45","global25","Down",353,"hsa04140","Autophagy - animal"
"hsa03050 Proteasome",0.00054918033747313,0.00837925505996343,0.213878881440171,0.533287908372837,1.88056919729581,44,"ADRM1;POMP;PSMB1;PSMB9;PSMB3;PSMA7;PSMD12;PSMD7;PSMB7;PSMD8;PSMC3;PSME2;PSMC4;PSME1;PSMC5;SEM1;PSMA4;PSMB8;PSMC1;PSMD6;PSMA3;PSME3;PSMB10;PSMB2;PSMD3;PSMA2;PSMD11","within15","Up",353,"hsa03050","Proteasome"
"hsa04136 Autophagy - other",0.55324118207817,0.742563259595414,0.0117346031685909,-0.275392900353007,-0.938795636126857,29,"PIK3C3;ATG10;MTOR","within15","Down",353,"hsa04136","Autophagy - other"
"hsa04137 Mitophagy - animal",0.00123371552720186,0.0131970176091592,0.203925512082896,0.416109268457979,1.6703493502465,87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MUL1;MAPK9;CCZ1;RAB5C;SMURF2;UBB;MFN2;MTX1;BECN1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;CITED2;E2F1;ATF4;CSNK2A1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;RABGEF1;TBC1D15","within15","Up",353,"hsa04137","Mitophagy - animal"
"hsa04140 Autophagy - animal",0.962714932126697,0.983068414052616,0.00942407726002071,-0.164649881061906,-0.773776937421439,145,"PIK3C3;ATG10;AKT3;SMCR8;PRKCD;UVRAG;STX7;EPG5;DDIT4;LAMP2;MTOR;MTMR4;EIF2AK4;VPS33A;ULK1;ERN1;ITPR1;RUBCN;VPS11;AMBRA1;TSC2;AKT1S1;TSC1;ATG16L2;PRKAA1;MAPK10;IGF1R;RPTOR;TRAF6","within15","Down",353,"hsa04140","Autophagy - animal"
"hsa03050 Proteasome",0.0111218903748874,0.0572213200447105,0.0803274470787244,0.452931833775999,1.60773182207287,45,"ADRM1;PSMB1;POMP;PSMC4;IFNG;PSMD12;PSMB9;PSMB3;PSMA7;PSMD7;PSMB7;SEM1;PSMD11;PSME2;PSMD8;PSMC3;PSMC1;PSMA4;PSMB2;PSMF1;PSMC5;PSME4;PSMD6;PSMD1;PSME1;PSMD2;PSMB10;PSME3","within25","Up",355,"hsa03050","Proteasome"
"hsa04136 Autophagy - other",0.297360355002516,0.515101212584418,0.0166915631970778,-0.325224975864711,-1.10699301339239,30,"PIK3C3;ATG9B;ATG10;GABARAP;MTOR;GABARAPL1;ATG7;ATG4B;RPTOR;ATG2B;MLST8;ATG4C","within25","Down",355,"hsa04136","Autophagy - other"
