"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa00010 Glycolysis / Gluconeogenesis",0.174477044281445,0.38265771666218,0.0190658250212968,0.366641992416474,1.23265058015374,35,"LDHA;ALDOA;PGAM1;PGK1;PKM;GAPDH;HK1;ENO1;LDHB;MINPP1;ALDH9A1","within15","Up",353,"hsa00010","Glycolysis / Gluconeogenesis"
"hsa00020 Citrate cycle (TCA cycle)",0.969143932267168,0.983068414052616,0.00770669852697938,-0.181980566081485,-0.603461359596455,26,"IDH1;ACO1;SUCLA2;PCK2;SDHD","within15","Down",353,"hsa00020","Citrate cycle (TCA cycle)"
"hsa00030 Pentose phosphate pathway",0.636223344556678,0.797317307620759,0.00855075396749246,0.29241308906301,0.878935019977433,22,"ALDOA;TKTL1;GLYCTK;PGD;PFKP;GPI;PRPS1;RPIA","within15","Up",353,"hsa00030","Pentose phosphate pathway"
"hsa00040 Pentose and glucuronate interconversions",0.290008448574859,0.524989653061155,0.0166591711116662,-0.426456681089189,-1.14060598759187,12,"XYLB;FGGY;UGP2","within15","Down",353,"hsa00040","Pentose and glucuronate interconversions"
"hsa00051 Fructose and mannose metabolism",0.346550612508059,0.58878516885657,0.0153292302584058,-0.347742474706639,-1.07728629047426,20,"PFKFB2;HKDC1;GMPPA","within15","Down",353,"hsa00051","Fructose and mannose metabolism"
"hsa00052 Galactose metabolism",0.4872432532007,0.693535759596158,0.0124542796193107,-0.314415573994791,-0.974041458875362,20,"HKDC1;PFKM;G6PC3;UGP2;GALE;LCT;PFKL","within15","Down",353,"hsa00052","Galactose metabolism"
"hsa00053 Ascorbate and aldarate metabolism",0.618098159509202,0.790538588067929,0.0100916558158001,-0.40369394926025,-0.871516756100427,6,"ALDH2","within15","Down",353,"hsa00053","Ascorbate and aldarate metabolism"
"hsa00061 Fatty acid biosynthesis",0.00955702509285261,0.0519278201272998,0.0992274814164182,-0.599026757751367,-1.74310502950818,16,"ACACB;ACSBG1;CBR4;OXSM;ACSF3;ACSL6;HSD17B8","within15","Down",353,"hsa00061","Fatty acid biosynthesis"
"hsa00062 Fatty acid elongation",0.116933221099888,0.29274770956213,0.024140267341031,0.44344444924419,1.33290495683433,22,"ACAA2;HACD3;ELOVL1;HACD4;PPT1","within15","Up",353,"hsa00062","Fatty acid elongation"
"hsa00071 Fatty acid degradation",0.741587693998077,0.878457905977588,0.00739890976505263,0.252864478647897,0.820246132753281,30,"ACAA2;ECI1;ACAT2;ALDH9A1;ACAT1;CPT2;ACSL4;ACSL5;CPT1A","within15","Up",353,"hsa00071","Fatty acid degradation"
"hsa00100 Steroid biosynthesis",0.911187508952872,0.960146837792131,0.00633850145184048,0.234471540838858,0.651536405822394,16,"EBP;CYP51A1;DHCR7;SOAT1;SQLE;DHCR24","within15","Up",353,"hsa00100","Steroid biosynthesis"
"hsa00120 Primary bile acid biosynthesis",0.669713948687703,0.830316552504602,0.00945016231243077,-0.40783253671955,-0.829752684567746,5,"HSD17B4;SLC27A5;ACOT8;AMACR","within15","Down",353,"hsa00120","Primary bile acid biosynthesis"
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.964752922769351,0.983068414052616,0.00722073094394812,-0.223505823945007,-0.548099335713152,9,"COQ5;COQ6;VKORC1L1;COQ4;NQO1;COQ7;VKORC1;COQ2;GGCX","within15","Down",353,"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"hsa00140 Steroid hormone biosynthesis",0.765749190462172,0.897557711609234,0.00764154243287083,0.314239675500318,0.766996794513782,10,"AKR1C1;AKR1C3;HSD17B12;SRD5A3","within15","Up",353,"hsa00140","Steroid hormone biosynthesis"
"hsa00190 Oxidative phosphorylation",1.23871807156662e-10,1.09316869815754e-08,0.370449089320376,0.577457176157987,2.38066145734668,102,"NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;UQCRH;ATP6V0A4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;NDUFA12;ATP6V0C;COX7A2;COX7B;ATP5PF;NDUFB9;ATP6V1G1;UQCRB;CYC1;ATP5F1C;UQCR11;COX8A;ATP6V0D1;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;ATP6V0E1;NDUFB2;NDUFS4;NDUFS3;ATP6V1F;NDUFA1;SDHB;ATP5MC3;UQCR10;ATP5ME;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;COX17;PPA1;ATP5MF;NDUFS5;COX7C;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","within15","Up",353,"hsa00190","Oxidative phosphorylation"
"hsa00220 Arginine biosynthesis",0.240628373599375,0.459144950705834,0.0167449069359091,0.532571449344707,1.21710316562446,8,"GLUD1;GLS;ACY1;GOT2;ASL;CAD","within15","Up",353,"hsa00220","Arginine biosynthesis"
"hsa00230 Purine metabolism",0.872864662382536,0.954534733247918,0.00594782675515531,0.200517590539616,0.774300777976147,70,"PDE4B;NME1;GUK1;HPRT1;NME2;PDE4D;ADCY7;PNP;NT5E;AK6;PAICS;PDE6G;PPAT;ADK;APRT","within15","Up",353,"hsa00230","Purine metabolism"
"hsa00240 Pyrimidine metabolism",0.745464301284416,0.878872140824286,0.00721167032315458,0.236325138364989,0.829659985797684,43,"NME1;UPP1;CTPS1;NME2;TYMP;UCK2;NT5E;DCTPP1;TYMS;NT5C3A;CMPK2;DTYMK;DCTD;CMPK1;HDDC2","within15","Up",353,"hsa00240","Pyrimidine metabolism"
"hsa00250 Alanine, aspartate and glutamate metabolism",0.967616300036062,0.983068414052616,0.00599540511205801,0.206220255415113,0.553187627341138,14,"GLUD1;PPAT;ADSL;GLS;GOT2;ALDH5A1;ASL","within15","Up",353,"hsa00250","Alanine, aspartate and glutamate metabolism"
"hsa00260 Glycine, serine and threonine metabolism",0.709056630620376,0.86012711549482,0.00792426060360198,0.291080355052635,0.822239752345844,17,"PGAM1;GLYCTK;GCSH;GAMT;PHGDH;BPGM;SRR","within15","Up",353,"hsa00260","Glycine, serine and threonine metabolism"
"hsa00270 Cysteine and methionine metabolism",0.217735334242838,0.422310840591877,0.0168649799453325,0.355628706849494,1.18641548939001,34,"LDHA;SRM;GCLM;CISD1;SMS;MDH2;LDHB","within15","Up",353,"hsa00270","Cysteine and methionine metabolism"
"hsa00280 Valine, leucine and isoleucine degradation",0.779459300617103,0.899180173587703,0.00944232372223837,-0.224502140536197,-0.817988232284589,38,"AACS;ALDH2;ACSF3;ACADSB;ACAD8;MMUT;HIBCH;BCKDHB;MCEE;ACAA1;ACADS;IVD;HADH;MCCC1;BCKDHA;ALDH6A1","within15","Down",353,"hsa00280","Valine, leucine and isoleucine degradation"
"hsa00310 Lysine degradation",0.0771728271728272,0.219693612838774,0.0361382552877601,-0.34614499141118,-1.32886688312933,48,"EZH1;SETD7;ALDH2;PLOD3;CAMKMT;KMT2D;EHMT2;NSD1;DHTKD1;KMT2B;ASH1L;NSD2;TMLHE;SETD1B;SETD1A;NSD3;HADH;GCDH","within15","Down",353,"hsa00310","Lysine degradation"
"hsa00330 Arginine and proline metabolism",0.212307258036061,0.418684145735919,0.0174446702874187,0.407320464128883,1.21030986440787,21,"LAP3;ODC1;SRM;SMS","within15","Up",353,"hsa00330","Arginine and proline metabolism"
"hsa00340 Histidine metabolism",0.4289084551544,0.657975460793627,0.0127600812223747,-0.51045232161313,-1.03853701229726,5,"ALDH2","within15","Down",353,"hsa00340","Histidine metabolism"
"hsa00350 Tyrosine metabolism",0.303805528504008,0.541633088696539,0.0146628614479344,0.525088403292298,1.1536991158873,7,"MIF;FAHD1;ADH5;GOT2","within15","Up",353,"hsa00350","Tyrosine metabolism"
"hsa00380 Tryptophan metabolism",0.789564272126098,0.905198385486245,0.00881905796711996,-0.263713287389221,-0.767378003817125,16,"ALDH2;KYAT1;DHTKD1","within15","Down",353,"hsa00380","Tryptophan metabolism"
"hsa00410 beta-Alanine metabolism",0.0802254791431793,0.224180681848103,0.0335956489064436,-0.501303946562354,-1.43171553997393,15,"ALDH2;HIBCH;MLYCD;ACOX3;SMOX;ACOX1;ACADS","within15","Down",353,"hsa00410","beta-Alanine metabolism"
"hsa00440 Phosphonate and phosphinate metabolism",0.614519427402863,0.788819483175311,0.0101329686185743,-0.40492280311485,-0.874169673556943,6,"PCYT1B;SELENOI;PCYT1A","within15","Down",353,"hsa00440","Phosphonate and phosphinate metabolism"
"hsa00450 Selenocompound metabolism",0.93032149050647,0.977391327823761,0.00760642678951387,-0.231369921823654,-0.618824677589069,12,"KYAT1;MTR;SEPSECS;PAPSS1;TXNRD3","within15","Down",353,"hsa00450","Selenocompound metabolism"
