"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa00010 Glycolysis / Gluconeogenesis",0.177151810347764,0.381691790431338,0.018936679166199,0.366641992416474,1.22925228478891,35,"LDHA;ALDOA;PGAM1;PGK1;PKM;GAPDH;HK1;ENO1;LDHB;MINPP1;ALDH9A1","within15_symbol_sensitivity","Up",353,"hsa00010","Glycolysis / Gluconeogenesis"
"hsa00020 Citrate cycle (TCA cycle)",0.969052224371373,0.983716440761625,0.00772677437735485,-0.181980566081485,-0.604647115804245,26,"IDH1;ACO1;SUCLA2;PCK2;SDHD","within15_symbol_sensitivity","Down",353,"hsa00020","Citrate cycle (TCA cycle)"
"hsa00030 Pentose phosphate pathway",0.635683312351378,0.79669055594215,0.00853671628428108,0.29241308906301,0.878987975669946,22,"ALDOA;TKTL1;GLYCTK;PGD;PFKP;GPI;PRPS1;RPIA","within15_symbol_sensitivity","Up",353,"hsa00030","Pentose phosphate pathway"
"hsa00040 Pentose and glucuronate interconversions",0.294888538617429,0.532226228264509,0.0166210897300817,-0.426456681089189,-1.14074243007419,12,"XYLB;FGGY;UGP2","within15_symbol_sensitivity","Down",353,"hsa00040","Pentose and glucuronate interconversions"
"hsa00051 Fructose and mannose metabolism",0.344726698555705,0.587867268551517,0.0154527184086623,-0.347742474706639,-1.07724767856518,20,"PFKFB2;HKDC1;GMPPA","within15_symbol_sensitivity","Down",353,"hsa00051","Fructose and mannose metabolism"
"hsa00052 Galactose metabolism",0.490456508614684,0.700378317901142,0.0124684818608,-0.314415573994791,-0.974006547449697,20,"HKDC1;PFKM;G6PC3;UGP2;GALE;LCT;PFKL","within15_symbol_sensitivity","Down",353,"hsa00052","Galactose metabolism"
"hsa00053 Ascorbate and aldarate metabolism",0.626019050888183,0.79669055594215,0.0100516245110407,-0.40369394926025,-0.866517699956742,6,"ALDH2","within15_symbol_sensitivity","Down",353,"hsa00053","Ascorbate and aldarate metabolism"
"hsa00061 Fatty acid biosynthesis",0.00959649042635836,0.0521163249308385,0.0994650171858359,-0.599026757751367,-1.74773241605696,16,"ACACB;ACSBG1;CBR4;OXSM;ACSF3;ACSL6;HSD17B8","within15_symbol_sensitivity","Down",353,"hsa00061","Fatty acid biosynthesis"
"hsa00062 Fatty acid elongation",0.118862778010911,0.297578444240081,0.0238916423173294,0.44344444924419,1.33298526414197,22,"ACAA2;HACD3;ELOVL1;HACD4;PPT1","within15_symbol_sensitivity","Up",353,"hsa00062","Fatty acid elongation"
"hsa00071 Fatty acid degradation",0.741098765007396,0.877878738414801,0.00741551814600657,0.252864478647897,0.818662446041271,30,"ACAA2;ECI1;ACAT2;ALDH9A1;ACAT1;CPT2;ACSL4;ACSL5;CPT1A","within15_symbol_sensitivity","Up",353,"hsa00071","Fatty acid degradation"
"hsa00100 Steroid biosynthesis",0.908211529570753,0.957010955040226,0.00631470451149833,0.234471540838858,0.649356490022597,16,"EBP;CYP51A1;DHCR7;SOAT1;SQLE;DHCR24","within15_symbol_sensitivity","Up",353,"hsa00100","Steroid biosynthesis"
"hsa00120 Primary bile acid biosynthesis",0.672205502098258,0.827121835258315,0.00946718457254203,-0.40783253671955,-0.826331746547844,5,"HSD17B4;SLC27A5;ACOT8;AMACR","within15_symbol_sensitivity","Down",353,"hsa00120","Primary bile acid biosynthesis"
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.966265483615918,0.983716440761625,0.00727952400120222,-0.223505823945007,-0.547534489782552,9,"COQ5;COQ6;VKORC1L1;COQ4;NQO1;COQ7;VKORC1;COQ2;GGCX","within15_symbol_sensitivity","Down",353,"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"hsa00140 Steroid hormone biosynthesis",0.763087101933983,0.894916102932545,0.0075848996229809,0.314239675500318,0.765885941801533,10,"AKR1C1;AKR1C3;HSD17B12;SRD5A3","within15_symbol_sensitivity","Up",353,"hsa00140","Steroid hormone biosynthesis"
"hsa00190 Oxidative phosphorylation",9.68391008601089e-11,8.54605065090461e-09,0.376020064924896,0.554655121473466,2.3320529793343,116,"NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;UQCRH;ATP6V0A4;NDUFA4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;NDUFA12;ATP6V0C;COX7A2;COX7B;ATP5PF;NDUFB9;ATP6V1G1;UQCRB;CYC1;ATP5F1C;UQCR11;COX8A;MT-ND5;ATP6V0D1;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;ATP6V0E1;NDUFB2;NDUFS4;NDUFS3;ATP6V1F;NDUFA1;SDHB;ATP5MC3;UQCR10;ATP5ME;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;MT-ND2;COX17;PPA1;ATP5MF;NDUFS5;COX7C;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","within15_symbol_sensitivity","Up",353,"hsa00190","Oxidative phosphorylation"
"hsa00220 Arginine biosynthesis",0.244233328404554,0.464107197962921,0.0165354678605908,0.532571449344707,1.21377140906366,8,"GLUD1;GLS;ACY1;GOT2;ASL;CAD","within15_symbol_sensitivity","Up",353,"hsa00220","Arginine biosynthesis"
"hsa00230 Purine metabolism",0.870345359830214,0.954136372733123,0.00593921039404307,0.200517590539616,0.774831038199399,70,"PDE4B;NME1;GUK1;HPRT1;NME2;PDE4D;ADCY7;PNP;NT5E;AK6;PAICS;PDE6G;PPAT;ADK;APRT","within15_symbol_sensitivity","Up",353,"hsa00230","Purine metabolism"
"hsa00240 Pyrimidine metabolism",0.747008202232083,0.881919382568312,0.00721371505407736,0.236325138364989,0.828615038338857,43,"NME1;UPP1;CTPS1;NME2;TYMP;UCK2;NT5E;DCTPP1;TYMS;NT5C3A;CMPK2;DTYMK;DCTD;CMPK1;HDDC2","within15_symbol_sensitivity","Up",353,"hsa00240","Pyrimidine metabolism"
"hsa00250 Alanine, aspartate and glutamate metabolism",0.969782780127608,0.983716440761625,0.00594184206315378,0.206220255415113,0.550751793137129,14,"GLUD1;PPAT;ADSL;GLS;GOT2;ALDH5A1;ASL","within15_symbol_sensitivity","Up",353,"hsa00250","Alanine, aspartate and glutamate metabolism"
"hsa00260 Glycine, serine and threonine metabolism",0.715850675364271,0.866514326177783,0.00783929083857049,0.291080355052635,0.818719754498369,17,"PGAM1;GLYCTK;GCSH;GAMT;PHGDH;BPGM;SRR","within15_symbol_sensitivity","Up",353,"hsa00260","Glycine, serine and threonine metabolism"
"hsa00270 Cysteine and methionine metabolism",0.218146454650925,0.423108233471299,0.0168513648245263,0.355628706849494,1.18495853614203,34,"LDHA;SRM;GCLM;CISD1;SMS;MDH2;LDHB","within15_symbol_sensitivity","Up",353,"hsa00270","Cysteine and methionine metabolism"
"hsa00280 Valine, leucine and isoleucine degradation",0.777164354113739,0.896765268612332,0.00944580615288257,-0.224502140536197,-0.817517310696109,38,"AACS;ALDH2;ACSF3;ACADSB;ACAD8;MMUT;HIBCH;BCKDHB;MCEE;ACAA1;ACADS;IVD;HADH;MCCC1;BCKDHA;ALDH6A1","within15_symbol_sensitivity","Down",353,"hsa00280","Valine, leucine and isoleucine degradation"
"hsa00310 Lysine degradation",0.0793117287047256,0.222198732006096,0.0357110401750088,-0.34614499141118,-1.32769758144771,48,"EZH1;SETD7;ALDH2;PLOD3;CAMKMT;KMT2D;EHMT2;NSD1;DHTKD1;KMT2B;ASH1L;NSD2;TMLHE;SETD1B;SETD1A;NSD3;HADH;GCDH","within15_symbol_sensitivity","Down",353,"hsa00310","Lysine degradation"
"hsa00330 Arginine and proline metabolism",0.212705535883322,0.419469576350909,0.017362754981611,0.407320464128883,1.21107524528911,21,"LAP3;ODC1;SRM;SMS","within15_symbol_sensitivity","Up",353,"hsa00330","Arginine and proline metabolism"
"hsa00340 Histidine metabolism",0.437624517824594,0.662544548739349,0.012648624439922,-0.51045232161313,-1.0342552897834,5,"ALDH2","within15_symbol_sensitivity","Down",353,"hsa00340","Histidine metabolism"
"hsa00350 Tyrosine metabolism",0.30811334102841,0.546552810969993,0.0144883811218788,0.525088403292298,1.14810442811252,7,"MIF;FAHD1;ADH5;GOT2","within15_symbol_sensitivity","Up",353,"hsa00350","Tyrosine metabolism"
"hsa00380 Tryptophan metabolism",0.789014303340493,0.907237944883368,0.00888390606747542,-0.263713287389221,-0.769415147071593,16,"ALDH2;KYAT1;DHTKD1","within15_symbol_sensitivity","Down",353,"hsa00380","Tryptophan metabolism"
