"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"0","T-lineage candidate","T lineage","CD3D",1.20555825986868,93.9963336388634
"0","T-lineage candidate","T lineage","CD3E",1.27828475794323,95.1420714940422
"0","T-lineage candidate","T lineage","TRAC",0.000458260467302522,0.0916590284142988
"0","T-lineage candidate","T lineage","CD5",0.159609456671135,24.0146654445463
"0","T-lineage candidate","T lineage","CD7",1.70573750656088,98.5334555453712
"0","T-lineage candidate","Immaturity","DNTT",1.62848079938539,96.333638863428
"0","T-lineage candidate","Immaturity","PTCRA",1.20545150819878,88.2676443629698
"0","T-lineage candidate","Immaturity","CD34",0.000372453741380427,0.0916590284142988
"0","T-lineage candidate","Immaturity","SOX4",1.96920167771465,98.7167736021998
"0","T-lineage candidate","B cell","MS4A1",0.000574168002154438,0.0458295142071494
"0","T-lineage candidate","B cell","CD79A",0.691514745141633,69.4317140238313
"0","T-lineage candidate","B cell","CD79B",0.206496486873879,30.4766269477544
"0","T-lineage candidate","Myeloid","LYZ",0.0191645541833914,2.97891842346471
"0","T-lineage candidate","Myeloid","LST1",0.487156937753383,56.4161319890009
"0","T-lineage candidate","Myeloid","FCN1",0.0119737574348948,1.78735105407883
"0","T-lineage candidate","pDC","CLEC4C",0,0
"0","T-lineage candidate","pDC","LILRA4",0,0
"0","T-lineage candidate","pDC","TCF4",0.0424952243467814,6.41613198900092
"0","T-lineage candidate","Erythroid","HBB",0.00205706371145217,0.274977085242896
"0","T-lineage candidate","Erythroid","ALAS2",0,0
"0","T-lineage candidate","Erythroid","AHSP",0,0
"0","T-lineage candidate","Cytotoxic","NKG7",0.650285790684389,68.3318056828598
"0","T-lineage candidate","Cytotoxic","GNLY",0.0131500212782295,1.83318056828598
"0","T-lineage candidate","Cytotoxic","KLRD1",0.0175458474097814,2.52062328139322
"0","T-lineage candidate","Cell cycle","MKI67",0.043752318208143,6.27864344637947
"0","T-lineage candidate","Cell cycle","TOP2A",0.0226244142875839,3.48304307974335
"0","T-lineage candidate","Cell cycle","UBE2C",0.0142176701667075,2.29147571035747
"1","T-lineage candidate","T lineage","CD3D",1.32469382924786,88.5205343889164
"1","T-lineage candidate","T lineage","CD3E",1.08409815575146,83.0282038594755
"1","T-lineage candidate","T lineage","TRAC",0.00490662943768268,0.74220682830282
"1","T-lineage candidate","T lineage","CD5",0.223453456212349,26.7194458189015
"1","T-lineage candidate","T lineage","CD7",1.9740658588483,94.7055912914399
"1","T-lineage candidate","Immaturity","DNTT",0.412847040555776,42.0089064819396
"1","T-lineage candidate","Immaturity","PTCRA",0.297189074882514,29.4903513112321
"1","T-lineage candidate","Immaturity","CD34",0.00202036139821944,0.296882731321128
"1","T-lineage candidate","Immaturity","SOX4",2.01991277644046,97.0806531420089
"1","T-lineage candidate","B cell","MS4A1",0,0
