"pathway","genes"
"ABC transporters","Abca2;Abcc4;Abcc5;Abca3;Abca1;Abcc3;Abcc8;Abca7;Abca5;Tap2;Tap1;Abca9;Abcb10;Abcc10;Abcg1;Abcg4;Abcc1;Abcg2;Abcg3;Abcb4;Abcd3;Abcb1a;Abcd4;Abcb7;Abcb8;Abcb6;Abcb9;Abcb1b;Abcd1"
"AGE-RAGE signaling pathway in diabetic complications","Tgfb1;Tgfb3;Tgfb2;Vcam1;Mgmt;Mapk13;Mapk14;Mapk11;Col1a1;Mapk12;Bax;Plcd1;Plcd3;Rela;Tnf;Foxo1;Nras;Ccnd1;Akt3;Akt1;Plce1;Akt2;Smad3;Stat5b;Egr1;Smad2;Smad4;Prkcd;Prkce;Prkcb;Cybb;Prkca;Nfkb1;Diaph1;Prkcz;Pik3r1;Nox1;Ager;Icam1;Pim1;Plcg1;Plcg2;Stat5a;Jun;Mmp2;Vegfc;Fn1;Nfatc1;Tgfbr1;Tgfbr2;Vegfa;Vegfb;Il1b;Col3a1;Il6;Pik3cb;Pik3ca;Cdk4;Bcl2;Pik3r3;Pik3r2;Casp3;Stat1;Stat3;Cdc42;Plcb4;Col4a1;Col4a2;Kras;Plcb2;Plcb3;Cdkn1b;Pik3cd;Thbd;Mapk9;Mapk8;Mapk3;Rac1;Mapk1;Hras;Jak2"
"AMPK signaling pathway","Rab2a;Ppp2r1a;Tsc2;Tsc1;Prkab1;Prkab2;Ulk1;Crtc2;Foxo3;Prkaa1;Foxo1;Creb3l1;Ccnd1;Creb3l2;Akt3;Akt1;Akt2;Map3k7;Ppargc1a;Srebf1;Insr;Igf1;Eef2;Creb3;Ccna2;Creb1;Rheb;Pik3r1;Fasn;Creb5;Pfkfb1;Pfkfb3;Pfkfb2;Pfkfb4;Irs1;Irs2;Eif4ebp1;Slc2a4;Irs4;Igf1r;Stk11;Eef2k;Lipe;Leprot;Strada;Stradb;Ppp2r5c;Ppp2r5b;Ppp2r5e;Ppp2r5d;Sirt1;Ppp2r5a;G6pc3;Pik3cb;Pik3ca;Akt1s1;Fbp1;Srgap2;Cab39l;Pik3r3;Adipor1;Pik3r2;Adipor2;Elavl1;Acacb;Acaca;Ppp2r3d;Hnf4a;Cd36;Pck2;Cpt1b;Cpt1a;Pdpk1;Ppp2r3a;Ppp2r3c;Mtor;Cpt1c;Rab11b;Ppp2ca;Tbc1d1;Pfkm;Pfkl;Rab10;Ppp2r2d;Rps6kb2;Rps6kb1;Rab14;Pparg;Pfkp;Cab39;Prkag2;Pik3cd;Hmgcr;Ppp2r2a;Prkag1;Camkk2;Gys1;Ppp2cb;Gys2;Rptor;Ppp2r1b;Rab8a;Scd4;Mlycd;Scd1;Scd2"
"Acute myeloid leukemia","Dusp6;Jup;Bad;Zbtb16;Runx1;Braf;Pml;Pik3cb;Pik3ca;Rara;Sos2;Raf1;Sos1;Lef1;Rela;Csf2;Pik3r3;Mpo;Pik3r2;Araf;Nras;Ccnd1;Akt3;Myc;Akt1;Akt2;Runx1t1;Stat5b;Map2k2;Tcf7l2;Tcf7l1;Map2k1;Chuk;Stat3;Nfkb1;Mtor;Per2;Kit;Pik3r1;Rps6kb2;Rps6kb1;Tcf7;Kras;Grb2;Ppard;Csf1r;Cebpa;Spi1;Cebpe;Flt3;Eif4ebp1;Pik3cd;Itgam;Ikbkb;Mapk3;Pim2;Pim1;Bcl2a1d;Mapk1;Hras;Bcl2a1b;Ikbkg;Stat5a"
"Adherens junction","Ptpn1;Rhoa;Actn4;Actn1;Lmo7;Baiap2;Tgfbr1;Tgfbr2;Afdn;Ptprf;Fer;Ptpn6;Lef1;Ctnnd1;Iqgap1;Ptprj;Egfr;Actb;Cdh1;Wasf1;Map3k7;Wasf2;Acp1;Yes1;Smad3;Crebbp;Farp2;Insr;Smad2;Tcf7l2;Tcf7l1;Smad4;Csnk2a2;Csnk2a1;Sorbs1;Pard3;Cdc42;Tjp1;Csnk2b;Fgfr1;Tcf7;Nectin1;Snai1;Ssx2ip;Nectin4;Nectin3;Vcl;Nectin2;Src;Ctnnb1;Actg1;Was;Wasl;Nlk;Igf1r;Ep300;Ctnna2;Mapk3;Rac3;Ctnna1;Rac1;Mapk1;Rac2;Fyn"
"Adipocytokine signaling pathway","Acsl3;Acsl1;Ptpn11;Acsl5;Acsl4;Prkab1;Prkab2;Tnfrsf1a;Tnfrsf1b;Nfkbib;Nfkbia;G6pc3;Agrp;Nfkbie;Rela;Tradd;Tnf;Adipor1;Adipor2;Prkaa1;Acacb;Socs3;Rxra;Rxrb;Akt3;Akt1;Akt2;Rxrg;Cd36;Ppargc1a;Pck2;Cpt1b;Cpt1a;Chuk;Stat3;Traf2;Nfkb1;Mtor;Cpt1c;Pomc;Prkcq;Acsbg1;Irs1;Irs2;Slc2a1;Prkag2;Slc2a4;Irs4;Prkag1;Camkk2;Ikbkb;Stk11;Mapk9;Mapk8;Leprot;Ikbkg;Jak2"
"Adrenergic signaling in cardiomyocytes","Tpm4;Tpm3;Cacna2d2;Tpm2;Cacna2d4;Ppp2r1a;Atp1b3;Atp1b2;Atp1b1;Mgmt;Mapk13;Ppp1ca;Ppp1cb;Mapk14;Mapk11;Mapk12;Myl4;Calm2;Calm3;Calm1;Atf2;Adcy1;Atf6b;Adcy4;Atp1a3;Adcy3;Atp1a2;Atp1a1;Adcy9;Adcy7;Slc9a1;Adcy6;Ppp1cc;Creb3l1;Creb3l2;Akt3;Akt1;Tpm1;Akt2;Prkca;Cacnb2;Creb3;Cacnb3;Creb1;Gnaq;Gnas;Creb5;Atf4;Cacnb1;Cacna1c;Crem;Cacna1d;Cacna1s;Prkacb;Prkaca;Scn1b;Ppp2r5c;Ppp2r5b;Ppp2r5e;Ppp2r5d;Ppp2r5a;Fxyd2;Bcl2;Rapgef3;Scn4b;Rapgef4;Pik3r5;Adrb1;Adrb2;Adra1b;Pik3r6;Ppp2r3d;Ppp2r3a;Atp2b4;Ppp2r3c;Atp2b2;Atp2b1;Ppp2ca;Plcb4;Ppp2r2d;Plcb2;Plcb3;Ryr2;Camk2d;Camk2a;Camk2b;Atp2a2;Ppp2r2a;Slc8a1;Gnai2;Gnai3;Pik3cg;Rps6ka5;Ppp2cb;Ppp2r1b;Mapk3;Scn5a;Tnni3;Mapk1;Camk2g;Cacng4"
"African trypanosomiasis","Prkcg;Il10;Prkcb;Il18;Prkca;Hbb-bt;Vcam1;Il1b;Myd88;Plcb4;Fasl;Il6;Fas;Ifng;Gnaq;F2rl1;Tlr9;Thop1;Plcb2;Plcb3;Lama4;Hba-a1;Tnf;Hbb-b1;Icam1;Il12a"
"Alanine, aspartate and glutamate metabolism","Cad;Gfpt1;Got2;Adsl;Got1;Gpt2;Gfpt2;Asns;Aldh5a1;Glud1;Ass1;Aldh4a1;Nit2;Nat8l;Gls2;Gpt;Gls;Abat;Il4i1;Ppat;Asl;Glul;Rimkla"
"Alcoholism","Grin2d;Calm2;Calm3;Calm1;Atf2;Araf;Gng2;Creb3l1;Gng4;Gng5;Creb3l2;Gng7;Ppp1r1b;Pkia;Grb2;Atf4;Hdac11;Hdac10;Gng10;Prkaca;H3f3a;H3f3b;Braf;Gng12;Camk4;Maoa;Gngt2;Slc18a2;Fosb;Slc29a1;Camkk1;Gnai2;Camkk2;Gnai3;Hras;Ppp1ca;Ppp1cb;Hat1;Raf1;Atf6b;Ppp1cc;Nras;Map2k1;Creb3;Creb1;Gnb1;Gnb2;Gnb5;Gnas;Gnb4;Creb5;Adora2b;Adora2a;Gnao1;Sos2;Sos1;Shc4;Shc1;Kras;Hdac5;Hdac6;Hdac3;Hdac4;Ddc;Hdac1;Hdac2;Hdac9;Hdac7;Hdac8;Mapk3;Mapk1"
"Aldosterone synthesis and secretion","Atp1b3;Atp1b2;Atp1b1;Mgmt;Orai1;Calm2;Calm3;Calm1;Atf2;Atf1;Adcy1;Atf6b;Adcy4;Atp1a3;Adcy3;Atp1a2;Atp1a1;Adcy9;Adcy7;Adcy6;Creb3l1;Creb3l2;Ldlr;Prkcg;Prkce;Prkcb;Prkca;Creb3;Nr4a2;Creb1;Star;Gnaq;Gnas;Prkd3;Prkd2;Creb5;Atf4;Cacna1c;Cacna1d;Nr4a1;Lipe;Cyp11a1;Cacna1s;Prkacb;Prkaca;Camk4;Camk1;Dagla;Daglb;Npr1;Itpr2;Itpr3;Itpr1;Camk1d;Atp2b4;Atp2b2;Atp2b1;Pomc;Plcb4;Plcb2;Camk1g;Plcb3;Camk2d;Camk2a;Camk2b;Gna11;Camk2g;Scarb1"
"Aldosterone-regulated sodium reabsorption","Insr;Prkcg;Pdpk1;Prkcb;Igf1;Atp1b3;Prkca;Atp1b2;Atp1b1;Pik3cb;Pik3r1;Pik3ca;Fxyd2;Kras;Sgk1;Irs1;Scnn1a;Nedd4l;Pik3cd;Pik3r3;Atp1a3;Atp1a2;Pik3r2;Atp1a1;Nr3c2;Mapk3;Mapk1;Sfn"
