"sample_id","broad_annotation","cells","median","q95"
"M104","B_cell_reference",14,0.0140037948489928,0.0201832158224162
"M104","Erythroid_reference",2,0.00828723346401533,0.013432949113519
"M104","Myeloid_reference",6,0.00999299500784153,0.0202691509533496
"M127","Erythroid_reference",14,0.00560149044500791,0.0295919403225974
"M127","Myeloid_reference",186,0.00584608921125564,0.011810077359777
"M143","B_cell_reference",38,0.0120286589493326,0.0219281015615947
"M143","Erythroid_reference",9,0.00495965981240628,0.0089420579958395
"M143","Myeloid_reference",3,0.00781027513878335,0.0179655193952282
"M148","B_cell_reference",4,0.0174399785610889,0.0266892895513711
"M148","Erythroid_reference",55,0.0036741124915626,0.0218016151778212
"M148","Myeloid_reference",21,0.0132575016357965,0.0265672224384669
"M148","pDC_reference",7,0.00664329350133974,0.00983792041219307
"M187","B_cell_reference",192,0.017787577233759,0.0319690225843579
"M187","Erythroid_reference",9,0.0190406957777293,0.0414645955671328
"M187","Myeloid_reference",44,0.0136374033202784,0.0271273090983618
"M187","pDC_reference",19,0.00696257310369591,0.0133159493235465
"M187r","B_cell_reference",211,0.0111294821140315,0.0233038612816813
"M187r","Erythroid_reference",8,0.00624534461318252,0.0218298435135707
"M187r","Myeloid_reference",24,0.0100627887642584,0.0246396124347052
"M187r","pDC_reference",1,0.0121354010275014,0.0121354010275014
