"sample_id","patient_pair","condition_simple","cells","analysis"
"M104","P1","diagnosis",140,"global25"
"M127","P1","relapse",971,"global25"
"M143","P2","diagnosis",712,"global25"
"M148","P2","relapse",269,"global25"
"M187","P3","diagnosis",456,"global25"
"M187r","P3","relapse",659,"global25"
"M104","P1","diagnosis",434,"within15"
"M127","P1","relapse",449,"within15"
"M143","P2","diagnosis",342,"within15"
"M148","P2","relapse",295,"within15"
"M187","P3","diagnosis",107,"within15"
"M187r","P3","relapse",299,"within15"
"M104","P1","diagnosis",723,"within25"
"M127","P1","relapse",748,"within25"
"M143","P2","diagnosis",570,"within25"
"M148","P2","relapse",492,"within25"
"M187","P3","diagnosis",179,"within25"
"M187r","P3","relapse",498,"within25"
"M104","P1","diagnosis",66,"reference95"
"M127","P1","relapse",659,"reference95"
"M143","P2","diagnosis",440,"reference95"
"M148","P2","relapse",144,"reference95"
"M187","P3","diagnosis",350,"reference95"
"M187r","P3","relapse",319,"reference95"
