"cluster_res0.6","sample_id","n","analysis"
"0","M104",90,"global25"
"0","M127",50,"global25"
"1","M104",1,"global25"
"1","M127",877,"global25"
"10","M143",7,"global25"
"10","M148",82,"global25"
"10","M187",307,"global25"
"10","M187r",56,"global25"
"12","M104",41,"global25"
"12","M127",28,"global25"
"12","M143",148,"global25"
"12","M148",7,"global25"
"12","M187",76,"global25"
"12","M187r",5,"global25"
"15","M143",33,"global25"
"15","M148",3,"global25"
"15","M187",1,"global25"
"17","M143",1,"global25"
"18","M187",3,"global25"
"18","M187r",3,"global25"
"2","M143",504,"global25"
"2","M148",7,"global25"
"3","M148",110,"global25"
"4","M127",2,"global25"
"4","M148",8,"global25"
"4","M187",4,"global25"
"4","M187r",11,"global25"
"5","M187",8,"global25"
"5","M187r",165,"global25"
"6","M148",1,"global25"
"6","M187",3,"global25"
"6","M187r",393,"global25"
"7","M104",3,"global25"
"7","M143",1,"global25"
"7","M148",19,"global25"
"7","M187",4,"global25"
"7","M187r",4,"global25"
"8","M104",5,"global25"
"8","M127",2,"global25"
"8","M143",3,"global25"
"8","M148",21,"global25"
"8","M187",14,"global25"
"8","M187r",13,"global25"
"9","M127",12,"global25"
"9","M143",15,"global25"
"9","M148",11,"global25"
"9","M187",36,"global25"
"9","M187r",9,"global25"
"0","M104",329,"within15"
"0","M127",5,"within15"
"1","M104",1,"within15"
"1","M127",422,"within15"
"10","M143",3,"within15"
"10","M148",94,"within15"
"10","M187",46,"within15"
"10","M187r",26,"within15"
"12","M104",54,"within15"
"12","M127",18,"within15"
"12","M143",136,"within15"
"12","M148",8,"within15"
"12","M187",51,"within15"
"12","M187r",5,"within15"
"15","M143",23,"within15"
"15","M148",3,"within15"
"18","M104",1,"within15"
"18","M187",2,"within15"
"18","M187r",3,"within15"
"2","M143",177,"within15"
"2","M148",7,"within15"
"3","M148",119,"within15"
"4","M104",14,"within15"
"4","M127",1,"within15"
"4","M148",8,"within15"
"4","M187r",2,"within15"
"5","M187r",53,"within15"
"6","M148",1,"within15"
"6","M187",1,"within15"
"6","M187r",202,"within15"
"7","M104",14,"within15"
"7","M148",19,"within15"
"7","M187",2,"within15"
"7","M187r",2,"within15"
"8","M104",19,"within15"
"8","M127",2,"within15"
"8","M143",2,"within15"
"8","M148",21,"within15"
"8","M187",2,"within15"
"8","M187r",4,"within15"
"9","M104",2,"within15"
"9","M127",1,"within15"
"9","M143",1,"within15"
"9","M148",15,"within15"
"9","M187",3,"within15"
"9","M187r",2,"within15"
"0","M104",542,"within25"
"0","M127",27,"within25"
"1","M104",1,"within25"
"1","M127",691,"within25"
"10","M143",6,"within25"
"10","M148",136,"within25"
"10","M187",95,"within25"
"10","M187r",43,"within25"
"12","M104",60,"within25"
"12","M127",23,"within25"
"12","M143",144,"within25"
"12","M148",8,"within25"
"12","M187",68,"within25"
"12","M187r",5,"within25"
"15","M143",28,"within25"
"15","M148",3,"within25"
"15","M187",1,"within25"
"18","M104",1,"within25"
"18","M187",2,"within25"
"18","M187r",3,"within25"
"2","M143",381,"within25"
"2","M148",8,"within25"
"3","M148",223,"within25"
"4","M104",26,"within25"
"4","M127",2,"within25"
"4","M148",18,"within25"
"4","M187r",7,"within25"
"5","M187",1,"within25"
"5","M187r",97,"within25"
"6","M148",1,"within25"
"6","M187",2,"within25"
"6","M187r",325,"within25"
"7","M104",39,"within25"
"7","M143",1,"within25"
"7","M148",28,"within25"
"7","M187",2,"within25"
"7","M187r",2,"within25"
"8","M104",48,"within25"
"8","M127",2,"within25"
"8","M143",3,"within25"
"8","M148",37,"within25"
"8","M187",2,"within25"
"8","M187r",10,"within25"
"9","M104",6,"within25"
"9","M127",3,"within25"
"9","M143",7,"within25"
"9","M148",30,"within25"
"9","M187",6,"within25"
"9","M187r",6,"within25"
"0","M104",29,"reference95"
"0","M127",19,"reference95"
"1","M104",1,"reference95"
"1","M127",614,"reference95"
"10","M143",5,"reference95"
"10","M148",38,"reference95"
"10","M187",235,"reference95"
"10","M187r",27,"reference95"
"12","M104",34,"reference95"
"12","M127",19,"reference95"
"12","M143",142,"reference95"
"12","M148",7,"reference95"
"12","M187",75,"reference95"
"12","M187r",5,"reference95"
"15","M143",25,"reference95"
"15","M148",2,"reference95"
"15","M187",1,"reference95"
"18","M187",3,"reference95"
"18","M187r",3,"reference95"
"2","M143",263,"reference95"
"2","M148",4,"reference95"
"3","M148",61,"reference95"
"4","M127",2,"reference95"
"4","M148",5,"reference95"
"4","M187",1,"reference95"
"4","M187r",2,"reference95"
"5","M187",2,"reference95"
"5","M187r",61,"reference95"
"6","M148",1,"reference95"
"6","M187",3,"reference95"
"6","M187r",213,"reference95"
"7","M148",9,"reference95"
"7","M187",2,"reference95"
"7","M187r",2,"reference95"
"8","M104",2,"reference95"
"8","M127",2,"reference95"
"8","M143",2,"reference95"
"8","M148",14,"reference95"
"8","M187",8,"reference95"
"8","M187r",4,"reference95"
"9","M127",3,"reference95"
"9","M143",3,"reference95"
"9","M148",3,"reference95"
"9","M187",20,"reference95"
"9","M187r",2,"reference95"
