"analysis","pathway","patient_pair","diagnosis","relapse","delta"
"global25","Proteasome","P1",6.15964327041615,6.65874577599196,0.49910250557581
"global25","Proteasome","P2",6.28502834031236,6.57429496054856,0.289266620236197
"global25","Proteasome","P3",6.53682320406587,6.74979351742432,0.212970313358446
"global25","Autophagy - other","P1",4.95857147182385,4.31566963269825,-0.642901839125599
"global25","Autophagy - other","P2",4.93177708239791,4.51542598824903,-0.41635109414888
"global25","Autophagy - other","P3",4.93310175117372,4.78490456156608,-0.148197189607646
"global25","Mitophagy - animal","P1",5.46292124297318,6.38044475458177,0.917523511608593
"global25","Mitophagy - animal","P2",5.4602748243836,5.73586887943096,0.275594055047358
"global25","Mitophagy - animal","P3",5.45637231864614,5.73250915879102,0.27613684014488
"global25","Autophagy - animal","P1",5.16022315108136,4.62527421676624,-0.534948934315121
"global25","Autophagy - animal","P2",5.23729064122581,4.69934289786057,-0.537947743365242
"global25","Autophagy - animal","P3",4.87429142361132,4.63818483884691,-0.236106584764405
"within15","Proteasome","P1",6.79353548961205,6.92706792830687,0.133532438694821
"within15","Proteasome","P2",6.2576087319753,6.97107179183104,0.713463059855735
"within15","Proteasome","P3",6.30459144064662,6.88307625114854,0.578484810501916
"within15","Autophagy - other","P1",5.14748315045144,4.16743767038319,-0.980045480068245
"within15","Autophagy - other","P2",5.80712595777757,5.04054597170094,-0.766579986076629
"within15","Autophagy - other","P3",5.49229761184008,4.69169433277353,-0.800603279066545
"within15","Mitophagy - animal","P1",6.24646327784876,6.94404829113097,0.697585013282207
"within15","Mitophagy - animal","P2",5.92736302596444,6.12457316890101,0.197210142936576
"within15","Mitophagy - animal","P3",5.5651354722052,6.19378345549218,0.628647983286979
"within15","Autophagy - animal","P1",4.88783697348985,4.36304417715226,-0.524792796337593
"within15","Autophagy - animal","P2",5.35727516430105,4.74287059817333,-0.614404566127719
"within15","Autophagy - animal","P3",5.26563432068259,4.58906542473393,-0.676568895948653
"within25","Proteasome","P1",6.49491946930164,6.61637751800723,0.121458048705591
"within25","Proteasome","P2",6.19445625565088,6.72410173879039,0.529645483139511
"within25","Proteasome","P3",6.21727196040027,6.62879593488909,0.411523974488819
"within25","Autophagy - other","P1",4.93000387384062,4.07889112893184,-0.851112744908779
"within25","Autophagy - other","P2",4.94446833569474,4.74101501902715,-0.203453316667588
"within25","Autophagy - other","P3",4.94845972877127,4.81432266298832,-0.134137065782953
"within25","Mitophagy - animal","P1",6.09040122046395,6.83538449100782,0.744983270543873
"within25","Mitophagy - animal","P2",5.92541557840684,6.08986460204491,0.164449023638076
"within25","Mitophagy - animal","P3",5.54439293505614,6.18900985004755,0.644616914991407
"within25","Autophagy - animal","P1",4.7362528017089,4.28171849530586,-0.454534306403038
"within25","Autophagy - animal","P2",5.10247337945035,4.5637339917717,-0.538739387678649
"within25","Autophagy - animal","P3",4.92184944836051,4.5102701424486,-0.411579305911902
"reference95","Proteasome","P1",6.13720794414449,6.94255807481411,0.805350130669621
"reference95","Proteasome","P2",6.40532581162966,6.71853342807205,0.313207616442386
"reference95","Proteasome","P3",6.60208970036436,6.72520048783245,0.123110787468092
"reference95","Autophagy - other","P1",5.70788576954873,4.91486971509035,-0.793016054458375
"reference95","Autophagy - other","P2",5.56777444236114,5.18900889263925,-0.378765549721891
"reference95","Autophagy - other","P3",5.32081973197282,5.16467592432508,-0.156143807647742
"reference95","Mitophagy - animal","P1",5.79705687625583,6.81565115969363,1.0185942834378
"reference95","Mitophagy - animal","P2",5.88549995253484,6.00398248784057,0.118482535305734
"reference95","Mitophagy - animal","P3",5.71179032982699,6.06982660008327,0.358036270256281
"reference95","Autophagy - animal","P1",5.61745338918498,4.82198394075606,-0.795469448428929
"reference95","Autophagy - animal","P2",5.6609630326681,4.90304943786628,-0.757913594801824
"reference95","Autophagy - animal","P3",5.25475038684573,4.87029000303371,-0.384460383812022
