"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Ribosome",2.78854566712617,6.71946222487357e-23,2.37197016538037e-20,"Up",166,"RPL39L;MRPS18A;RPL30;MRPL54;MRPL15;AURKAIP1;RPL21;RPL26L1;RPS4Y1;UBA52;RPS16;RPS13;RPL8;MRPL33;RPS27;RPL7;RPS15A;MRPS23;RPL23A;RPS27A;RPLP2;RPLP1;RPL37;RPS7;RPS28;RPL35A;RPS20;RPL27;RPS6;RPL38;MRPL43;RPS29;RPL18A;RPL36AL;RPL39;RPL17;RPL36;RPL11;RPS24;RPL9;RPS3A;RPL19;RPS4X;FAU;MRPL47;RPS25;RPL32;RPL27A;RPS19;RPS3;RPL22;RPS14;RPL24;MRPL58;RPL5;RPL18;MRPS2;RPS17;RPL37A;RPS12;RPL35;RPL34;MRPS7;RPS9;RPL13A;MRPS6;RPL3;RPS23;MRPL21;RPL23;RPL29;MRPL13;RPL14;RPS18;RPL12;RPL15;MRPL17;RPS2;RPL4;RPL6;RPL13;RPS21;MRPL36;GADD45GIP1;RPL10;RPS26;RPL7A;RPS15;RPLP0;MRPL41;RPS5;RPL41;RPL10A;RPL31;MRPL40;MRPS30;RPL36A;MRPS17;MRPS15;RPS8;MRPL20;MRPL50;MRPL27"
"Coronavirus disease",2.80069167867997,1.01451938277372e-21,1.79062671059562e-19,"Up",147,"FOS;RPL39L;RPL30;STAT3;RPL21;RELA;RPL26L1;RPS4Y1;PRKCA;UBA52;RPS16;RPS13;RPL8;RPS27;RPL7;RPS15A;RPL23A;RPS27A;RPLP2;RPLP1;RPL37;MYD88;RPS7;RPS28;RPL35A;TRAF3;RPS20;RPL27;OAS3;RPS6;RPL38;RPS29;RPL18A;RPL36AL;IL1B;RPL39;RPL17;RPL36;RPL11;RPS24;RPL9;RPS3A;RPL19;RPS4X;FAU;RPS25;RPL32;RPL27A;RPS19;RPS3;RPL22;RPS14;RPL24;RPL5;RPL18;RPS17;RPL37A;RPS12;RPL35;RPL34;CASP1;RPS9;RPL13A;NFKBIB;RPL3;RPS23;RPL23;RPL29;OAS2;RPL14;IRAK1;RPS18;RPL12;RPL15;RPS2;JAK1;RPL4;RPL6;RPL13;RPS21;IRF9;NFKB1;RPL10;RPS26;PIK3R3;RPL7A;RPS15;RPLP0;RPS5;RPL41;MAPK9;RPL10A;RPL31;RPL36A"
"Parkinson disease",2.22834006320543,1.15714016164059e-11,1.36156825686376e-09,"Up",199,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;GNAS;NDUFA12;COX7A2;SLC25A5;COX7B;RPS27A;ATP5PF;TXN2;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;CYC1;SLC18A2;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;UBE2J2;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;ATP5F1A;DUSP1;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;NDUFA1;SDHB;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;UBB;SEM1;MFN2;PSMA4;XBP1;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;SLC39A8;TXN;UBA7;UBE2L3;HTRA2;GNAI2;PSMC1;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;KEAP1;UQCRQ"
"Oxidative phosphorylation",2.38066145734668,1.23871807156662e-10,1.09316869815754e-08,"Up",102,"NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;UQCRH;ATP6V0A4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;NDUFA12;ATP6V0C;COX7A2;COX7B;ATP5PF;NDUFB9;ATP6V1G1;UQCRB;CYC1;ATP5F1C;UQCR11;COX8A;ATP6V0D1;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;ATP6V0E1;NDUFB2;NDUFS4;NDUFS3;ATP6V1F;NDUFA1;SDHB;ATP5MC3;UQCR10;ATP5ME;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;COX17;PPA1;ATP5MF;NDUFS5;COX7C;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ"
"Chemical carcinogenesis - reactive oxygen species",2.17036917112854,1.94646150830533e-09,1.37420182486356e-07,"Up",153,"FOS;NCF1;NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;CYBA;AKR1C1;VDAC1;RELA;UQCRH;EPHX2;COX4I1;COX6C;GSTO1;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;PTPRJ;UQCRB;CYC1;VDAC2;ATP5F1C;SOD2;UQCR11;COX8A;PRKD2;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;SOD1;NFKB1;GRB2;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;UQCR10;ACP1;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;AKR1C3;KRAS;CHUK;NDUFS5;COX7C;COX5B;NDUFB3;MGST3;UQCRFS1;CBR1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;KEAP1;UQCRQ"
"Prion disease",2.04760232657734,1.33620266338888e-08,7.86132566960456e-07,"Up",189,"NCF1;NDUFAB1;EGR1;TUBA4A;STIP1;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;CYBA;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;CCL5;PSMB3;TUBB2A;BAX;UQCRB;IL1B;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;RAC2;CSNK2B;PSMC1;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;COX5B;CREB3L3;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ"
"Pathways of neurodegeneration - multiple diseases",1.82902586281934,8.05002040853385e-08,4.05951029173207e-06,"Up",307,"CALM1;NDUFAB1;TUBA4A;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;RELA;UQCRH;PSMB1;COX4I1;FRAT2;PRKCA;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;SLC25A5;COX7B;RPS27A;ATP5PF;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;UBE2J2;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;RAB8A;NDUFB11;TANK;RAB5A;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;SOD1;FAS;NFKB1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;MAPK9;PSMC5;UQCR10;UBB;SEM1;FZD6;MFN2;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;CSNK2B;UBA7;UBE2L3;KRAS;HTRA2;ATXN1L;PSMC1;ATG101;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;BCL2;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;SPTBN2"
"Huntington disease",1.92269031494192,1.18837375282236e-07,5.24369918432866e-06,"Up",222,"NDUFAB1;TUBA4A;CLTB;COX7A2L;ADRM1;POLR2D;TAF4B;ATP5F1B;COX5A;NDUFA6;BBC3;VDAC1;UQCRH;PSMB1;COX4I1;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;POLR2C;PSMB3;TUBB2A;BAX;UQCRB;CYC1;TFAM;PSMA7;PSMD12;VDAC2;ATP5F1C;SOD2;UQCR11;COX8A;TBPL1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;HDAC1;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;SOD1;POLR2K;PSMC4;SIN3A;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;POLR2G;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;POLR2E;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;AP2S1;POLR2L;PSMC1;ATG101;TUBA1B;HDAC2;NDUFS5;PSMD6;COX7C;PSMA3;COX5B;RCOR1;CREB3L3;ULK2;NDUFB3;PLCB4;UQCRFS1;NDUFA7;POLR2H;NDUFS6;ATP5PD;NDUFB6;POLR2I;UQCRQ"
"Thermogenesis",1.92270578612596,1.08740448504203e-06,4.26504203577596e-05,"Up",168,"ACTB;NDUFAB1;ACTG1;COX7A2L;NDUFAF8;COX16;ATP5F1B;COX5A;NDUFA6;UQCRH;SMARCD3;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;GNAS;NDUFA12;MAP2K3;COX7A2;COX7B;ATP5PF;PRKAG2;NDUFB9;RPS6;UQCRB;CYC1;NDUFAF6;ATP5F1C;NDUFAF2;UQCR11;COX8A;ADCY7;COX19;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;COA4;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;GRB2;NDUFA1;SDHB;ATP5MC3;NDUFAF4;UQCR10;CPT2;ATP5ME;UQCRHL;ACSL4;ATP5MC1;ATP5MC2;COX6B1;RPS6KA3;NDUFB4;SLC25A20;SMARCD2;KRAS;COX17;ACSL5;CPT1A;ATP5MF;NDUFS5;COX7C;COX5B;COA1;CREB3L3;NDUFB3;UQCRFS1;NRAS;NDUFA7;RPS6KB1;NDUFS6;ATP5PD;NDUFB6;UQCRQ;PRKAB1;SMARCC1;PNPLA2;NDUFA11;RPS6KB2"
"Natural killer cell mediated cytotoxicity",2.1074543572367,2.08983516667159e-06,6.77681951144806e-05,"Up",73,"NCR3;KIR3DL2;FCER1G;HLA-C;CD48;LAT2;TNFSF10;HCST;LCP2;HLA-B;CD247;NFATC2;CD244;PRKCA;HLA-E;HLA-A;RAC1;ICAM2;BID;ITGB2;IFNGR2;PPP3R1;KLRK1;MAP2K1;NFATC1;FAS;GRB2;PIK3R3"
