"pathway","dataset","contrast","NES","FDR","direction","leading_edge_n","cross_dataset_leading_edge_overlap_n","cross_dataset_leading_edge_overlap","significance"
"Oxidative phosphorylation","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.94058599087587,0.00168353396409522,"relapse_up",50,26,"COX5A;NDUFA6;NDUFA12;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;ATP6V0D1;NDUFB7;NDUFB9;NDUFS3;COX7B;SDHB;COX17;UQCR11;ATP6V1G1;NDUFA8;NDUFB11;LHPP;NDUFA1;ATP6V0B;COX7A2","FDR < 0.05"
"Oxidative phosphorylation","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",2.31861080913684,0.000879507475813544,"STAT5B_N642H_up",69,26,"COX5A;NDUFA6;NDUFA12;CYC1;UQCRH;COX6A1;COX7A2L;COX8A;COX6C;NDUFV2;COX4I1;ATP6V0D1;NDUFB7;NDUFB9;NDUFS3;COX7B;SDHB;COX17;UQCR11;ATP6V1G1;NDUFA8;NDUFB11;LHPP;NDUFA1;ATP6V0B;COX7A2","FDR < 0.05"
"Mitophagy","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.44241575371799,0.0998428797387919,"relapse_up",31,10,"RELA;OPTN;TFE3;ATF4;BECN1;CSNK2A2;MFN2;CSNK2A1;PGAM5;BNIP3","FDR < 0.10"
"Mitophagy","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",1.55696250950632,0.0337483264909529,"STAT5B_N642H_up",30,10,"RELA;OPTN;TFE3;ATF4;BECN1;CSNK2A2;MFN2;CSNK2A1;PGAM5;BNIP3","FDR < 0.05"
"Proteasome","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.52779981316517,0.108814105599378,"relapse_up",22,13,"PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMC3;PSMB3;SEM1;PSMD2;PSMA4;PSMC1","Not significant"
"Proteasome","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",1.88524157497978,0.00143773872453405,"STAT5B_N642H_up",26,13,"PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMC3;PSMB3;SEM1;PSMD2;PSMA4;PSMC1","FDR < 0.05"
"Ribosome","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.81898817570886,0.00129799008617765,"relapse_up",95,47,"MRPL15;MRPS18A;MRPS6;MRPL33;RPL30;MRPL24;RPL8;RPLP1;MRPL20;MRPL27;RPLP2;RPL4;RPL7;RPS7;RPL37;MRPL14;RPL18A;RPS28;RPL38;RPS27L;RPS20;RPS15A;RPL19;RPS25;MRPL21;RPL27A;RPS21;RPS24;RPL14;RPL23;RPS3;RPS19;RPL13A;RPL22;RPL35;RSL24D1;RPL39;RPL11;RPL36A;RPS14;RPL35A;MRPL12;RPL37A;RPL18;MRPL2;RPL32;RPL17","FDR < 0.05"
"Ribosome","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",1.75342119171876,0.00134468848050202,"STAT5B_N642H_up",80,47,"MRPL15;MRPS18A;MRPS6;MRPL33;RPL30;MRPL24;RPL8;RPLP1;MRPL20;MRPL27;RPLP2;RPL4;RPL7;RPS7;RPL37;MRPL14;RPL18A;RPS28;RPL38;RPS27L;RPS20;RPS15A;RPL19;RPS25;MRPL21;RPL27A;RPS21;RPS24;RPL14;RPL23;RPS3;RPS19;RPL13A;RPL22;RPL35;RSL24D1;RPL39;RPL11;RPL36A;RPS14;RPL35A;MRPL12;RPL37A;RPL18;MRPL2;RPL32;RPL17","FDR < 0.05"
"Ribosome biogenesis","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",2.00495379721182,0.00168353396409522,"relapse_up",33,8,"EIF6;RRP7A;RIOK1;POP7;IMP3;NHP2;CSNK2A2;CSNK2A1","FDR < 0.05"
"Ribosome biogenesis","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",0.501979614018597,0.999162278602202,"STAT5B_N642H_up",21,8,"EIF6;RRP7A;RIOK1;POP7;IMP3;NHP2;CSNK2A2;CSNK2A1","Not significant"
"Spliceosome","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.59273122926837,0.0174554565579204,"relapse_up",63,27,"EIF4A3;SNRPD1;PUF60;MAGOH;SNRPB2;RBM17;SRSF3;RP9;PPIH;TXNL4A;HNRNPC;SNRPE;SNRPA1;PPIL1;SF3B6;SNRPF;SRSF9;PQBP1;BUD31;PRPF6;RBM8A;SNRPG;TRA2B;CCDC12;ZMAT2;MAGOHB;LSM6","FDR < 0.05"
"Spliceosome","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",0.971652503699455,0.661591205365921,"STAT5B_N642H_up",54,27,"EIF4A3;SNRPD1;PUF60;MAGOH;SNRPB2;RBM17;SRSF3;RP9;PPIH;TXNL4A;HNRNPC;SNRPE;SNRPA1;PPIL1;SF3B6;SNRPF;SRSF9;PQBP1;BUD31;PRPF6;RBM8A;SNRPG;TRA2B;CCDC12;ZMAT2;MAGOHB;LSM6","Not significant"
"DNA replication","Relapse scRNA-seq","Relapse vs diagnosis; paired pseudobulk",1.91391671986323,0.0174238195499497,"relapse_up",17,9,"MCM4;PCNA;MCM6;RFC5;RFC4;MCM2;POLA1;POLA2;POLE","FDR < 0.05"
"DNA replication","STAT5B N642H bulk RNA-seq","STAT5B N642H; Rag2-/- DN vs Rag2-/- DN",-1.79800967337495,0.0130891955962129,"STAT5B_N642H_down",16,9,"MCM4;PCNA;MCM6;RFC5;RFC4;MCM2;POLA1;POLA2;POLE","FDR < 0.05"
