"key","Pathway","sc_NES","sc_FDR","sc_P","sc_genes","bulk_NES","bulk_FDR","bulk_P","bulk_genes","analysis","tested_in_both","sc_significant","bulk_significant","same_direction","shared_FDR010"
"parkinsondisease","Parkinson disease",1.94573458613524,5.26915901833076e-05,1.49267960859228e-07,202,2.0684179570893,2.08307663555114e-06,4.86051214961933e-08,104,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"ribosome","Ribosome",1.83560693503016,0.00132721187060578,1.12794209966497e-05,169,1.7584512387432,0.000357681829111984,5.00754560756778e-05,128,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"oxidativephosphorylation","Oxidative phosphorylation",1.92425332524395,0.00145535521092792,1.85561412537505e-05,103,2.32573962367758,1.0010207848103e-09,6.67347189873532e-12,98,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"epsteinbarrvirusinfection","Epstein-Barr virus infection",1.70466272853195,0.00613937000645299,0.000173919830211133,158,1.82893222116747,1.37326048464215e-05,6.40854892833002e-07,183,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"alzheimerdisease","Alzheimer disease",1.54894812238928,0.00910889619341083,0.000309650862098952,262,1.93359210446271,4.87192110939931e-06,1.94876844375972e-07,137,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"th1andth2celldifferentiation","Th1 and Th2 cell differentiation",1.82437043033429,0.0100298175671968,0.000461845158744447,68,1.83823280331253,0.000524784815992789,8.39655705588463e-05,80,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"humantcellleukemiavirus1infection","Human T-cell leukemia virus 1 infection",1.61793238281026,0.0100298175671968,0.000483022375757353,174,1.53337420511574,0.0054214092888456,0.00124692413643449,205,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"huntingtondisease","Huntington disease",1.52497350778328,0.018881935961118,0.00117677787859659,225,1.84093727250083,4.16630600922178e-05,3.0552910734293e-06,149,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"thermogenesis","Thermogenesis",1.55226944852873,0.0214676686162703,0.00139874328094679,173,1.77576585442133,4.931029881716e-05,4.10919156809667e-06,178,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"th17celldifferentiation","Th17 cell differentiation",1.66482447655362,0.0351343665576568,0.00253029326816233,82,2.03914503766541,3.81258599088818e-06,1.397948196659e-07,96,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"humancytomegalovirusinfection","Human cytomegalovirus infection",1.53759729576499,0.0351343665576568,0.00258780036968577,152,1.70161947819344,0.000212329685233275,2.40640309931045e-05,191,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"cardiacmusclecontraction","Cardiac muscle contraction",1.75303712790883,0.0400935665115851,0.00318022623887927,37,1.94049707741605,0.000330711567045533,4.51972474962229e-05,54,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"naturalkillercellmediatedcytotoxicity","Natural killer cell mediated cytotoxicity",1.79471680675138,0.0093537678157997,0.000383752080246996,76,1.44859888567011,0.0489033450503151,0.018420259968952,94,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
"humanimmunodeficiencyvirus1infection","Human immunodeficiency virus 1 infection",1.50236690936519,0.0530192251014532,0.00435568704799474,160,1.4666532293284,0.0145369654263699,0.00436108962791097,180,"global25",TRUE,TRUE,TRUE,TRUE,TRUE
