"cell_type","panel","gene","mean_log_expression","pct_expressing","cells","z"
"B cell","B cell","CD79A",2.7233156670617,98.6928104575163,459,2.02363163145016
"B cell","B cell","CD79B",2.08032397710133,94.7712418300653,459,2.03989981710052
"B cell","B cell","MS4A1",2.08311233813371,89.3246187363834,459,2.04107966045864
"B cell","Cell cycle","MKI67",0.0195890890463,1.74291938997821,459,-0.82069220117216
"B cell","Cell cycle","TOP2A",0.0179210505449176,2.17864923747277,459,-0.830876185211887
"B cell","Cell cycle","UBE2C",0.0100329079187198,1.08932461873638,459,-0.802254822299208
"B cell","Cytotoxic","GNLY",0.00785391683150438,0.65359477124183,459,-0.412366068628538
"B cell","Cytotoxic","KLRD1",0,0,459,-0.415140119139958
"B cell","Cytotoxic","NKG7",0.0433478149416443,4.79302832244009,459,-0.514421335306479
"B cell","Erythroid","AHSP",0,0,459,-0.441845000026889
"B cell","Erythroid","ALAS2",0,0,459,-0.431705427113701
"B cell","Erythroid","HBB",0.0455628061560573,3.92156862745098,459,-0.438436357609735
"B cell","Immaturity","CD34",0.00864455225665249,0.65359477124183,459,-0.375146449967526
"B cell","Immaturity","DNTT",0.115077713404967,6.75381263616558,459,-0.338283603217896
"B cell","Immaturity","PTCRA",0.00266989530275194,0.435729847494553,459,-0.810129213307489
"B cell","Immaturity","SOX4",0.612177484798699,44.880174291939,459,-0.359119710014797
"B cell","Myeloid","FCN1",0,0,459,-0.414644795957155
"B cell","Myeloid","LST1",0.187816047481137,19.3899782135076,459,-0.58358186041483
"B cell","Myeloid","LYZ",0.0110713386245132,0.435729847494553,459,-0.427397209939658
"B cell","T lineage","CD3D",0.17302558734894,12.4183006535948,459,-0.55005707239947
"B cell","T lineage","CD3E",0.173590530942531,11.7647058823529,459,-0.647788746801629
"B cell","T lineage","CD5",0.067273676084844,8.71459694989107,459,-0.171814925201896
"B cell","T lineage","CD7",0.177097957596238,12.2004357298475,459,-0.715948445810968
"B cell","T lineage","TRAC",0.143728979105478,13.7254901960784,459,0.271797079900351
"B cell","pDC","CLEC4C",0.0140261816335639,1.52505446623094,459,-0.392685838787381
"B cell","pDC","LILRA4",0.048250639312263,5.44662309368192,459,-0.367103389820513
"B cell","pDC","TCF4",0.720793113438177,59.2592592592593,459,0.308532861787634
"Cytotoxic T/NK","B cell","CD79A",0.0562335650872056,5.03875968992248,258,-0.49345093205376
"Cytotoxic T/NK","B cell","CD79B",0.122996386667465,12.015503875969,258,-0.356850574403527
"Cytotoxic T/NK","B cell","MS4A1",0,0,258,-0.415073789592586
"Cytotoxic T/NK","Cell cycle","MKI67",0.0199575061628967,2.32558139534884,258,-0.818864356372332
"Cytotoxic T/NK","Cell cycle","TOP2A",0.0246578985755346,2.32558139534884,258,-0.783146543136471
"Cytotoxic T/NK","Cell cycle","UBE2C",0.0052248366596585,0.775193798449612,258,-0.831193725758219
"Cytotoxic T/NK","Cytotoxic","GNLY",3.34677302339911,84.4961240310078,258,2.04114278457896
"Cytotoxic T/NK","Cytotoxic","KLRD1",1.66952173353785,92.2480620155039,258,2.04112805373993
"Cytotoxic T/NK","Cytotoxic","NKG7",3.95411915224349,100,258,2.03369708075264
"Cytotoxic T/NK","Erythroid","AHSP",0,0,258,-0.441845000026889
"Cytotoxic T/NK","Erythroid","ALAS2",0,0,258,-0.431705427113701
"Cytotoxic T/NK","Erythroid","HBB",0.0794095697637065,6.58914728682171,258,-0.412366694353021
"Cytotoxic T/NK","Immaturity","CD34",0.00284236883092627,0.387596899224806,258,-0.428572127145704
"Cytotoxic T/NK","Immaturity","DNTT",0.100019829723115,8.52713178294574,258,-0.376394227633023
"Cytotoxic T/NK","Immaturity","PTCRA",0.0303375744186871,3.10077519379845,258,-0.719564696869317
"Cytotoxic T/NK","Immaturity","SOX4",0.291762011093993,20.1550387596899,258,-0.864041861539193
"Cytotoxic T/NK","Myeloid","FCN1",0,0,258,-0.414644795957155
"Cytotoxic T/NK","Myeloid","LST1",0.0748378612687468,7.75193798449612,258,-0.781680704669411
"Cytotoxic T/NK","Myeloid","LYZ",0,0,258,-0.437702691173785
"Cytotoxic T/NK","T lineage","CD3D",0.844893047069673,47.2868217054264,258,0.494821601570103
"Cytotoxic T/NK","T lineage","CD3E",1.27434564029888,60.077519379845,258,0.94655784185808
"Cytotoxic T/NK","T lineage","CD5",0.0813746867277649,8.52713178294574,258,-0.0189775225438205
"Cytotoxic T/NK","T lineage","CD7",2.11363676574192,93.0232558139535,258,1.47847034457903
"Cytotoxic T/NK","T lineage","TRAC",0.176214053666608,14.3410852713178,258,0.552094938673927
"Cytotoxic T/NK","pDC","CLEC4C",0,0,258,-0.413358880458311
"Cytotoxic T/NK","pDC","LILRA4",0,0,258,-0.418771173571388
"Cytotoxic T/NK","pDC","TCF4",0.0111859474247707,1.16279069767442,258,-0.678898677508622
"Erythroid","B cell","CD79A",0.101357776067304,14.4329896907216,97,-0.45086455476684
"Erythroid","B cell","CD79B",0.0811347795972587,18.5567010309278,97,-0.408110171225674
"Erythroid","B cell","MS4A1",0.0271183169059278,1.03092783505155,97,-0.383099158935965
"Erythroid","Cell cycle","MKI67",0.53597030452206,48.4536082474227,97,1.74125369361973
"Erythroid","Cell cycle","TOP2A",0.37571600769422,45.360824742268,97,1.70405189443504
"Erythroid","Cell cycle","UBE2C",0.424344766830667,48.4536082474227,97,1.69141264662195
"Erythroid","Cytotoxic","GNLY",0.00419445193738111,2.06185567010309,97,-0.41505512135164
"Erythroid","Cytotoxic","KLRD1",0,0,97,-0.415140119139958
"Erythroid","Cytotoxic","NKG7",0.10792833065102,14.4329896907216,97,-0.472342986253427
"Erythroid","Erythroid","AHSP",1.55432176370788,49.4845360824742,97,2.03683479617406
