folder,file,why_it_is_included
.,00_START_HERE_請先看.txt,Plain-language project orientation and interpretation boundaries
01_Summary,GSE262271_STAT5B_Student_Handoff_8slides.pptx,Eight-slide lab handoff summary
02_Key_Figures,01_primary_population_UMAP.png,Frozen primary cell definition
02_Key_Figures,02_inferCNV_nonT_reference_heatmap.png,Non-T reference basis for CNV burden
02_Key_Figures,03_single_cell_KEGG_GSEA.png,Primary paired-pseudobulk pathway result
02_Key_Figures,04_mitophagy_proteasome_heatmap.png,Leading-edge expression pattern and statistical labeling
02_Key_Figures,05_cross_dataset_GSEA_concordance.png,Single-cell versus STAT5B N642H direction comparison
02_Key_Figures,06_cross_dataset_KEGG_overlap.png,Same-direction pathway overlap
02_Key_Figures,07_CNV_fraction_cutoff_and_robustness.png,Reference anchor and 10 to 50 percent sensitivity
03_Key_Tables,potential_malignant_T_cell_definition.csv,Frozen primary cell definition
03_Key_Tables,potential_malignant_T_cell_counts_and_proportions_by_sample.csv,Sample cell counts and proportions
03_Key_Tables,KEGG_GSEA_focus_pathways_relapse_vs_diagnosis.csv,Focused primary KEGG statistics
03_Key_Tables,cross_dataset_STAT5B_N642H_vs_relapse_GSEA_key_pathways.csv,Key cross-dataset pathway statistics
03_Key_Tables,cross_dataset_KEGG_FDR0.10_same_direction_intersection.csv,Names of shared same-direction pathways
03_Key_Tables,publication_compatible_A05_target_pair_direction.csv,Top-15 paired patient direction
03_Key_Tables,publication_compatible_candidate_full_KEGG_target_summary.csv,Full-KEGG target results across candidate definitions
03_Key_Tables,within_sample_CNV_fraction_cutoff_summary.csv,CNV fraction sensitivity summary
04_Code_Availability,CODE_AVAILABILITY.txt,GitHub scope and statistical design
04_Code_Availability,KEY_SCRIPT_MAP.csv,Minimal script reading order
05_Data_Locations,DATA_AND_OBJECT_LOCATIONS.txt,Canonical local paths without duplicating large data
